count_date,rows,negative_rows
2014-01-01,6778176,141534
2014-01-02,6778368,136507
2014-01-03,6776448,134409
2014-01-04,6783456,137540
2014-01-05,6814176,144873
2014-01-06,6782400,135335
2014-01-07,6781920,133477
2014-01-08,6781920,135011
2014-01-09,6779328,139403
2014-01-10,6781824,138423
2014-01-11,6779328,135933
2014-01-12,6820800,134399
2014-01-13,6778176,138139
2014-01-14,6782784,157687
2014-01-15,6783456,166328
2014-01-16,6782016,177998
2014-01-17,6784512,168358
2014-01-18,6783168,155471
2014-01-19,6813792,150276
2014-01-20,6778944,156151
2014-01-21,6784704,155913
2014-01-22,6788736,154787
2014-01-23,6788640,158948
2014-01-24,6792192,159616
2014-01-25,6784800,158867
2014-01-26,6819936,160770
2014-01-27,6784224,165654
2014-01-28,6784704,161138
2014-01-29,6785280,171309
2014-01-30,6788832,156607
2014-01-31,6783936,151973
2014-02-01,6786720,154484
2014-02-02,6823008,159966
2014-02-03,6789024,163619
2014-02-04,6789984,167363
2014-02-05,6791808,172142
2014-02-06,6785856,174979
2014-02-07,6788544,171014
2014-02-08,6789984,165347
2014-02-09,6817824,160828
2014-02-10,6786624,156791
2014-02-11,6786816,154887
2014-02-12,6784512,155688
2014-02-13,6785088,152711
2014-02-14,6784992,154664
2014-02-15,6780768,161219
2014-02-16,6819360,190290
2014-02-17,6788640,155176
2014-02-18,6787584,156190
2014-02-19,6786432,161796
2014-02-20,6783264,174517
2014-02-21,6790752,176445
2014-02-22,6781440,180524
2014-02-23,6810624,182239
2014-02-24,6779808,184661
2014-02-25,6787200,183972
2014-02-26,6775488,178055
2014-02-27,6788448,179899
2014-02-28,6783072,180567
2014-03-01,6777888,182240
2014-03-02,6526176,181187
2014-03-03,6773568,172586
2014-03-04,6775296,172633
2014-03-05,6777600,171645
2014-03-06,6780960,164908
2014-03-07,6782688,163081
2014-03-08,6773760,163531
2014-03-09,6805920,165793
2014-03-10,6778944,171391
2014-03-11,6778656,166889
2014-03-12,6775296,171153
2014-03-13,6784224,164613
2014-03-14,6781440,162535
2014-03-15,6784128,167278
2014-03-16,6809472,167770
2014-03-17,6776352,169502
2014-03-18,6781056,165766
2014-03-19,6770016,169718
2014-03-20,6777024,169614
2014-03-21,6780576,169017
2014-03-22,6760224,168683
2014-03-23,6795552,172498
2014-03-24,6771840,170609
2014-03-25,6772608,164417
2014-03-26,6762816,162523
2014-03-27,6765888,163132
2014-03-28,6766176,164116
2014-03-29,6769248,167003
2014-03-30,6793824,166359
2014-03-31,6763488,171111
2014-04-01,6763968,173696
2014-04-02,6768000,169528
2014-04-03,6764640,166100
2014-04-04,6766368,162760
2014-04-05,6771072,158692
2014-04-06,6802752,156775
2014-04-07,6768672,158701
2014-04-08,6767040,157270
2014-04-09,6762912,156732
2014-04-10,6752640,161892
2014-04-11,6762144,166991
2014-04-12,6759360,165572
2014-04-13,6794688,163762
2014-04-14,6753024,164711
2014-04-15,6760512,168679
2014-04-16,6758112,169970
2014-04-17,6755616,171130
2014-04-18,6759552,180344
2014-04-19,6760224,173721
2014-04-20,6789600,168425
2014-04-21,6759456,173956
2014-04-22,6761088,170743
2014-04-23,6759648,167835
2014-04-24,6759168,166232
2014-04-25,6770976,161629
2014-04-26,6755904,159692
2014-04-27,6789888,246983
2014-04-28,6763392,169109
2014-04-29,6762336,168367
2014-04-30,6760992,164166
2014-05-01,6759360,156191
2014-05-02,6763776,151885
2014-05-03,6754752,152405
2014-05-04,6785952,158705
2014-05-05,6756576,164042
2014-05-06,6754176,153514
2014-05-07,6753408,153356
2014-05-08,6755040,153787
2014-05-09,6750720,150438
2014-05-10,6748800,150292
2014-05-11,6783168,151000
2014-05-12,6751296,154739
2014-05-13,6748320,155116
2014-05-14,6751680,154476
2014-05-15,6750720,161152
2014-05-16,6756192,163306
2014-05-17,6749952,161393
2014-05-18,6786720,156980
2014-05-19,6757056,160103
2014-05-20,6743904,162213
2014-05-21,6754848,157256
2014-05-22,6759168,162736
2014-05-23,6753600,166430
2014-05-24,6748416,164966
2014-05-25,6769632,169728
2014-05-26,6747072,168684
2014-05-27,6749184,182007
2014-05-28,6716256,158717
2014-05-29,6751296,164108
2014-05-30,6754848,159996
2014-05-31,6749952,160713
2014-06-01,6778272,158152
2014-06-02,6750624,162511
2014-06-03,6747264,163445
2014-06-04,6752256,158526
2014-06-05,6745152,161507
2014-06-06,6742368,156962
2014-06-07,6743040,156121
2014-06-08,6775392,158658
2014-06-09,6740832,160193
2014-06-10,6741024,156043
2014-06-11,6733152,158394
2014-06-12,6735168,158297
2014-06-13,6734304,157142
2014-06-14,6729696,159786
2014-06-15,6751488,161780
2014-06-16,6730560,163478
2014-06-17,6732096,157926
2014-06-18,6725952,136831
2014-06-19,6710304,166916
2014-06-20,6710112,168288
2014-06-21,6730368,166864
2014-06-22,6756000,161466
2014-06-23,6728256,167017
2014-06-24,6722880,187876
2014-06-25,6727392,167953
2014-06-26,6721632,162663
2014-06-27,6721536,164614
2014-06-28,6720672,165642
2014-06-29,6725952,182332
2014-06-30,6722016,170563
2014-07-01,6720000,183918
2014-07-02,6714624,182778
2014-07-03,6713856,177076
2014-07-04,6715680,174987
2014-07-05,6709824,175777
2014-07-06,6712416,172689
2014-07-07,6712512,158774
2014-07-08,6712800,154944
2014-07-09,6709344,217572
2014-07-10,6712320,258025
2014-07-11,6713280,155588
2014-07-12,6710592,160288
2014-07-13,6710112,155117
2014-07-14,6713568,162624
2014-07-15,6710112,158671
2014-07-16,6727488,151551
2014-07-17,6727680,152212
2014-07-18,6726720,145410
2014-07-19,6724512,143517
2014-07-20,6755328,144429
2014-07-21,6725184,141808
2014-07-22,6725280,143843
2014-07-23,6724992,143805
2014-07-24,6724992,142308
2014-07-25,6724800,143596
2014-07-26,6724128,145656
2014-07-27,6753792,147840
2014-07-28,6725568,144667
2014-07-29,6725952,145576
2014-07-30,6725952,158791
2014-07-31,6726144,166068
2014-08-01,6722016,154992
2014-08-02,6720000,156975
2014-08-03,6753312,160503
2014-08-04,6722976,162245
2014-08-05,6721440,153606
2014-08-06,6723456,152886
2014-08-07,6720672,154282
2014-08-08,6718272,151184
2014-08-09,6717600,153033
2014-08-10,6749088,156084
2014-08-11,6719040,162793
2014-08-12,6717696,159743
2014-08-13,6717888,237713
2014-08-14,6718752,157535
2014-08-15,6716736,159387
2014-08-16,6715200,159807
2014-08-17,6746976,161117
2014-08-18,6719520,157192
2014-08-19,6717696,158220
2014-08-20,6716544,152984
2014-08-21,6718176,151977
2014-08-22,6717984,150718
2014-08-23,6717312,150793
2014-08-24,6747936,155738
2014-08-25,6714336,158298
2014-08-26,6701856,159590
2014-08-27,6721440,160779
2014-08-28,6719328,160485
2014-08-29,6718752,161470
2014-08-30,6716640,158131
2014-08-31,6749760,158618
2014-09-01,6721536,160006
2014-09-02,6722208,154218
2014-09-03,6720672,151389
2014-09-04,6722976,151813
2014-09-05,6720000,147129
2014-09-06,6718560,149200
2014-09-07,6751584,148962
2014-09-08,6720000,153184
2014-09-09,6719232,165803
2014-09-10,6717504,163462
2014-09-11,6715200,162127
2014-09-12,6716544,157428
2014-09-13,6715872,156914
2014-09-14,6753504,162005
2014-09-15,6717312,150641
2014-09-16,6717504,146984
2014-09-17,6713280,143106
2014-09-18,6712512,135621
2014-09-19,6711168,138449
2014-09-20,6712032,139214
2014-09-21,6751392,139148
2014-09-22,6712704,143181
2014-09-23,6713664,144997
2014-09-24,6713088,144755
2014-09-25,6717120,148490
2014-09-26,6715776,140928
2014-09-27,6714336,140802
2014-09-28,6753792,140461
2014-09-29,6715776,145703
2014-09-30,6714240,164713
2014-10-01,6707520,160381
2014-10-02,6712128,161107
2014-10-03,6711936,156820
2014-10-04,6710496,156688
2014-10-05,6739008,152357
2014-10-06,6711936,156680
2014-10-07,6436608,136577
2014-10-08,6711936,145869
2014-10-09,6714816,144275
2014-10-10,6710496,144217
2014-10-11,6713664,144316
2014-10-12,6745536,142334
2014-10-13,6715104,147288
2014-10-14,6714048,142925
2014-10-15,6714048,136086
2014-10-16,6712896,136434
2014-10-17,6713856,137468
2014-10-18,6711648,140176
2014-10-19,6748992,140278
2014-10-20,6713088,138502
2014-10-21,6714720,143675
2014-10-22,6715584,152051
2014-10-23,6712320,149078
2014-10-24,6712128,149905
2014-10-25,6709920,150974
2014-10-26,6715392,151284
2014-10-27,6707136,200333
2014-10-28,6449376,161406
2014-10-29,6706080,169825
2014-10-30,6701664,173410
2014-10-31,6694944,170938
2014-11-01,6696288,167768
2014-11-02,6705312,163076
2014-11-03,6697728,164066
2014-11-04,6696288,166178
2014-11-05,6699264,161252
2014-11-06,6694848,164437
2014-11-07,6695328,159500
2014-11-08,6696672,158463
2014-11-09,6699456,159905
2014-11-10,6698112,156663
2014-11-11,6689280,155062
2014-11-12,6687264,151005
2014-11-13,6690144,151767
2014-11-14,6692160,150607
2014-11-15,6691872,157770
2014-11-16,6689568,161766
2014-11-17,6693120,154949
2014-11-18,6693312,153783
2014-11-19,6695136,153696
2014-11-20,6693312,152302
2014-11-21,6693120,155742
2014-11-22,6692544,150572
2014-11-23,6695136,149342
2014-11-24,6694080,158171
2014-11-25,6694464,155268
2014-11-26,6690528,155136
2014-11-27,6692448,150212
2014-11-28,6691776,142667
2014-11-29,6692544,141972
2014-11-30,6695616,152889
2014-12-01,6692832,147677
2014-12-02,6694560,147016
2014-12-03,6683520,145771
2014-12-04,6692736,151920
2014-12-05,6694080,147069
2014-12-06,6693984,163486
2014-12-07,6698688,156369
2014-12-08,6686016,155867
2014-12-09,6694464,150116
2014-12-10,6697920,150019
2014-12-11,6707712,148617
2014-12-12,6706560,147448
2014-12-13,6705120,148708
2014-12-14,6731424,149624
2014-12-15,6706560,148810
2014-12-16,6706848,158428
2014-12-17,6706848,152394
2014-12-18,6706080,149694
2014-12-19,6705024,147642
2014-12-20,6683328,142501
2014-12-21,6683328,146152
2014-12-22,6705408,147060
2014-12-23,6706368,146378
2014-12-24,6699072,145753
2014-12-25,6695808,156672
2014-12-26,6697248,152731
2014-12-27,6696192,145615
2014-12-28,6708192,144349
2014-12-29,6701472,151224
2014-12-30,6701376,147834
2014-12-31,6696480,147929
2015-01-01,6694272,150596
2015-01-02,6699936,152386
2015-01-03,6684096,152901
2015-01-04,6702048,153906
2015-01-05,6684096,157552
2015-01-06,6699072,160899
2015-01-07,6697152,193481
2015-01-08,6379776,166591
2015-01-09,6695040,158996
2015-01-10,6690528,154056
2015-01-11,6691104,153614
2015-01-12,6688224,154906
2015-01-13,6686304,154912
2015-01-14,6687072,150841
2015-01-15,6679584,153006
2015-01-16,6683520,151639
2015-01-17,6677664,154387
2015-01-18,6677664,155051
2015-01-19,6685152,145573
2015-01-20,6681600,151519
2015-01-21,6680256,151271
2015-01-22,6679968,155408
2015-01-23,6680064,146527
2015-01-24,6674304,147093
2015-01-25,6676224,145492
2015-01-26,6674976,152263
2015-01-27,6677568,148260
2015-01-28,6691200,150688
2015-01-29,6667872,152690
2015-01-30,6689568,152411
2015-01-31,6689856,152608
2015-02-01,6668160,155522
2015-02-02,6696480,156433
2015-02-03,6669216,155402
2015-02-04,6691104,152667
2015-02-05,6691104,150103
2015-02-06,6690912,150457
2015-02-07,6689472,157239
2015-02-08,6717888,161474
2015-02-09,6691104,159422
2015-02-10,6688704,153609
2015-02-11,6691008,150148
2015-02-12,6689280,146332
2015-02-13,6667008,160097
2015-02-14,6667008,170918
2015-02-15,6667008,162862
2015-02-16,6654720,692000
2015-02-17,6689376,165874
2015-02-18,6690528,160462
2015-02-19,6690336,294820
2015-02-20,6726432,179078
2015-02-21,6724512,168461
2015-02-22,6724224,161431
2015-02-23,6688320,165076
2015-02-24,6687840,160740
2015-02-25,6664032,157121
2015-02-26,6683808,158238
2015-02-27,6676704,159260
2015-02-28,6667200,184898
2015-03-01,6671904,184909
2015-03-02,6674592,156764
2015-03-03,6675264,152668
2015-03-04,6672384,148958
2015-03-05,6665088,150553
2015-03-07,6679104,153851
2015-03-08,6657792,153103
2015-03-09,6671232,158069
2015-03-10,6662784,151628
2015-03-11,6665184,151234
2015-03-12,6665664,153749
2015-03-13,6662688,152123
2015-03-14,6663936,153696
2015-03-15,6662592,151815
2015-03-16,6666240,151352
2015-03-17,6663648,150515
2015-03-18,6663168,150422
2015-03-19,6656448,152233
2015-03-20,6651744,148361
2015-03-21,6655584,160968
2015-03-22,6650688,161306
2015-03-23,6648576,154163
2015-03-24,6646080,865733
2015-03-25,6649920,148825
2015-03-26,6645696,145771
2015-03-27,6647136,146849
2015-03-28,6648960,149967
2015-03-29,6643488,151125
2015-03-30,6646656,152594
2015-03-31,6661632,151363
2015-04-01,6662304,153274
2015-04-02,6657792,146352
2015-04-03,6656256,146828
2015-04-04,6634176,141427
2015-04-05,6687648,143874
2015-04-06,6656256,148094
2015-04-07,6656160,151226
2015-04-08,6659712,155167
2015-04-09,6656928,150197
2015-04-10,6656160,146628
2015-04-11,6654720,152383
2015-04-12,6689856,157111
2015-04-13,6656160,152550
2015-04-14,6654912,152841
2015-04-15,6629568,152619
2015-04-16,6650112,147876
2015-04-17,6649536,594481
2015-04-18,6646080,158279
2015-04-19,6682752,165990
2015-04-20,6648768,168012
2015-04-21,6648960,166891
2015-04-22,6650304,169115
2015-04-23,6650304,165829
2015-04-24,6651840,164681
2015-04-25,6648480,169069
2015-04-26,6686496,173963
2015-04-27,6648288,166476
2015-04-28,6647712,164100
2015-04-29,6649824,159041
2015-04-30,6649344,160274
2015-05-01,6649344,157471
2015-05-02,6647328,158810
2015-05-03,6686592,161220
2015-05-04,6648768,158713
2015-05-05,6648960,160426
2015-05-06,6626496,152466
2015-05-07,6649344,151435
2015-05-08,6629088,149880
2015-05-09,6640320,157417
2015-05-10,6645792,155762
2015-05-11,6629088,154390
2015-05-12,6643200,161311
2015-05-13,6643584,170847
2015-05-14,6643584,168002
2015-05-15,6642240,161070
2015-05-16,6642816,163177
2015-05-17,6640992,166151
2015-05-18,6635712,163934
2015-05-19,6638016,164706
2015-05-20,6639744,164925
2015-05-21,6649920,164399
2015-05-22,6495072,139167
2015-05-23,6689664,163655
2015-05-24,6686304,161249
2015-05-25,6651072,161403
2015-05-26,6649632,158162
2015-05-27,6652128,161578
2015-05-28,6633312,156245
2015-05-29,6447264,158000
2015-05-30,6689184,161352
2015-05-31,6686016,163985
2015-06-01,6652032,162842
2015-06-02,6652224,158987
2015-06-03,6301920,131626
2015-06-04,6656448,172385
2015-06-05,6497088,401620
2015-06-06,6657024,181400
2015-06-07,6690336,171336
2015-06-08,6657312,175678
2015-06-09,6658464,173909
2015-06-10,6655872,167244
2015-06-11,6656832,164479
2015-06-12,6655296,159343
2015-06-13,6639360,157799
2015-06-14,6684480,162263
2015-06-15,6653760,159514
2015-06-16,6653952,159588
2015-06-17,6653952,156917
2015-06-18,6652992,153801
2015-06-19,6652992,152851
2015-06-20,6649248,153227
2015-06-21,6681984,150984
2015-06-22,6634560,486044
2015-06-23,6648480,162088
2015-06-24,6650880,155195
2015-06-25,6649056,151381
2015-06-26,6648864,149884
2015-06-27,6647232,153892
2015-06-28,6676416,153026
2015-06-29,6642528,154483
2015-06-30,6642528,150300
2015-07-01,6641280,149099
2015-07-02,6638880,151215
2015-07-03,6640608,148586
2015-07-04,6637248,151620
2015-07-05,6652512,149564
2015-07-06,6641856,150585
2015-07-07,6640608,150473
2015-07-08,6641376,152818
2015-07-09,6641088,149806
2015-07-10,6638112,145445
2015-07-11,6634368,144155
2015-07-12,6647808,151658
2015-07-13,6634272,158873
2015-07-14,6634176,156842
2015-07-15,6629760,153997
2015-07-16,6633216,153346
2015-07-17,6631296,151573
2015-07-18,6630432,153871
2015-07-19,6632544,156297
2015-07-20,6631104,159560
2015-07-21,6629856,153668
2015-07-22,6629568,152745
2015-07-23,6628512,147781
2015-07-24,6348096,120524
2015-07-25,6625632,145559
2015-07-26,6637920,146143
2015-07-27,6626400,147110
2015-07-28,6627552,145367
2015-07-29,6626688,139601
2015-07-30,6623808,142895
2015-07-31,6351648,121416
2015-08-01,6628992,142488
2015-08-02,6636000,142200
2015-08-03,6631584,148006
2015-08-04,6632928,145431
2015-08-05,6630624,146697
2015-08-06,6630624,138285
2015-08-07,6627840,138847
2015-08-08,6625632,138972
2015-08-09,6627168,139788
2015-08-10,6629664,146028
2015-08-11,6630432,143753
2015-08-12,6633216,140591
2015-08-13,6633792,143767
2015-08-14,6630240,148836
2015-08-15,6623904,146677
2015-08-16,6631968,148944
2015-08-17,6629952,151463
2015-08-18,6630336,153818
2015-08-19,6626688,156806
2015-08-20,6626304,160142
2015-08-21,6632256,159525
2015-08-22,6627744,158990
2015-08-23,6635232,157069
2015-08-24,6629280,155915
2015-08-25,6634080,157962
2015-08-26,6632928,160240
2015-08-27,6630720,176513
2015-08-28,6634176,156987
2015-08-29,6634752,153754
2015-08-30,6636384,155006
2015-08-31,6631968,153949
2015-09-01,6633696,156611
2015-09-02,6631488,159080
2015-09-03,6633504,157794
2015-09-04,6633600,150681
2015-09-05,6633408,147762
2015-09-06,6632544,146053
2015-09-07,6629760,145487
2015-09-08,6632736,146025
2015-09-09,6630624,145776
2015-09-10,6633120,168624
2015-09-11,6410400,134223
2015-09-12,6629376,139928
2015-09-13,6634848,141155
2015-09-14,6634176,145533
2015-09-15,6632448,148183
2015-09-16,6643200,143874
2015-09-17,6645504,137527
2015-09-18,6645504,139061
2015-09-19,6645408,139841
2015-09-20,6662784,141911
2015-09-21,6643200,141897
2015-09-22,6645504,140213
2015-09-23,6645312,139630
2015-09-24,6645504,142749
2015-09-25,6642816,145847
2015-09-26,6643104,140015
2015-09-27,6655104,139533
2015-09-28,6642528,142175
2015-09-29,6644928,139432
2015-10-01,6644544,139003
2015-10-02,6641376,144286
2015-10-03,6643872,146371
2015-10-04,6644928,137603
2015-10-05,6640320,146517
2015-10-06,6644448,147735
2015-10-07,6640608,138246
2015-10-08,6640032,136988
2015-10-09,6643776,140153
2015-10-10,6639744,143450
2015-10-11,6640032,147198
2015-10-12,6642048,154484
2015-10-13,6641952,146442
2015-10-14,6643680,143112
2015-10-15,6640416,175390
2015-10-16,6637344,146117
2015-10-17,6629472,143019
2015-10-18,6635616,144967
2015-10-19,6637152,147197
2015-10-20,6629664,216176
2015-10-21,6627072,152248
2015-10-22,6627360,136932
2015-10-23,6627456,133908
2015-10-24,6620064,135031
2015-10-25,6618720,135398
2015-10-26,6620736,140613
2015-10-27,6612864,141038
2015-10-28,6611808,140954
2015-10-29,6614592,138340
2015-10-30,6611616,134384
2015-10-31,6622272,145066
2015-11-01,6645600,144010
2015-11-02,6622560,146214
2015-11-03,6618528,144357
2015-11-04,6620544,135580
2015-11-05,6618624,143959
2015-11-06,6608832,141306
2015-11-07,6610176,145354
2015-11-08,6630528,141089
2015-11-09,6605856,146664
2015-11-10,6609792,143432
2015-11-11,6607296,140937
2015-11-12,6610944,134173
2015-11-13,6608640,129151
2015-11-14,6606816,141131
2015-11-15,6626880,129615
2015-11-16,6605280,133141
2015-11-17,6609696,130259
2015-11-18,6609696,131907
2015-11-19,6607104,131420
2015-11-20,6607680,138214
2015-11-21,6607584,132826
2015-11-22,6617856,131640
2015-11-23,6607680,133481
2015-11-24,6606720,136117
2015-11-25,6608352,145898
2015-11-26,6609216,151233
2015-11-27,6607296,138117
2015-11-28,6606432,141660
2015-11-29,6635520,144701
2015-11-30,3786720,106045
2015-12-01,6607488,148161
2015-12-02,6602112,135378
2015-12-03,6607584,131307
2015-12-04,6606048,133372
2015-12-05,6603072,137068
2015-12-06,6630432,133293
2015-12-07,6602592,129990
2015-12-08,6600576,132286
2015-12-09,6600384,133291
2015-12-10,6598080,130745
2015-12-11,6599040,131239
2015-12-12,6599616,131663
2015-12-13,6621216,131236
2015-12-14,6599328,113812
2015-12-15,6599712,139994
2015-12-16,6600192,133363
2015-12-17,6600480,131423
2015-12-18,6602304,131891
2015-12-19,738720,17150
2015-12-20,6621600,136796
2015-12-21,6598656,127777
2015-12-22,6594528,125174
2015-12-23,6589728,124745
2015-12-24,6590784,127209
2015-12-25,6591552,140494
2015-12-26,6588768,136928
2015-12-27,6596256,131655
2015-12-28,6592512,134456
2015-12-29,6595488,136936
2015-12-30,6593568,134550
2015-12-31,2447904,36436
2016-01-01,6589824,139038
2016-01-02,6590112,146845
2016-01-03,6597408,140093
2016-01-04,6589056,145872
2016-01-05,6591456,143661
2016-01-06,6589440,137261
2016-01-07,6591456,135916
2016-01-08,6587136,138720
2016-01-09,6590592,134486
2016-01-10,6594528,132379
2016-01-11,6591456,174201
2016-01-12,6587808,141888
2016-01-13,6601248,157516
2016-01-14,6580992,142663
2016-01-15,6598176,140438
2016-01-16,6580992,139831
2016-01-17,6591744,142466
2016-01-18,6589344,144932
2016-01-19,6580992,141870
2016-01-20,6586560,141190
2016-01-21,6587424,139250
2016-01-23,6579840,137101
2016-01-24,6581952,135291
2016-01-25,6579552,136712
2016-01-26,6577248,143142
2016-01-27,6575424,148068
2016-01-28,6576384,159234
2016-01-29,6578112,156720
2016-01-30,6573984,158020
2016-01-31,6575808,176834
2016-02-01,6572160,161140
2016-02-02,6570816,155306
2016-02-03,6570912,163098
2016-02-04,6569280,148686
2016-02-05,6578400,149529
2016-02-06,6575808,148714
2016-02-07,6577920,150307
2016-02-08,6576384,148807
2016-02-09,6580416,147661
2016-02-10,6589248,154567
2016-02-11,6587040,148601
2016-02-12,6593280,150765
2016-02-13,6590112,151368
2016-02-14,6613824,154232
2016-02-15,6590208,155989
2016-02-16,6589056,155523
2016-02-17,6589056,153893
2016-02-18,6589824,152802
2016-02-19,6593472,150737
2016-02-20,6590208,154532
2016-02-21,6619296,155524
2016-02-22,6591168,166553
2016-02-23,6592992,181201
2016-02-24,6592800,181782
2016-02-25,6590592,181741
2016-02-26,6592896,172216
2016-02-27,6581184,166520
2016-02-28,6621408,160059
2016-02-29,6590592,152778
2016-03-01,6592896,145767
2016-03-02,6591168,142801
2016-03-03,6587520,146835
2016-03-04,6587520,146798
2016-03-05,6587424,150173
2016-03-06,6610176,154169
2016-03-07,6587520,150728
2016-03-08,6587520,154278
2016-03-09,6586752,152757
2016-03-10,6587520,154600
2016-03-11,6586368,149857
2016-03-12,6586272,145831
2016-03-13,6615360,147331
2016-03-14,6586368,147736
2016-03-15,6586368,145932
2016-03-16,6586368,143925
2016-03-17,6587040,146951
2016-03-18,6587040,153811
2016-03-19,6586944,142892
2016-03-20,6615648,147529
2016-03-21,6587040,145670
2016-03-22,6587040,145772
2016-03-23,6586848,141028
2016-03-24,6587040,136219
2016-03-25,6587040,140173
2016-03-26,6586944,136264
2016-03-27,6616512,141096
2016-03-28,6587040,146661
2016-03-29,6587040,140783
2016-03-30,6587040,137796
2016-03-31,6587040,139709
2016-04-01,6587040,145758
2016-04-02,6586944,152936
2016-04-03,6609216,150561
2016-04-04,6589344,154270
2016-04-05,6588288,156883
2016-04-06,6586752,176635
2016-04-07,6587040,144912
2016-04-08,6586464,143389
2016-04-09,6575328,139377
2016-04-10,6599040,192697
2016-04-11,6586848,145748
2016-04-12,6586176,148993
2016-04-13,6587040,150214
2016-04-14,6585120,151821
2016-04-15,6585888,147646
2016-04-16,6583968,143215
2016-04-17,6583968,143468
2016-04-18,6584544,142126
2016-04-19,6587424,137834
2016-04-20,6588672,137561
2016-04-21,6587712,138440
2016-04-22,6589056,142638
2016-04-23,6579360,140435
2016-04-24,6592320,144782
2016-04-25,6590112,150594
2016-04-26,6585696,148704
2016-04-27,6590208,140330
2016-04-28,6596448,137685
2016-04-29,6597888,141951
2016-04-30,6595488,139503
2016-05-01,6608928,162866
2016-05-02,6599328,146694
2016-05-03,6600576,181851
2016-05-04,6599904,138266
2016-05-05,6600864,129254
2016-05-06,6600864,133104
2016-05-07,6600768,135702
2016-05-08,6626016,137352
2016-05-09,6599808,137550
2016-05-10,6596832,138564
2016-05-11,6598176,133145
2016-05-12,6596160,134827
2016-05-13,6597312,130274
2016-05-14,6598848,126019
2016-05-15,6623520,130750
2016-05-16,6597216,132217
2016-05-17,6601248,132543
2016-05-18,6595968,146801
2016-05-20,6597792,123264
2016-05-21,6600576,121738
2016-05-22,6602976,119692
2016-05-23,6599136,119538
2016-05-24,6597408,121569
2016-05-25,6600864,123500
2016-05-26,6603264,125017
2016-05-27,6604512,120856
2016-05-28,6603840,121224
2016-05-29,6603168,119197
2016-05-30,6601152,121360
2016-05-31,6605664,119674
2016-06-01,6609792,118628
2016-06-02,6612672,193029
2016-06-03,6606432,125795
2016-06-04,6607392,132791
2016-06-05,6637248,132248
2016-06-06,6605568,129896
2016-06-07,6600576,125339
2016-06-08,6600768,125966
2016-06-09,6600000,125947
2016-06-10,6600000,126455
2016-06-11,6598752,137855
2016-06-12,6627648,133946
2016-06-13,6596160,140198
2016-06-14,6598464,127052
2016-06-15,6598464,189880
