count_date,rows,negative_rows
2015-12-19,738720,17150
2015-12-31,2447904,36436
2015-11-30,3786720,106045
2015-06-03,6301920,131626
2015-07-24,6348096,120524
2015-07-31,6351648,121416
2015-01-08,6379776,166591
2015-09-11,6410400,134223
2014-10-07,6436608,136577
2015-05-29,6447264,158000
2014-10-28,6449376,161406
2015-05-22,6495072,139167
2015-06-05,6497088,401620
2017-01-02,6503808,144578
2017-01-22,6512928,142895
2014-03-02,6526176,181187
2016-11-29,6528576,134791
2016-12-29,6530304,143439
2017-01-25,6531744,138665
2016-12-21,6532608,126660
2016-12-23,6532608,122519
2016-12-26,6532608,130724
2016-12-27,6532608,132729
2016-12-28,6532608,137722
2016-12-30,6532608,144078
2017-01-03,6532608,142012
2017-01-04,6532608,138580
2016-12-02,6532704,125447
2016-12-05,6532704,128546
2016-11-28,6532896,134701
