count_date,rows,negative_rows
2021-07-09,9799680,334814
2021-07-10,9799680,337101
2021-07-11,9799680,336523
2021-07-02,9795744,332710
2021-07-03,9795744,335400
2021-07-04,9795744,332937
2021-07-05,9795744,337386
2021-07-06,9794304,334370
2021-07-07,9794304,335496
2021-07-01,9793440,326816
2021-06-28,9791136,343525
2021-06-25,9788832,360502
2021-06-26,9788832,354531
2021-06-23,9786528,351779
2021-06-22,9781920,361482
2021-06-10,9781248,604237
2021-06-11,9781248,460071
2021-06-16,9781152,341074
2021-06-17,9781152,345333
2021-06-12,9780000,371572
2021-06-13,9780000,343060
2021-06-14,9780000,334521
2021-06-02,9779712,343790
2021-06-18,9779616,332654
2021-06-19,9779616,332396
2021-06-20,9779616,328380
2021-06-03,9778944,342703
2021-06-04,9778944,339664
2021-06-05,9778944,349485
2021-06-06,9778944,342863
