count_date,total_volume
2014-01-01,64443470
2014-01-02,89319498
2014-01-03,95795852
2014-01-04,84584417
2014-01-05,76796379
2014-01-06,98207335
2014-01-07,100034945
2014-01-08,103218047
2014-01-09,105509169
2014-01-10,108218973
2014-01-11,93368290
2014-01-12,83552884
2014-01-13,106482683
2014-01-14,104900415
2014-01-15,108474552
2014-01-16,108789020
2014-01-17,110216182
2014-01-18,98965374
2014-01-19,86831334
2014-01-20,109558959
2014-01-21,113881800
2014-01-22,116329395
2014-01-23,118359326
2014-01-24,118530528
2014-01-25,96128426
2014-01-26,83146396
2014-01-27,78011431
2014-01-28,110767914
2014-01-29,118057485
2014-01-30,120471944
2014-01-31,124153907
2014-02-01,103340574
2014-02-02,85077081
2014-02-03,113046747
2014-02-04,117825813
2014-02-05,119236027
2014-02-06,120784290
2014-02-07,124320256
2014-02-08,101420494
2014-02-09,85162409
2014-02-10,114024105
2014-02-11,118095530
2014-02-12,120015263
2014-02-13,122796542
2014-02-14,127842568
2014-02-15,105876034
2014-02-16,89297266
2014-02-17,115084519
2014-02-18,118179081
2014-02-19,119022010
2014-02-20,121646457
2014-02-21,124938173
2014-02-22,105390745
2014-02-23,90941117
2014-02-24,113653381
2014-02-25,117353459
2014-02-26,120397680
2014-02-27,122842418
2014-02-28,126298284
2014-03-01,107332277
2014-03-02,87169012
2014-03-03,115035023
2014-03-04,118803082
2014-03-05,120548180
2014-03-06,123379075
2014-03-07,126402109
2014-03-08,100256964
2014-03-09,86484754
2014-03-10,80618541
2014-03-11,116666359
2014-03-12,120549354
2014-03-13,123120273
2014-03-14,126331398
2014-03-15,105092706
2014-03-16,89079629
2014-03-17,114970841
2014-03-18,118726949
2014-03-19,121228154
2014-03-20,123166820
2014-03-21,125529215
2014-03-22,107099590
2014-03-23,91110830
2014-03-24,113203843
2014-03-25,118270485
2014-03-26,120456349
2014-03-27,122178311
2014-03-28,125607579
2014-03-29,107268815
2014-03-30,91774931
2014-03-31,114128665
2014-04-01,117829545
2014-04-02,119610722
2014-04-03,122491822
2014-04-04,125460612
2014-04-05,105528160
2014-04-06,92041494
2014-04-07,111131969
2014-04-08,113929172
2014-04-09,114151362
2014-04-10,116477509
2014-04-11,119077173
2014-04-12,102891013
2014-04-13,89286680
2014-04-14,111650731
2014-04-15,116173972
2014-04-16,118946068
2014-04-17,124781429
2014-04-18,69413116
2014-04-19,86292709
2014-04-20,76033919
2014-04-21,74286089
2014-04-22,107540474
2014-04-23,113903088
2014-04-24,121351489
2014-04-25,82652348
2014-04-26,98106828
2014-04-27,86399187
2014-04-28,113092960
2014-04-29,115347035
2014-04-30,119232204
2014-05-01,121520368
2014-05-02,124351238
2014-05-03,105054981
2014-05-04,87364656
2014-05-05,112117281
2014-05-06,116340313
2014-05-07,118384249
2014-05-08,121438205
2014-05-09,124789134
2014-05-10,106363702
2014-05-11,92884652
2014-05-12,112244310
2014-05-13,116441214
2014-05-14,118591504
2014-05-15,120879816
2014-05-16,124077906
2014-05-17,106077944
2014-05-18,88902281
2014-05-19,112078533
2014-05-20,115985059
2014-05-21,118776639
2014-05-22,121135034
2014-05-23,123091822
2014-05-24,105483423
2014-05-25,87851117
2014-05-26,110769080
2014-05-27,114697001
2014-05-28,116904388
2014-05-29,119919473
2014-05-30,124016873
2014-05-31,105331975
2014-06-01,85281837
2014-06-02,110586141
2014-06-03,113417624
2014-06-04,116100793
2014-06-05,118844310
2014-06-06,121777570
2014-06-07,96210861
2014-06-08,84114896
2014-06-09,76816513
2014-06-10,112845456
2014-06-11,116351188
2014-06-12,118801439
2014-06-13,122264171
2014-06-14,101945855
2014-06-15,85937807
2014-06-16,109891135
2014-06-17,114207780
2014-06-18,105662019
2014-06-19,117804943
2014-06-20,122427925
2014-06-21,103592171
2014-06-22,87007729
2014-06-23,107935702
2014-06-24,109690748
2014-06-25,115554185
2014-06-26,118678194
2014-06-27,121849580
2014-06-28,100952166
2014-06-29,82246699
2014-06-30,106501368
2014-07-01,109269461
2014-07-02,111834832
2014-07-03,114684001
2014-07-04,116859458
2014-07-05,96931686
2014-07-06,81639616
2014-07-07,105280406
2014-07-08,110504462
2014-07-09,111219671
2014-07-10,113736188
2014-07-11,117820798
2014-07-12,98540791
2014-07-13,84634011
2014-07-14,108644605
2014-07-15,112711502
2014-07-16,116513812
2014-07-17,118770423
2014-07-18,121766400
2014-07-19,103001338
2014-07-20,86601713
2014-07-21,110377072
2014-07-22,114953381
2014-07-23,117374387
2014-07-24,118931708
2014-07-25,122815686
2014-07-26,103415527
2014-07-27,88984477
2014-07-28,112418297
2014-07-29,115156847
2014-07-30,117630520
2014-07-31,117473679
2014-08-01,120442510
2014-08-02,103854143
2014-08-03,89508027
2014-08-04,111374095
2014-08-05,115472530
2014-08-06,117468300
2014-08-07,118955448
2014-08-08,123185522
2014-08-09,104728623
2014-08-10,87687825
2014-08-11,110800827
2014-08-12,114971689
2014-08-13,115365703
2014-08-14,118756408
2014-08-15,123919200
2014-08-16,104546700
2014-08-17,88186206
2014-08-18,110518246
2014-08-19,115304668
2014-08-20,117534617
2014-08-21,120452638
2014-08-22,123924151
2014-08-23,105964779
2014-08-24,88561841
2014-08-25,111229609
2014-08-26,115759215
2014-08-27,118420440
2014-08-28,120882543
2014-08-29,124107801
2014-08-30,106137131
2014-08-31,90044394
2014-09-01,111174427
2014-09-02,115577718
2014-09-03,118271757
2014-09-04,120836300
2014-09-05,125374103
2014-09-06,107377229
2014-09-07,91646163
2014-09-08,111886656
2014-09-09,114552641
2014-09-10,118365471
2014-09-11,120398969
2014-09-12,124226818
2014-09-13,105951771
2014-09-14,89977195
2014-09-15,112234125
2014-09-16,115841603
2014-09-17,118354413
2014-09-18,120678406
2014-09-19,123919863
2014-09-20,103451249
2014-09-21,89540909
2014-09-22,110812921
2014-09-23,114769779
2014-09-24,115226015
2014-09-25,117370632
2014-09-26,120793087
2014-09-27,92398798
2014-09-28,87318710
2014-09-29,110308849
2014-09-30,112988388
2014-10-01,116502267
2014-10-02,119077118
2014-10-03,122844604
2014-10-04,105816085
2014-10-05,88148576
2014-10-06,112724849
2014-10-07,113950265
2014-10-08,120160692
2014-10-09,122730310
2014-10-10,126288457
2014-10-11,107320556
2014-10-12,91169721
2014-10-13,113628627
2014-10-14,118586872
2014-10-15,121080237
2014-10-16,122871806
2014-10-17,127203580
2014-10-18,107566232
2014-10-19,91101329
2014-10-20,116113991
2014-10-21,120300904
2014-10-22,121337126
2014-10-23,124540804
2014-10-24,127875947
2014-10-25,108731423
2014-10-26,92697617
2014-10-27,112548214
2014-10-28,113724338
2014-10-29,121162967
2014-10-30,124481254
2014-10-31,127992857
2014-11-01,98210148
2014-11-02,84088207
2014-11-03,104906878
2014-11-04,79203179
2014-11-05,119385898
2014-11-06,122752079
2014-11-07,127912268
2014-11-08,106115078
2014-11-09,91602812
2014-11-10,117259896
2014-11-11,121204354
2014-11-12,124118337
2014-11-13,126158251
2014-11-14,129270133
2014-11-15,110222541
2014-11-16,90624817
2014-11-17,117821711
2014-11-18,122254442
2014-11-19,125316755
2014-11-20,126193553
2014-11-21,130958343
2014-11-22,111366799
2014-11-23,95015135
2014-11-24,115571153
2014-11-25,121824509
2014-11-26,124089334
2014-11-27,127440761
2014-11-28,131469532
2014-11-29,111601562
2014-11-30,94300873
2014-12-01,117935812
2014-12-02,122465549
2014-12-03,124698251
2014-12-04,127491269
2014-12-05,131462319
2014-12-06,111230047
2014-12-07,93606883
2014-12-08,118894024
2014-12-09,122966326
2014-12-10,125866607
2014-12-11,127930609
2014-12-12,132051790
2014-12-13,112782032
2014-12-14,97108184
2014-12-15,120428049
2014-12-16,123517008
2014-12-17,127608835
2014-12-18,128431894
