scats_site,detector,total_volume
4742,5,97889503
849,23,88505746
849,24,77355665
4742,6,75977900
3357,14,59317478
2899,11,59181633
2985,6,54989821
2833,12,54167957
2985,5,53376781
2438,21,52552329
2899,10,49396822
2899,12,47554865
2756,16,45051723
3389,10,44750293
2833,11,43697090
4155,8,42723423
2420,12,41605383
2329,20,41199918
3516,12,40392017
4155,11,40295291
4155,6,39827284
3516,14,39162187
2929,18,38147756
2020,13,38076847
416,13,38039639
415,11,36998849
416,11,36970367
2315,5,36306976
3519,17,36040409
2487,18,35842203
414,15,35838928
2985,4,35687923
2929,17,35536593
2487,4,35446250
2406,1,35367926
538,12,35301193
2406,2,35275890
416,12,35168212
4155,10,35087131
414,13,34985306
415,13,34936414
414,14,34861829
4711,16,34860770
2405,7,34736540
538,11,34731192
2827,24,34638864
2438,20,34563440
2487,3,34544415
538,14,34540316
4415,15,34456353
2405,8,34454241
2985,11,34343644
4035,2,34307680
2404,5,34157655
415,12,34142677
2404,22,33959835
414,16,33901554
2985,3,33728777
2701,7,33586951
3386,19,33563881
2020,11,33525382
3516,11,33509074
2833,13,33415799
2407,8,33404331
2407,9,33203434
2985,12,32998182
1156,10,32933818
2104,7,32853442
3386,6,32648637
2487,19,32436020
2701,16,32397854
2406,3,32332885
2403,2,32293810
3384,9,32262263
1156,12,32101811
1156,9,32093305
2404,7,32089050
1144,13,31902109
2403,8,31733078
2403,7,31658703
999,11,31557026
2405,2,31496596
3516,13,31411932
4711,4,31393294
1144,14,31007740
2405,1,30932490
202,11,30777369
1359,16,30612444
2404,6,30537782
2020,12,30513042
2103,7,30499003
2408,2,30437441
855,15,30428137
3357,12,30418100
1359,14,30367874
2020,14,30322450
999,13,30308313
2336,4,30202171
999,14,30198666
3735,20,30182600
3383,8,30174163
3392,7,30079168
3383,9,30078106
2405,9,30067989
2408,6,29979351
1144,12,29885683
3052,17,29867415
3389,6,29854331
3383,2,29821847
2406,4,29726276
202,8,29711169
3360,21,29690966
4902,24,29688826
1359,2,29686166
2315,3,29678236
4381,2,29639700
202,9,29616616
4415,2,29610851
3384,2,29550581
2406,5,29463094
416,9,29408708
3384,8,29379950
3516,8,29308888
4415,3,29296948
1144,11,29251231
1359,11,29250269
3386,17,29246177
3060,21,29174068
3390,6,29024641
2315,4,28978613
2408,5,28921996
3389,7,28874868
2104,3,28824148
2407,3,28804105
2420,9,28730759
2104,8,28700990
2407,2,28650519
1359,12,28514790
4711,2,28387339
3381,2,28380335
3151,6,28365892
3376,7,28316708
3360,4,28305621
3357,11,28283882
4415,5,28205589
416,10,28195845
415,10,28110572
2103,8,28102577
3383,3,28083354
2404,17,28074533
3386,18,28038120
4381,3,28034371
999,12,28032648
2420,10,28000654
3383,7,27980716
2403,9,27938793
2421,6,27896246
415,9,27830857
3392,3,27784630
2403,3,27743217
3393,14,27728185
414,6,27719176
4415,7,27716479
415,5,27584723
855,11,27483831
1156,11,27444314
725,8,27404903
2438,10,27374801
1359,1,27372278
2756,17,27372097
4415,8,27322031
3392,4,27295310
3384,7,27239455
4711,17,27236445
3389,2,27201807
2487,11,27178598
2101,8,27175269
3386,5,27139749
3381,9,27123081
2336,8,27103008
2421,5,27092225
2438,3,26981588
3516,9,26926029
4711,3,26915833
4035,1,26909972
2406,6,26867029
3385,24,26806083
2487,13,26790462
2487,12,26705433
2101,5,26644583
3516,7,26563784
416,14,26532567
2404,1,26523779
2701,17,26497313
725,6,26468269
2438,11,26428567
855,18,26405607
4415,6,26393537
855,12,26374444
3384,3,26369533
