count_date,scats_site,total_volume
2014-01-01,414,75623
2014-01-01,415,72647
2014-01-01,416,79642
2014-01-01,849,47136
2014-01-01,855,62847
2014-01-01,1359,61375
2014-01-01,2101,70659
2014-01-01,2404,110440
2014-01-01,2405,94864
2014-01-01,2438,78996
2014-01-01,2487,93727
2014-01-01,2816,50397
2014-01-01,2929,83351
2014-01-01,3060,83994
2014-01-01,3357,55567
2014-01-01,3380,76112
2014-01-01,3386,76090
2014-01-01,3516,62457
2014-01-01,3519,73509
2014-01-01,4415,112093
2014-01-02,414,96741
2014-01-02,415,98254
2014-01-02,416,106524
2014-01-02,849,80771
2014-01-02,855,89507
2014-01-02,1359,94994
2014-01-02,2101,86036
2014-01-02,2404,121589
2014-01-02,2405,104195
2014-01-02,2438,91230
2014-01-02,2487,107989
2014-01-02,2816,74318
2014-01-02,2929,93084
2014-01-02,3060,98287
2014-01-02,3357,78908
2014-01-02,3380,95231
2014-01-02,3386,94434
2014-01-02,3516,87436
2014-01-02,3519,99927
2014-01-02,4415,126418
2014-01-03,414,103158
2014-01-03,415,109173
2014-01-03,416,114488
2014-01-03,849,88030
2014-01-03,855,92343
2014-01-03,1359,96147
2014-01-03,2101,99796
2014-01-03,2404,142122
2014-01-03,2405,118605
2014-01-03,2438,106399
2014-01-03,2487,124079
2014-01-03,2816,75819
2014-01-03,2929,103312
2014-01-03,3060,102970
2014-01-03,3357,84336
2014-01-03,3380,103135
2014-01-03,3386,103819
2014-01-03,3516,91271
2014-01-03,3519,105375
2014-01-03,4415,145576
2014-01-04,414,96008
2014-01-04,415,99778
2014-01-04,416,104749
2014-01-04,849,72185
2014-01-04,855,78957
2014-01-04,1359,82468
2014-01-04,2101,92629
2014-01-04,2404,136471
2014-01-04,2405,115178
2014-01-04,2438,101943
2014-01-04,2487,118558
2014-01-04,2816,67813
2014-01-04,2929,94413
2014-01-04,3060,98082
2014-01-04,3357,73375
2014-01-04,3380,97991
2014-01-04,3386,100841
2014-01-04,3516,80983
2014-01-04,3519,94399
2014-01-04,4415,134514
2014-01-05,414,88985
2014-01-05,415,90478
2014-01-05,416,95501
2014-01-05,849,77086
2014-01-05,855,71103
2014-01-05,1359,77990
2014-01-05,2101,88219
2014-01-05,2404,128441
2014-01-05,2405,108351
2014-01-05,2438,94140
2014-01-05,2487,112079
2014-01-05,2816,61835
2014-01-05,2929,86117
2014-01-05,3060,92084
2014-01-05,3357,68963
2014-01-05,3380,88571
2014-01-05,3386,93506
2014-01-05,3516,73717
2014-01-05,3519,85444
2014-01-05,4415,127314
2014-01-06,414,104989
2014-01-06,415,113225
2014-01-06,416,118938
2014-01-06,849,99322
2014-01-06,855,100619
2014-01-06,1359,104496
2014-01-06,2101,100064
2014-01-06,2404,145057
2014-01-06,2405,121050
2014-01-06,2438,107737
2014-01-06,2487,125151
2014-01-06,2816,82023
2014-01-06,2929,95649
2014-01-06,3060,104788
2014-01-06,3357,90069
2014-01-06,3380,108692
2014-01-06,3386,105643
2014-01-06,3516,94248
2014-01-06,3519,106649
2014-01-06,4415,150917
2014-01-07,414,105551
2014-01-07,415,115849
2014-01-07,416,119687
2014-01-07,849,99119
2014-01-07,855,105117
2014-01-07,1359,110652
2014-01-07,2101,98772
2014-01-07,2404,133227
2014-01-07,2405,109487
2014-01-07,2438,97532
2014-01-07,2487,113634
2014-01-07,2816,86340
2014-01-07,2929,98554
2014-01-07,3060,104946
2014-01-07,3357,90900
2014-01-07,3380,111916
2014-01-07,3386,110480
2014-01-07,3516,95858
2014-01-07,3519,108821
2014-01-07,4415,142433
2014-01-08,414,110416
2014-01-08,415,116324
2014-01-08,416,120628
2014-01-08,849,104424
2014-01-08,855,109666
2014-01-08,1359,112760
2014-01-08,2101,101700
2014-01-08,2404,131405
2014-01-08,2405,112863
2014-01-08,2438,101313
2014-01-08,2487,116528
2014-01-08,2816,86509
2014-01-08,2929,103729
2014-01-08,3060,106958
2014-01-08,3357,93126
2014-01-08,3380,123046
2014-01-08,3386,118882
2014-01-08,3516,97698
2014-01-08,3519,110201
2014-01-08,4415,146453
2014-01-09,414,111824
2014-01-09,415,117159
2014-01-09,416,121797
2014-01-09,849,102036
2014-01-09,855,110518
2014-01-09,1359,117206
2014-01-09,2101,102220
2014-01-09,2404,131029
2014-01-09,2405,115716
2014-01-09,2438,102818
2014-01-09,2487,119107
2014-01-09,2816,93545
2014-01-09,2929,105961
2014-01-09,3060,109222
2014-01-09,3357,94363
2014-01-09,3380,125031
2014-01-09,3386,123018
2014-01-09,3516,99433
2014-01-09,3519,113390
2014-01-09,4415,143461
2014-01-10,414,115745
2014-01-10,415,119809
2014-01-10,416,125428
2014-01-10,849,102057
2014-01-10,855,108466
2014-01-10,1359,122975
2014-01-10,2101,105794
2014-01-10,2404,132386
2014-01-10,2405,118895
2014-01-10,2438,105433
2014-01-10,2487,122487
2014-01-10,2816,93274
2014-01-10,2929,110348
2014-01-10,3060,110774
2014-01-10,3357,97463
2014-01-10,3380,128265
2014-01-10,3386,127183
2014-01-10,3516,100725
2014-01-10,3519,114797
2014-01-10,4415,142807
2014-01-11,414,103092
2014-01-11,415,104887
2014-01-11,416,111648
2014-01-11,849,82616
2014-01-11,855,91765
2014-01-11,1359,99043
2014-01-11,2101,98651
2014-01-11,2404,126443
2014-01-11,2405,111056
2014-01-11,2438,98881
2014-01-11,2487,116794
2014-01-11,2816,79240
2014-01-11,2929,100751
2014-01-11,3060,105536
2014-01-11,3357,81059
2014-01-11,3380,115836
2014-01-11,3386,119369
2014-01-11,3516,88195
2014-01-11,3519,102544
2014-01-11,4415,139204
2014-01-12,414,95530
2014-01-12,415,97779
2014-01-12,416,103580
2014-01-12,849,77285
2014-01-12,855,78626
2014-01-12,1359,90159
2014-01-12,2101,92133
2014-01-12,2404,124409
2014-01-12,2405,108978
2014-01-12,2438,93652
2014-01-12,2487,109513
2014-01-12,2816,73470
2014-01-12,2929,92412
2014-01-12,3060,95644
2014-01-12,3357,76359
2014-01-12,3380,107982
2014-01-12,3386,110208
2014-01-12,3516,78967
2014-01-12,3519,90975
2014-01-12,4415,129037
2014-01-13,414,109695
2014-01-13,415,116483
2014-01-13,416,122592
2014-01-13,849,104826
2014-01-13,855,114586
2014-01-13,1359,113856
2014-01-13,2101,101526
2014-01-13,2404,134222
2014-01-13,2405,117124
2014-01-13,2438,102175
2014-01-13,2487,119491
2014-01-13,2816,95863
2014-01-13,2929,103113
2014-01-13,3060,109432
2014-01-13,3357,99570
2014-01-13,3380,127052
2014-01-13,3386,123284
2014-01-13,3516,102594
2014-01-13,3519,114304
2014-01-13,4415,149141
2014-01-14,414,107235
2014-01-14,415,114059
2014-01-14,416,118707
2014-01-14,849,98631
2014-01-14,855,109252
2014-01-14,1359,118515
2014-01-14,2101,104853
2014-01-14,2404,131507
2014-01-14,2405,119825
2014-01-14,2438,103554
2014-01-14,2487,120997
2014-01-14,2816,94529
2014-01-14,2929,104454
2014-01-14,3060,107745
2014-01-14,3357,97832
2014-01-14,3380,124364
2014-01-14,3386,122604
2014-01-14,3516,97519
2014-01-14,3519,110859
2014-01-14,4415,144790
2014-01-15,414,109290
2014-01-15,415,117116
2014-01-15,416,122735
2014-01-15,849,95847
2014-01-15,855,113539
2014-01-15,1359,121439
2014-01-15,2101,105728
2014-01-15,2404,136239
2014-01-15,2405,122279
2014-01-15,2438,108704
2014-01-15,2487,125172
2014-01-15,2816,95250
2014-01-15,2929,108464
2014-01-15,3060,112039
2014-01-15,3357,98513
2014-01-15,3380,129749
2014-01-15,3386,126294
2014-01-15,3516,101390
2014-01-15,3519,115000
2014-01-15,4415,146245
2014-01-16,414,109146
2014-01-16,415,116987
2014-01-16,416,122136
2014-01-16,849,95302
2014-01-16,855,115484
2014-01-16,1359,121954
2014-01-16,2101,107034
2014-01-16,2404,134860
2014-01-16,2405,124370
2014-01-16,2438,109900
2014-01-16,2487,126978
2014-01-16,2816,95589
2014-01-16,2929,115073
2014-01-16,3060,112155
2014-01-16,3357,99187
2014-01-16,3380,121118
2014-01-16,3386,129756
2014-01-16,3516,100913
2014-01-16,3519,115436
2014-01-16,4415,144818
2014-01-17,414,110020
2014-01-17,415,116728
2014-01-17,416,122392
2014-01-17,849,98576
2014-01-17,855,111052
2014-01-17,1359,118849
2014-01-17,2101,110738
2014-01-17,2404,137098
2014-01-17,2405,124677
2014-01-17,2438,109793
2014-01-17,2487,127403
2014-01-17,2816,94881
2014-01-17,2929,118818
2014-01-17,3060,114459
2014-01-17,3357,96490
2014-01-17,3380,134191
2014-01-17,3386,134935
2014-01-17,3516,103165
2014-01-17,3519,117480
2014-01-17,4415,149560
2014-01-18,414,105442
2014-01-18,415,108369
2014-01-18,416,115775
2014-01-18,849,84548
2014-01-18,855,95908
2014-01-18,1359,104265
2014-01-18,2101,104070
2014-01-18,2404,132286
2014-01-18,2405,119722
2014-01-18,2438,104652
2014-01-18,2487,120943
2014-01-18,2816,85877
2014-01-18,2929,109030
2014-01-18,3060,111137
2014-01-18,3357,87036
2014-01-18,3380,125238
2014-01-18,3386,126789
2014-01-18,3516,95925
2014-01-18,3519,111386
2014-01-18,4415,142857
2014-01-19,414,97941
2014-01-19,415,100100
2014-01-19,416,106559
2014-01-19,849,78773
2014-01-19,855,85119
2014-01-19,1359,91665
2014-01-19,2101,96901
2014-01-19,2404,131202
2014-01-19,2405,112156
2014-01-19,2438,96038
2014-01-19,2487,112601
2014-01-19,2816,75394
2014-01-19,2929,95179
2014-01-19,3060,99421
2014-01-19,3357,77015
2014-01-19,3380,116755
2014-01-19,3386,127307
2014-01-19,3516,83145
2014-01-19,3519,95749
2014-01-19,4415,135282
2014-01-20,414,92069
2014-01-20,415,99735
2014-01-20,416,104977
2014-01-20,849,93582
2014-01-20,855,119691
2014-01-20,1359,118357
2014-01-20,2101,107775
2014-01-20,2404,131357
2014-01-20,2405,119683
2014-01-20,2438,105262
2014-01-20,2487,121859
2014-01-20,2816,101293
2014-01-20,2929,105463
2014-01-20,3060,113979
2014-01-20,3357,105256
2014-01-20,3380,130495
2014-01-20,3386,127521
2014-01-20,3516,105636
2014-01-20,3519,117427
2014-01-20,4415,159919
2014-01-21,414,113410
2014-01-21,415,121942
2014-01-21,416,128311
2014-01-21,849,115078
2014-01-21,855,123194
2014-01-21,1359,122906
2014-01-21,2101,112220
2014-01-21,2404,139046
2014-01-21,2405,122237
2014-01-21,2438,109910
2014-01-21,2487,125493
2014-01-21,2816,102411
2014-01-21,2929,108106
2014-01-21,3060,115194
2014-01-21,3357,108019
2014-01-21,3380,134078
2014-01-21,3386,130267
2014-01-21,3516,107593
2014-01-21,3519,120615
2014-01-21,4415,157656
2014-01-22,414,115160
2014-01-22,415,123515
2014-01-22,416,128676
2014-01-22,849,116425
2014-01-22,855,126281
2014-01-22,1359,124152
2014-01-22,2101,115123
2014-01-22,2404,137927
2014-01-22,2405,120504
2014-01-22,2438,113869
2014-01-22,2487,129614
2014-01-22,2816,89624
2014-01-22,2929,108783
2014-01-22,3060,118587
2014-01-22,3357,109460
2014-01-22,3380,137360
2014-01-22,3386,131293
2014-01-22,3516,111175
2014-01-22,3519,124256
2014-01-22,4415,158427
2014-01-23,414,115352
2014-01-23,415,123380
2014-01-23,416,129653
2014-01-23,849,112856
2014-01-23,855,125348
2014-01-23,1359,125769
2014-01-23,2101,115976
2014-01-23,2404,145838
2014-01-23,2405,126410
2014-01-23,2438,113923
2014-01-23,2487,130579
2014-01-23,2816,92763
2014-01-23,2929,119078
2014-01-23,3060,119501
2014-01-23,3357,113763
2014-01-23,3380,136658
2014-01-23,3386,132364
2014-01-23,3516,113121
2014-01-23,3519,125314
2014-01-23,4415,155675
2014-01-24,414,116785
2014-01-24,415,123650
2014-01-24,416,129268
2014-01-24,849,106128
2014-01-24,855,124443
2014-01-24,1359,123576
2014-01-24,2101,117854
2014-01-24,2404,139735
2014-01-24,2405,125832
2014-01-24,2438,115565
2014-01-24,2487,131613
2014-01-24,2816,94783
2014-01-24,2929,114871
2014-01-24,3060,119904
2014-01-24,3357,114288
2014-01-24,3380,132357
2014-01-24,3386,129709
2014-01-24,3516,114705
2014-01-24,3519,127454
2014-01-24,4415,166155
2014-01-25,414,102761
2014-01-25,415,105847
2014-01-25,416,115717
2014-01-25,849,87447
2014-01-25,855,95362
2014-01-25,1359,102123
2014-01-25,2101,99845
2014-01-25,2404,134637
2014-01-25,2405,113120
2014-01-25,2438,102364
2014-01-25,2487,119165
2014-01-25,2816,74173
2014-01-25,2929,98626
2014-01-25,3060,108589
2014-01-25,3357,88193
2014-01-25,3380,111929
2014-01-25,3386,114513
2014-01-25,3516,93118
2014-01-25,3519,107207
