scats_site,time_bin,total_volume
414,00:00,1137633
414,00:15,1047244
414,00:30,898760
414,00:45,781131
414,01:00,683020
414,01:15,619340
414,01:30,560510
414,01:45,501817
414,02:00,475388
414,02:15,446550
414,02:30,409549
414,02:45,392503
414,03:00,377993
414,03:15,390068
414,03:30,411598
414,03:45,426777
414,04:00,450818
414,04:15,534728
414,04:30,666352
414,04:45,768750
414,05:00,1003732
414,05:15,1435912
414,05:30,1821490
414,05:45,2111800
414,06:00,2564263
414,06:15,2991634
414,06:30,3144623
414,06:45,3091742
414,07:00,3184448
414,07:15,3482295
414,07:30,3641407
414,07:45,3764534
414,08:00,3827239
414,08:15,3956754
414,08:30,4041506
414,08:45,4057555
414,09:00,4036302
414,09:15,4062421
414,09:30,4059115
414,09:45,4065091
414,10:00,3989428
414,10:15,4056755
414,10:30,4065254
414,10:45,4067052
414,11:00,4019956
414,11:15,4105139
414,11:30,4159096
414,11:45,4175686
414,12:00,4174460
414,12:15,4228628
414,12:30,4214565
414,12:45,4188774
414,13:00,4153824
414,13:15,4200197
414,13:30,4219315
414,13:45,4206791
414,14:00,4207346
414,14:15,4309130
414,14:30,4407365
414,14:45,4448580
414,15:00,4545165
414,15:15,4607421
414,15:30,4648792
414,15:45,4643180
414,16:00,4679622
414,16:15,4678178
414,16:30,4696187
414,16:45,4667063
414,17:00,4737408
414,17:15,4726444
414,17:30,4674719
414,17:45,4611394
414,18:00,4534842
414,18:15,4375942
414,18:30,4125878
414,18:45,3856674
414,19:00,3571895
414,19:15,3365983
414,19:30,3133803
414,19:45,2935266
414,20:00,2796644
414,20:15,2755815
414,20:30,2660507
414,20:45,2607791
414,21:00,2620138
414,21:15,2648376
414,21:30,2573876
414,21:45,2492642
414,22:00,2410798
414,22:15,2338111
414,22:30,2108606
414,22:45,1893940
414,23:00,1727782
414,23:15,1643399
414,23:30,1459362
414,23:45,1287590
415,00:00,1034864
415,00:15,944898
415,00:30,793209
415,00:45,701205
415,01:00,601186
415,01:15,542141
415,01:30,485799
415,01:45,439663
415,02:00,421882
415,02:15,377726
415,02:30,349365
415,02:45,331175
415,03:00,311045
415,03:15,325952
415,03:30,340229
415,03:45,343526
415,04:00,371816
415,04:15,455042
415,04:30,566389
415,04:45,659108
415,05:00,853953
415,05:15,1229207
415,05:30,1622524
415,05:45,1934639
415,06:00,2397167
415,06:15,2937482
415,06:30,3215253
415,06:45,3182598
415,07:00,3241270
415,07:15,3643303
415,07:30,3857559
415,07:45,4031136
415,08:00,4096605
415,08:15,4254582
415,08:30,4314745
415,08:45,4325054
415,09:00,4152496
415,09:15,4185728
415,09:30,4165502
415,09:45,4217775
415,10:00,4097008
415,10:15,4158174
415,10:30,4181139
415,10:45,4229520
415,11:00,4164351
415,11:15,4278860
415,11:30,4340019
415,11:45,4388632
415,12:00,4356148
415,12:15,4410616
415,12:30,4410267
415,12:45,4396093
415,13:00,4359873
415,13:15,4399050
415,13:30,4415845
415,13:45,4411618
415,14:00,4385156
415,14:15,4473619
415,14:30,4524669
415,14:45,4587586
415,15:00,4675558
415,15:15,4697502
415,15:30,4663020
415,15:45,4624442
415,16:00,4673241
415,16:15,4658298
415,16:30,4652625
415,16:45,4622779
415,17:00,4714985
415,17:15,4699675
415,17:30,4640686
415,17:45,4554833
415,18:00,4467702
415,18:15,4365083
415,18:30,4144926
415,18:45,3955547
415,19:00,3671591
415,19:15,3502005
415,19:30,3245639
415,19:45,3029999
415,20:00,2864756
415,20:15,2815468
415,20:30,2694681
415,20:45,2663921
415,21:00,2710682
415,21:15,2727951
415,21:30,2627184
415,21:45,2504320
415,22:00,2442880
415,22:15,2330913
415,22:30,2064013
415,22:45,1805064
415,23:00,1645986
415,23:15,1536164
415,23:30,1336258
415,23:45,1175881
416,00:00,1043480
416,00:15,960928
416,00:30,800006
416,00:45,711908
416,01:00,606729
416,01:15,544808
416,01:30,488277
416,01:45,442979
416,02:00,422989
416,02:15,379965
416,02:30,350736
416,02:45,333162
416,03:00,313645
416,03:15,328303
416,03:30,343257
416,03:45,347553
416,04:00,376671
416,04:15,456363
416,04:30,577297
416,04:45,672223
416,05:00,871519
416,05:15,1261980
416,05:30,1661458
416,05:45,1958459
416,06:00,2397001
416,06:15,2969655
416,06:30,3274504
416,06:45,3242362
416,07:00,3318071
416,07:15,3717363
416,07:30,3972609
416,07:45,4212092
416,08:00,4294243
416,08:15,4457498
416,08:30,4518229
416,08:45,4540977
416,09:00,4333722
416,09:15,4366464
416,09:30,4321090
416,09:45,4401219
416,10:00,4261433
416,10:15,4326599
416,10:30,4362413
416,10:45,4410418
416,11:00,4349103
416,11:15,4459839
416,11:30,4533234
416,11:45,4587623
416,12:00,4566957
416,12:15,4613224
416,12:30,4601768
416,12:45,4587122
416,13:00,4563190
416,13:15,4586110
416,13:30,4604851
416,13:45,4606854
416,14:00,4593202
416,14:15,4708074
416,14:30,4802615
416,14:45,4881885
416,15:00,5014086
416,15:15,4969846
416,15:30,4909092
