rank,site_id,friendly_name,site_name,site_name_from_volume_csv,signal_type,municipality,total_cleaned_volume,latitude,longitude,has_coordinates,percentile_rank,traffic_band,volume_ratio,lookup_source,google_maps_url
1,4415,PRINCES near CANNING,PRINCES NR CANNING,2014-01,POS,MBN,674498771,-37.792825,144.973731,True,100.0,red,1.0,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.792825,144.973731"
2,3380,EASTERN Freeway OFF RAMP / HODDLE,EASTERN FWY OFF RAMP/HODDLE,2014-01,INT,YRA,638170425,-37.795997,144.99397,True,99.97850848914679,red,0.94614,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.795997,144.99397"
3,2404,Princes Highway East / PARK,PHE/PARK,2014-01,INT,PTP,560184622,-37.833437,144.967764,True,99.95701697829358,red,0.83052,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.833437,144.967764"
4,849,Canterbury / Mitcham / Boronia,CANTERBURY/MITCHAM/BORONIA,2014-01,INT,WTH,548183949,-37.836096,145.195312,True,99.93552546744036,red,0.812728,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.836096,145.195312"
5,1359,Warrigal / Links Estate Access,WARRIGAL/LINKS ESTATE ACCESS,2014-01,INT,MSH,546970945,-37.922492,145.082756,True,99.91403395658715,red,0.810929,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.922492,145.082756"
6,2487,Princes Highway East near IRVING (LANSDOWNE),PHE NR IRVING (LANSDOWNE),2014-01,POS,FRA,544715773,-37.859989,145.007416,True,99.89254244573394,red,0.807586,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.859989,145.007416"
7,3386,Hoddle / Albert / Elizabeth,HODDLE/ALBERT/ELIZABETH,2014-01,INT,MBN,543973902,-37.811248,144.991117,True,99.87105093488073,red,0.806486,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.811248,144.991117"
8,2405,Princes Highway East / ALBERT,PHE/ALBERT,2014-01,INT,PTP,518575823,-37.83513,144.971089,True,99.84955942402752,red,0.768831,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.83513,144.971089"
9,3519,MT ALEXANDER near LINCOLN,MT ALEXANDER NR LINCOLN,2014-01,POS,MNV,513927484,-37.744751,144.910236,True,99.8280679131743,red,0.76194,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.744751,144.910236"
10,416,SPRINGVALE near LAUGHLIN AVE,SPRINGVALE NR LAUGHLIN AVE,2014-01,POS,WTH,505992688,-37.82145,145.17544,True,99.80657640232108,red,0.750176,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.82145,145.17544"
