month_label,month_start,next_month_start,count_date,day_total_volume,month_elapsed_seconds,completed_at_epoch,volume,year,date_label
2014-12,2014-12-01,2015-01-01,2014-12-12,132051790.0,617.274,1777291692.888,132051790.0,2014,2014-12-12
2015-12,2015-12-01,2016-01-01,2015-12-04,134707106.0,742.88,1777300410.01,134707106.0,2015,2015-12-04
2016-12,2016-12-01,2017-01-01,2016-12-16,139308014.0,713.498,1777309442.121,139308014.0,2016,2016-12-16
2017-12,2017-12-01,2018-01-01,2017-12-15,143180251.0,646.011,1777318628.535,143180251.0,2017,2017-12-15
2018-11,2018-11-01,2018-12-01,2018-11-30,141550913.0,668.297,1777326980.539,141550913.0,2018,2018-11-30
2019-12,2019-12-01,2020-01-01,2019-12-13,151916062.0,808.384,1777337274.141,151916062.0,2019,2019-12-13
2020-12,2020-12-01,2021-01-01,2020-12-18,148658715.0,852.545,1777347981.013,148658715.0,2020,2020-12-18
2021-12,2021-12-01,2022-01-01,2021-12-17,152959237.0,824.041,1777361605.74,152959237.0,2021,2021-12-17
2022-11,2022-11-01,2022-12-01,2022-11-25,152536841.0,807.725,1777371541.737,152536841.0,2022,2022-11-25
2023-12,2023-12-01,2024-01-01,2023-12-15,157265385.0,812.445,1777383110.71,157265385.0,2023,2023-12-15
2024-11,2024-11-01,2024-12-01,2024-11-29,162766167.0,806.992,1777392973.535,162766167.0,2024,2024-11-29
2025-12,2025-12-01,2026-01-01,2025-12-12,166208622.0,847.231,1777404642.131,166208622.0,2025,2025-12-12
2026-02,2026-02-01,2026-03-01,2026-02-20,162167735.0,810.521,1777406503.441,162167735.0,2026,2026-02-20
