metric,value
peak_time_bin,17:15
quietest_time_bin,03:00
peak_avg_daily_volume,2283898.46382691
quietest_avg_daily_volume,151357.80437232365
peak_to_quiet_ratio,15.089400069577977
cumulative_share_by_time.09:00,0.21560536256291582
cumulative_share_by_time.12:00,0.394816076010584
cumulative_share_by_time.17:00,0.7377075283409574
cumulative_share_by_time.19:00,0.8632301434386225
time_when_25_percent_reached,09:45
time_when_50_percent_reached,13:45
time_when_75_percent_reached,17:15
morning_ramp_08_vs_05_ratio,5.318018816116846
evening_decay_peak_vs_21_ratio,2.315739551769242
afternoon_vs_morning_peak_ratio,1.1827997050185048
window.Morning_Peak_Window_07:00_09:30.window,Morning Peak Window 07:00–09:30
window.Morning_Peak_Window_07:00_09:30.start,07:00
window.Morning_Peak_Window_07:00_09:30.end,09:30
window.Morning_Peak_Window_07:00_09:30.bins,10
window.Morning_Peak_Window_07:00_09:30.total_volume,75661752166.0
window.Morning_Peak_Window_07:00_09:30.avg_daily_volume_sum,17052457.10299752
window.Morning_Peak_Window_07:00_09:30.share_of_daily_volume,0.14036891482787708
window.Morning_Peak_Window_07:00_09:30.strongest_bin,08:45
window.Morning_Peak_Window_07:00_09:30.strongest_bin_avg_daily_volume,1930925.7976109984
window.Midday_Plateau_10:00_15:00.window,Midday Plateau 10:00–15:00
window.Midday_Plateau_10:00_15:00.start,10:00
window.Midday_Plateau_10:00_15:00.end,15:00
window.Midday_Plateau_10:00_15:00.bins,20
window.Midday_Plateau_10:00_15:00.total_volume,169660862420.0
window.Midday_Plateau_10:00_15:00.avg_daily_volume_sum,38237742.26279017
window.Midday_Plateau_10:00_15:00.share_of_daily_volume,0.31475759501851597
window.Midday_Plateau_10:00_15:00.strongest_bin,14:45
window.Midday_Plateau_10:00_15:00.strongest_bin_avg_daily_volume,2076134.6700473293
window.Afternoon_Peak_Window_16:00_18:30.window,Afternoon Peak Window 16:00–18:30
window.Afternoon_Peak_Window_16:00_18:30.start,16:00
window.Afternoon_Peak_Window_16:00_18:30.end,18:30
window.Afternoon_Peak_Window_16:00_18:30.bins,10
window.Afternoon_Peak_Window_16:00_18:30.total_volume,95990077687.0
window.Afternoon_Peak_Window_16:00_18:30.avg_daily_volume_sum,21634004.437006988
window.Afternoon_Peak_Window_16:00_18:30.share_of_daily_volume,0.17808235539676817
window.Afternoon_Peak_Window_16:00_18:30.strongest_bin,17:15
window.Afternoon_Peak_Window_16:00_18:30.strongest_bin_avg_daily_volume,2283898.46382691
window.Overnight_Baseline_00:00_05:00.window,Overnight Baseline 00:00–05:00
window.Overnight_Baseline_00:00_05:00.start,00:00
window.Overnight_Baseline_00:00_05:00.end,05:00
window.Overnight_Baseline_00:00_05:00.bins,20
window.Overnight_Baseline_00:00_05:00.total_volume,19204962951.0
window.Overnight_Baseline_00:00_05:00.avg_daily_volume_sum,4328366.67816092
window.Overnight_Baseline_00:00_05:00.share_of_daily_volume,0.0356293600342083
window.Overnight_Baseline_00:00_05:00.strongest_bin,00:00
window.Overnight_Baseline_00:00_05:00.strongest_bin_avg_daily_volume,382163.84561640746
plateau_above_70_percent.threshold,0.7
plateau_above_70_percent.bins,45
plateau_above_70_percent.hours,11.25
plateau_above_70_percent.start,07:30
plateau_above_70_percent.end,18:30
plateau_above_80_percent.threshold,0.8
plateau_above_80_percent.bins,32
plateau_above_80_percent.hours,8.0
plateau_above_80_percent.start,08:15
plateau_above_80_percent.end,18:15
plateau_above_90_percent.threshold,0.9
plateau_above_90_percent.bins,13
plateau_above_90_percent.hours,3.25
plateau_above_90_percent.start,14:45
plateau_above_90_percent.end,17:45
