time_bin,total_volume,minutes,avg_daily_volume,period,period_colour
00:00,1695660983.0,0,382163.84561640746,Overnight Quiet,#1a9850
00:15,1516742283.0,15,341839.59499661933,Overnight Quiet,#1a9850
00:30,1333677272.0,30,300580.8591390579,Overnight Quiet,#1a9850
00:45,1183341887.0,45,266698.6448050485,Overnight Quiet,#1a9850
01:00,1077396603.0,60,242820.96078431373,Overnight Quiet,#1a9850
01:15,983577972.0,75,221676.35158891144,Overnight Quiet,#1a9850
01:30,908408200.0,90,204734.7757493802,Overnight Quiet,#1a9850
01:45,838489759.0,105,188976.73180076628,Overnight Quiet,#1a9850
02:00,790996228.0,120,178272.75816993465,Overnight Quiet,#1a9850
02:15,746959161.0,135,168347.7937795808,Overnight Quiet,#1a9850
02:30,714253448.0,150,160976.6617083615,Overnight Quiet,#1a9850
02:45,684105762.0,165,154182.05138607166,Overnight Quiet,#1a9850
03:00,671574578.0,180,151357.80437232365,Overnight Quiet,#1a9850
03:15,685751348.0,195,154552.9294568402,Overnight Quiet,#1a9850
03:30,712084301.0,210,160487.78476448052,Overnight Quiet,#1a9850
03:45,724135996.0,225,163203.9657426189,Overnight Quiet,#1a9850
04:00,761722780.0,240,171675.18142889338,Overnight Quiet,#1a9850
04:15,881939388.0,255,198769.30087897228,Overnight Quiet,#1a9850
04:30,1072111870.0,270,241629.90083389677,Overnight Quiet,#1a9850
04:45,1222033132.0,285,275418.7811584404,Overnight Quiet,#1a9850
05:00,1458529208.0,300,328719.6772594095,Morning Build,#fdae61
05:15,2010192339.0,315,453052.138607167,Morning Build,#fdae61
05:30,2755082409.0,330,620933.6058147397,Morning Build,#fdae61
05:45,3262098702.0,345,735203.6741041244,Morning Build,#fdae61
06:00,3721476763.0,360,838737.15641199,Morning Build,#fdae61
06:15,4624400211.0,375,1042235.7924273157,Morning Build,#fdae61
06:30,5485831699.0,390,1236383.0739238225,Morning Build,#fdae61
06:45,5757676102.0,405,1297650.6878521524,Morning Build,#fdae61
07:00,5725061065.0,420,1290299.9921117872,Morning Build,#fdae61
07:15,6435796151.0,435,1450483.6941627224,Morning Build,#fdae61
07:30,7112233761.0,450,1602937.5165652467,Morning Build,#fdae61
07:45,7684388382.0,465,1731888.2988505748,Morning Build,#fdae61
08:00,7756485772.0,480,1748137.4288933964,Morning Build,#fdae61
08:15,8234016013.0,495,1855762.0042821725,Morning Build,#fdae61
08:30,8512676435.0,510,1918565.7955826009,Morning Build,#fdae61
08:45,8567517764.0,525,1930925.7976109984,Morning Build,#fdae61
09:00,7907329933.0,540,1782134.3098940726,Morning Build,#fdae61
09:15,7726246890.0,555,1741322.2650439485,Morning Build,#fdae61
09:30,7675694402.0,570,1729928.8713094434,Morning Build,#fdae61
09:45,7824059342.0,585,1763366.9916610322,Morning Build,#fdae61
10:00,7600549617.0,600,1712992.9269776875,Business-Day Plateau,#fee08b
10:15,7798618314.0,615,1757633.1561866126,Business-Day Plateau,#fee08b
10:30,7932586972.0,630,1787826.678386297,Business-Day Plateau,#fee08b
10:45,8094310270.0,645,1824275.472165878,Business-Day Plateau,#fee08b
11:00,8058771573.0,660,1816265.8492224475,Business-Day Plateau,#fee08b
11:15,8257303856.0,675,1861010.5602884833,Business-Day Plateau,#fee08b
11:30,8422155941.0,690,1898164.5122830742,Business-Day Plateau,#fee08b
11:45,8576566225.0,705,1932965.1171963038,Business-Day Plateau,#fee08b
12:00,8631422643.0,720,1945328.5199459095,Business-Day Plateau,#fee08b
12:15,8722765928.0,735,1965915.2418300654,Business-Day Plateau,#fee08b
12:30,8699029407.0,750,1960565.5638945233,Business-Day Plateau,#fee08b
12:45,8658469081.0,765,1951424.1787243632,Business-Day Plateau,#fee08b
