year,total_volume,avg_daily_volume,days_loaded,months_loaded,is_partial_year,total_billion,avg_daily_million,cumulative_billion
2014,40230427435.0,110235019.92481439,365.0,12,False,40.230427435,110.2350199248144,40.230427435
2015,40941942434.0,112507310.24991679,364.0,12,False,40.941942434,112.5073102499168,81.172369869
2016,42605388596.0,116437096.80887097,366.0,12,False,42.605388596,116.43709680887098,123.777758465
2017,43261052427.0,118866652.58922811,364.0,12,False,43.261052427,118.86665258922811,167.038810892
2018,40213378631.0,110402286.23195083,334.0,12,False,40.213378631,110.40228623195084,207.252189523
2019,45474463564.0,124937784.47615208,364.0,12,False,45.474463564,124.93778447615207,252.726653087
2020,37004227171.0,102101162.66713323,362.0,12,False,37.004227171,102.10116266713322,289.730880258
2021,41714712032.0,114318997.2950909,365.0,12,False,41.714712032,114.3189972950909,331.44559229
2022,46254562684.0,127117181.9091398,364.0,12,False,46.254562684,127.1171819091398,377.700154974
2023,47874719592.0,131546601.11751153,364.0,12,False,47.874719592,131.54660111751153,425.574874566
2024,49477917898.0,135570609.8138796,365.0,12,False,49.477917898,135.5706098138796,475.052792464
2025,50522524502.0,139213955.87687176,363.0,12,False,50.522524502,139.21395587687175,525.575316966
2026,13445393273.0,135236243.15207374,97.0,4,True,13.445393273,135.23624315207374,539.020710239
