month_label,month_start,next_month_start,time_bin,month_time_bin_volume,month_distinct_dates,month_avg_daily_time_bin_volume,month_elapsed_seconds,completed_at_epoch
2014-01,2014-01-01,2014-02-01,00:00,12290065,31,396453.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,00:15,11346111,31,366003.580645,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,00:30,10131189,31,326812.548387,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,00:45,9068095,31,292519.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,01:00,8213747,31,264959.580645,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,01:15,7445760,31,240185.806452,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,01:30,6823297,31,220106.354839,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,01:45,6247450,31,201530.645161,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,02:00,5827541,31,187985.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,02:15,5402590,31,174277.096774,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,02:30,5078240,31,163814.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,02:45,4812537,31,155243.129032,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,03:00,4649711,31,149990.677419,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,03:15,4681201,31,151006.483871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,03:30,4750338,31,153236.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,03:45,4717987,31,152193.129032,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,04:00,4810828,31,155188.0,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,04:15,5304546,31,171114.387097,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,04:30,6148697,31,198345.064516,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,04:45,6742050,31,217485.483871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,05:00,7730745,31,249378.870968,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,05:15,10322667,31,332989.258065,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,05:30,14119554,31,455469.483871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,05:45,16346710,31,527313.225806,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,06:00,18163160,31,585908.387097,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,06:15,23181481,31,747789.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,06:30,28575446,31,921788.580645,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,06:45,30410634,31,980988.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,07:00,31069827,31,1002252.483871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,07:15,35393268,31,1141718.322581,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,07:30,39241221,31,1265845.83871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,07:45,42238977,31,1362547.645161,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,08:00,42400800,31,1367767.741935,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,08:15,44550695,31,1437119.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,08:30,44939892,31,1449673.935484,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,08:45,44898948,31,1448353.16129,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,09:00,41519321,31,1339332.935484,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,09:15,42192175,31,1361037.903226,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,09:30,43196696,31,1393441.806452,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,09:45,44695652,31,1441795.225806,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,10:00,43728894,31,1410609.483871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,10:15,45175783,31,1457283.322581,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,10:30,46324607,31,1494342.16129,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,10:45,47515066,31,1532744.064516,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,11:00,47434966,31,1530160.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,11:15,48586628,31,1567310.580645,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,11:30,49641414,31,1601335.935484,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,11:45,50585728,31,1631797.677419,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,12:00,50887987,31,1641547.967742,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,12:15,51216250,31,1652137.096774,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,12:30,51085221,31,1647910.354839,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,12:45,50826595,31,1639567.580645,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,13:00,50375017,31,1625000.548387,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,13:15,50338525,31,1623823.387097,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,13:30,50182109,31,1618777.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,13:45,49930726,31,1610668.580645,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,14:00,49927084,31,1610551.096774,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,14:15,50677773,31,1634766.870968,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,14:30,51380696,31,1657441.806452,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,14:45,51483900,31,1660770.967742,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,15:00,52682943,31,1699449.774194,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,15:15,53671708,31,1731345.419355,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,15:30,54509661,31,1758376.16129,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,15:45,54215901,31,1748900.032258,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,16:00,55145054,31,1778872.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,16:15,55832683,31,1801054.290323,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,16:30,56225187,31,1813715.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,16:45,56184510,31,1812403.548387,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,17:00,58557286,31,1888944.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,17:15,59582106,31,1922003.419355,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,17:30,57577387,31,1857335.064516,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,17:45,55173623,31,1779794.290323,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,18:00,51910683,31,1674538.16129,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,18:15,49136047,31,1585033.774194,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,18:30,45087192,31,1454425.548387,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,18:45,41876575,31,1350857.258065,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,19:00,38637600,31,1246374.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,19:15,36196900,31,1167641.935484,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,19:30,33425616,31,1078245.677419,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,19:45,31373639,31,1012052.870968,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,20:00,30011194,31,968103.032258,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,20:15,29045544,31,936953.032258,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,20:30,28230104,31,910648.516129,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,20:45,27591869,31,890060.290323,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,21:00,27772921,31,895900.677419,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,21:15,27458869,31,885769.967742,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,21:30,26113992,31,842386.83871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,21:45,24674182,31,795941.354839,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,22:00,23950362,31,772592.322581,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,22:15,22635794,31,730186.903226,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,22:30,20986313,31,676977.83871,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,22:45,19236823,31,620542.677419,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,23:00,18080090,31,583228.709677,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,23:15,16627042,31,536356.193548,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,23:30,15091716,31,486829.548387,785.321,1776925061.278
2014-01,2014-01-01,2014-02-01,23:45,13612396,31,439109.548387,785.321,1776925061.278
2014-02,2014-02-01,2014-03-01,00:00,11353001,28,405464.321429,711.921,1776925841.596
2014-02,2014-02-01,2014-03-01,00:15,10132367,28,361870.25,711.921,1776925841.596
