month_label,month_start,next_month_start,month_total_volume,month_am_volume,month_pm_volume,month_am_share_pct,month_pm_share_pct,month_elapsed_seconds,completed_at_epoch
2014-01,2014-01-01,2014-02-01,3135106330,496337472,642288333,15.831599,20.486971,867.956,1777105515.591
2014-02,2014-02-01,2014-03-01,3163908323,559584573,651796224,17.686498,20.600983,761.678,1777106349.587
2014-03,2014-03-01,2014-04-01,3465584673,593793105,718420037,17.133995,20.730125,1102.679,1777107524.26
2014-04,2014-04-01,2014-05-01,3185110879,531635113,667515964,16.691259,20.957385,869.621,1777108464.914
2014-05,2014-05-01,2014-06-01,3493864171,623692957,740767493,17.851093,21.201955,910.604,1777109447.505
2014-06,2014-06-01,2014-07-01,3205298805,555410215,681283226,17.327876,21.254905,966.068,1777110487.521
2014-07,2014-07-01,2014-08-01,3380496755,590026435,720627992,17.453838,21.317222,956.95,1777111521.167
2014-08,2014-08-01,2014-09-01,3438065829,603413039,725354969,17.550945,21.097763,936.192,1777112535.942
2014-09,2014-09-01,2014-10-01,3341624965,593804573,699003364,17.769935,20.918067,869.08,1777113476.801
2014-10,2014-10-01,2014-11-01,3560279625,628564284,745048114,17.654913,20.926674,888.221,1777114437.071
2014-11,2014-11-01,2014-12-01,3408259338,575299113,698577407,16.879558,20.496604,859.796,1777115369.03
2014-12,2014-12-01,2015-01-01,3452827742,552852570,695845225,16.011589,20.152909,972.652,1777116414.205
2015-01,2015-01-01,2015-02-01,3176402739,492611680,654421924,15.508477,20.602612,874.133,1777117361.314
2015-02,2015-02-01,2015-03-01,3232040831,573005891,658556827,17.728919,20.375882,815.752,1777118256.444
2015-03,2015-03-01,2015-04-01,3436425583,582670935,707389212,16.955727,20.585029,930.097,1777119258.29
2015-04,2015-04-01,2015-05-01,3316264247,563343203,698310960,16.987283,21.057157,911.384,1777120246.889
2015-05,2015-05-01,2015-06-01,3523217182,616913264,741949402,17.509941,21.058861,866.757,1777121186.375
2015-06,2015-06-01,2015-07-01,3314160485,579079165,696635556,17.472876,21.01997,829.032,1777122087.409
2015-07,2015-07-01,2015-08-01,3457636675,600859373,734251788,17.377748,21.235655,993.212,1777123152.885
2015-08,2015-08-01,2015-09-01,3497577936,615160755,737496606,17.588193,21.085923,874.882,1777124099.677
2015-09,2015-09-01,2015-10-01,3428209933,603142022,720325115,17.593497,21.011698,1278.891,1777125450.266
2015-10,2015-10-01,2015-11-01,3599947921,626401959,742073749,17.400306,20.613458,891.683,1777126413.152
2015-11,2015-11-01,2015-12-01,3439546450,584377569,707774313,16.98996,20.577548,899.303,1777127392.008
