month_label,month_start,next_month_start,month_total_cleaned_volume,month_elapsed_seconds,completed_at_epoch
2014-01,2014-01-01,2014-02-01,3135106330,86.672,1776657494.453
2014-02,2014-02-01,2014-03-01,3163908323,64.999,1776657772.64
2014-03,2014-03-01,2014-04-01,3465584673,83.633,1776658063.835
2014-04,2014-04-01,2014-05-01,3185110879,74.71,1776658398.618
2014-05,2014-05-01,2014-06-01,3493864171,56.761,1776658684.897
2014-06,2014-06-01,2014-07-01,3205298805,80.426,1776658987.51
2014-07,2014-07-01,2014-08-01,3380496755,73.95,1776659331.79
2014-08,2014-08-01,2014-09-01,3438065829,68.224,1776659692.258
2014-09,2014-09-01,2014-10-01,3341624965,63.581,1776660010.063
2014-10,2014-10-01,2014-11-01,3560279625,91.856,1776660298.987
2014-11,2014-11-01,2014-12-01,3408259338,65.844,1776660625.518
2014-12,2014-12-01,2015-01-01,3452827742,79.183,1776660912.709
2015-01,2015-01-01,2015-02-01,3176402739,74.753,1776661266.956
2015-02,2015-02-01,2015-03-01,3232040831,69.962,1776661604.834
2015-03,2015-03-01,2015-04-01,3436425583,73.897,1776661958.897
2015-04,2015-04-01,2015-05-01,3316264247,70.014,1776662274.079
2015-05,2015-05-01,2015-06-01,3523217182,53.948,1776662592.806
2015-06,2015-06-01,2015-07-01,3314160485,67.714,1776662884.134
2015-07,2015-07-01,2015-08-01,3457636675,74.322,1776663207.048
2015-08,2015-08-01,2015-09-01,3497577936,65.465,1776663556.896
2015-09,2015-09-01,2015-10-01,3428209933,107.571,1776663891.449
2015-10,2015-10-01,2015-11-01,3599947921,98.515,1776664299.438
2015-11,2015-11-01,2015-12-01,3439546450,48.336,1776664661.254
2015-12,2015-12-01,2016-01-01,3520512452,90.265,1776664958.399
2016-01,2016-01-01,2016-02-01,3229608651,84.073,1776665312.029
2016-02,2016-02-01,2016-03-01,3453808302,63.424,1776665645.249
2016-03,2016-03-01,2016-04-01,3553086995,62.203,1776665931.175
2016-04,2016-04-01,2016-05-01,3496621416,76.903,1776666195.703
2016-05,2016-05-01,2016-06-01,3639479964,65.599,1776666424.141
2016-06,2016-06-01,2016-07-01,3436802887,60.465,1776666683.966
2016-07,2016-07-01,2016-08-01,3582237904,63.633,1776667002.541
2016-08,2016-08-01,2016-09-01,3686630618,71.055,1776667345.883
2016-09,2016-09-01,2016-10-01,3514136708,73.079,1776667651.429
2016-10,2016-10-01,2016-11-01,3681720111,85.25,1776668019.18
2016-11,2016-11-01,2016-12-01,3682971216,53.585,1776668308.659
2016-12,2016-12-01,2017-01-01,3648283824,76.684,1776668592.599
2017-01,2017-01-01,2017-02-01,3376836301,71.036,1776668923.926
2017-02,2017-02-01,2017-03-01,3431302811,50.751,1776669226.886
2017-03,2017-03-01,2017-04-01,3821955946,68.968,1776669490.762
2017-04,2017-04-01,2017-05-01,3408210727,62.95,1776669765.569
2017-05,2017-05-01,2017-06-01,3756242112,59.337,1776670065.621
2017-06,2017-06-01,2017-07-01,3540040727,78.511,1776670349.38
2017-07,2017-07-01,2017-08-01,3473856532,77.487,1776670675.104
2017-08,2017-08-01,2017-09-01,3731810338,103.317,1776671041.467
2017-09,2017-09-01,2017-10-01,3543109329,68.34,1776671354.082
2017-10,2017-10-01,2017-11-01,3772673180,63.009,1776671638.565
2017-11,2017-11-01,2017-12-01,3725865164,74.697,1776671934.851
2017-12,2017-12-01,2018-01-01,3679149260,83.841,1776672252.27
2018-01,2018-01-01,2018-02-01,3447376750,74.761,1776672610.835
2018-02,2018-02-01,2018-03-01,3519395584,58.97,1776672930.963
2018-03,2018-03-01,2018-04-01,3796169426,90.786,1776673273.545
2018-04,2018-04-01,2018-05-01,3543308072,79.918,1776673618.694
2018-05,2018-05-01,2018-06-01,3786980758,113.459,1776673996.86
2018-06,2018-06-01,2018-07-01,3544747568,77.547,1776674300.431
2018-07,2018-07-01,2018-08-01,3647632727,86.27,1776674630.575
2018-08,2018-08-01,2018-09-01,3796160085,106.055,1776674979.154
2018-09,2018-09-01,2018-10-01,3542539283,68.041,1776675228.886
2018-10,2018-10-01,2018-11-01,3843850831,81.455,1776675530.212
2018-11,2018-11-01,2018-12-01,3745217547,71.779,1776675865.124
2018-12,2018-12-01,2019-01-01,,0.311,1776676068.805
2019-01,2019-01-01,2019-02-01,3481934922,69.101,1776676224.582
2019-02,2019-02-01,2019-03-01,3537567800,73.321,1776676501.323
2019-03,2019-03-01,2019-04-01,3867309544,80.361,1776676813.226
2019-04,2019-04-01,2019-05-01,3562539050,73.56,1776677125.159
2019-05,2019-05-01,2019-06-01,3896132153,81.033,1776677463.004
2019-06,2019-06-01,2019-07-01,3606479411,70.798,1776677812.991
2019-07,2019-07-01,2019-08-01,3827688501,96.152,1776678185.512
2019-08,2019-08-01,2019-09-01,4038680009,137.921,1776678556.032
2019-09,2019-09-01,2019-10-01,3794136310,141.926,1776678963.066
2019-10,2019-10-01,2019-11-01,4124136444,109.329,1776679315.092
2019-11,2019-11-01,2019-12-01,3971414689,102.029,1776679709.907
2019-12,2019-12-01,2020-01-01,3766444731,156.024,1776680098.304
2020-01,2020-01-01,2020-02-01,3723205203,117.078,1776680510.166
2020-02,2020-02-01,2020-03-01,3835818599,96.547,1776680933.433
2020-03,2020-03-01,2020-04-01,3544940848,109.977,1776681304.097
2020-04,2020-04-01,2020-05-01,2226937680,93.73,1776681668.025
2020-05,2020-05-01,2020-06-01,2973651861,123.08,1776682037.431
2020-06,2020-06-01,2020-07-01,3190267210,146.001,1776682458.39
