capability,relative_path,filename,rows_estimate,size_mb
traffic volume analytics,all_scats_sites_map_data_audit.csv,all_scats_sites_map_data_audit.csv,4653,1.169
SCATS site-level analytics,all_scats_sites_map_data_audit.csv,all_scats_sites_map_data_audit.csv,4653,1.169
mapping / GIS analysis,all_scats_sites_map_data_audit.csv,all_scats_sites_map_data_audit.csv,4653,1.169
SCATS site-level analytics,busiestSCATSsitesCOORDINATES.csv,busiestSCATSsitesCOORDINATES.csv,97,0.004
mapping / GIS analysis,busiestSCATSsitesCOORDINATES.csv,busiestSCATSsitesCOORDINATES.csv,97,0.004
traffic volume analytics,charts\busiest_day_by_year.csv,busiest_day_by_year.csv,13,0.001
monthly / seasonal analytics,charts\busiest_day_by_year.csv,busiest_day_by_year.csv,13,0.001
yearly trend analytics,charts\busiest_day_by_year.csv,busiest_day_by_year.csv,13,0.001
traffic volume analytics,charts\monthly_seasonality_average.csv,monthly_seasonality_average.csv,12,0.0
monthly / seasonal analytics,charts\monthly_seasonality_average.csv,monthly_seasonality_average.csv,12,0.0
yearly trend analytics,charts\monthly_seasonality_average.csv,monthly_seasonality_average.csv,12,0.0
traffic volume analytics,charts\monthly_totals_cleaned_for_charts.csv,monthly_totals_cleaned_for_charts.csv,148,0.009
monthly / seasonal analytics,charts\monthly_totals_cleaned_for_charts.csv,monthly_totals_cleaned_for_charts.csv,148,0.009
yearly trend analytics,charts\monthly_totals_cleaned_for_charts.csv,monthly_totals_cleaned_for_charts.csv,148,0.009
traffic volume analytics,charts\processing_time_summary.csv,processing_time_summary.csv,6,0.0
15-minute / time-of-day analytics,charts\processing_time_summary.csv,processing_time_summary.csv,6,0.0
traffic volume analytics,charts\site_totals_from_monthly.csv,site_totals_from_monthly.csv,4758,0.101
SCATS site-level analytics,charts\site_totals_from_monthly.csv,site_totals_from_monthly.csv,4758,0.101
mapping / GIS analysis,charts\site_totals_from_monthly.csv,site_totals_from_monthly.csv,4758,0.101
traffic volume analytics,charts\time_bin_profile\time_bin_profile_aggregated_96_bins.csv,time_bin_profile_aggregated_96_bins.csv,96,0.006
15-minute / time-of-day analytics,charts\time_bin_profile\time_bin_profile_aggregated_96_bins.csv,time_bin_profile_aggregated_96_bins.csv,96,0.006
