capability,file_count,total_rows_estimate,total_size_mb,example_files
traffic volume analytics,92,14454871,2013.368,all_scats_sites_map_data_audit.csv | charts\busiest_day_by_year.csv | charts\monthly_seasonality_average.csv | charts\monthly_totals_cleaned_for_charts.csv | charts\processing_time_summary.csv | charts\site_totals_from_monthly.csv | charts\time_bin_profile\time_bin_profile_aggregated_96_bins.csv | charts\time_bin_profile_aggregated.csv
SCATS site-level analytics,62,14394570,2008.337,all_scats_sites_map_data_audit.csv | busiestSCATSsitesCOORDINATES.csv | charts\site_totals_from_monthly.csv | charts\top_20_busiest_scats_sites_named.csv | chunked_busiest_site_monthly.csv | didntworkagainagain\chunked_busiest_site_monthly.csv | distinct_sites.csv | high_impact_charts\commercial_value_ranking_top25.csv
monthly / seasonal analytics,31,3182510,232.305,charts\busiest_day_by_year.csv | charts\monthly_seasonality_average.csv | charts\monthly_totals_cleaned_for_charts.csv | chunked_busiest_day_monthly.csv | chunked_busiest_site_monthly.csv | chunked_busiest_time_bin_monthly.csv | chunked_peak_shares_monthly.csv | chunked_total_cleaned_volume_monthly.csv
mapping / GIS analysis,30,11280068,1782.5449999999998,all_scats_sites_map_data_audit.csv | busiestSCATSsitesCOORDINATES.csv | charts\site_totals_from_monthly.csv | charts\top_20_busiest_scats_sites_named.csv | kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv | kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv | kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_02_2021-08-05_extended_disruption.csv | kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv
15-minute / time-of-day analytics,25,11296098,1782.075,charts\processing_time_summary.csv | charts\time_bin_profile\time_bin_profile_aggregated_96_bins.csv | charts\time_bin_profile_aggregated.csv | chunked_busiest_time_bin_monthly.csv | in progress tests\chunked_busiest_time_bin_monthly.csv | in progress tests\time_bin_profile.csv | kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv | kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv
day-of-week / weekday-weekend analytics,14,6163726,905.159,charts\top_50_busiest_days.csv | day_of_week_charts\day_of_week_final_summary.csv | day_of_week_charts_v2\v2_day_summary.csv | day_of_week_charts_v2\v2_yearly_day_metrics.csv | day_of_week_profile.csv | high_impact_charts\weekday_profile.csv | in progress tests\day_of_week_profile.csv | in progress tests\weekday_weekend_split.csv
yearly trend analytics,9,15001,2.458,charts\busiest_day_by_year.csv | charts\monthly_seasonality_average.csv | charts\monthly_totals_cleaned_for_charts.csv | charts\yearly_growth_from_monthly.csv | charts\yearly_totals_from_monthly.csv | day_of_week_charts_v2\v2_yearly_day_metrics.csv | in progress tests\month_of_year_profile.csv | kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv
"growth, volatility, concentration and ranking analysis",9,3117867,227.05599999999998,chunked_busiest_site_monthly.csv | didntworkagainagain\chunked_busiest_site_monthly.csv | in progress tests\chunked_busiest_site_monthly.csv | in progress tests\site_month_totals.csv | in progress tests\site_totals.csv | kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv | site_intelligence\site_totals_monthly_network_trend.csv | site_month_totals.csv
site-by-month trend analysis,9,3117867,227.05599999999998,chunked_busiest_site_monthly.csv | didntworkagainagain\chunked_busiest_site_monthly.csv | in progress tests\chunked_busiest_site_monthly.csv | in progress tests\site_month_totals.csv | in progress tests\site_totals.csv | kepler_animation_exports\kepler_seasonal_top100_monthly_pulse.csv | site_intelligence\site_totals_monthly_network_trend.csv | site_month_totals.csv
busiest/quietest recurring day-time windows,5,6161798,904.95,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv | kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv | kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv | weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_observed.csv | weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv
weekly day-time pulse analysis,5,6161798,904.95,kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv | kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv | kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv | weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_observed.csv | weekly_day_time_pulse_from_csv\weekly_day_time_pulse_7day_ranked.csv
parcel / OOH opportunity intelligence,3,291,0.189,kepler_animation_exports\kepler_top100_ooh_reveal.csv | top100_scats_vicmap_ooh.csv | top100_scats_vicmap_ooh_with_totals.csv
