column,file_count,tags
month_label,29,month/season
month_start,27,date/time
volume,27,metric
completed_at_epoch,26,processing/runtime
month_elapsed_seconds,26,processing/runtime
next_month_start,26,date/time
site_id,26,site
site_name,25,site
total_volume,20,metric
latitude,17,spatial
longitude,17,spatial
rank,15,
scaled_volume,14,metric
scaled_volume_0_100,14,metric
scats_site,14,site
date_label,13,date/time
intensity_band,13,
timestamp,13,date/time
hour,12,time-bin
minute,12,time-bin
row_type,12,
time_label,12,
day_name,10,day-of-week
sites,9,site
animation_timestamp,8,date/time
avg_daily_volume,8,metric
percentile_band,8,
time_bin,8,time-bin
avg_monthly_volume,7,metric
best_month,7,
best_month_volume,7,metric
comparison_period,7,
comparison_sequence,7,
cumulative_percent,7,spatial
cumulative_volume,7,metric | spatial
first_month,7,
last_month,7,
max_monthly_volume,7,metric
month_site_volume,7,site | metric
months_present,7,
percent_of_network,7,
day_total_volume,6,metric
days_loaded,6,
description,6,
filename,6,
month_total_volume,6,metric
year,6,year
absolute_growth,5,
count_date,5,date/time | metric
growth_pct,5,metric
month,5,
month_name,5,month/season
name,5,
cost,4,
first_avg,4,metric
iso_dow,4,day-of-week
last_avg,4,metric
month_of_year,4,month/season | year
month_time_bin_volume,4,time-bin | metric
file,3,
lat,3,spatial
lng,3,spatial
lookup_source,3,
month_total_cleaned_volume,3,metric
profit,3,
revenue,3,
site_share_percent,3,site | metric
Latitude,2,spatial
Longitude,2,spatial
Name,2,
SCATS Site,2,site
active_sites,2,site
avg_site_volume,2,site | metric
avg_volume,2,metric
columns,2,
cpm,2,
cv,2,
days_in_month_loaded,2,
efficiency_ratio,2,
error,2,
has_day_column,2,
has_time_column,2,
has_volume_column,2,metric
lifecycle_type,2,
mean_volume,2,metric
metric,2,
metric_name,2,
month_avg_daily_time_bin_volume,2,time-bin | metric
month_distinct_dates,2,date/time
month_weekday_days,2,day-of-week
month_weekday_volume,2,day-of-week | metric
month_weekend_days,2,day-of-week
month_weekend_volume,2,day-of-week | metric
ooh_advertising_context,2,
ooh_annual_avg_movements,2,metric
ooh_daily_avg_movements,2,metric
ooh_dataset_period,2,
ooh_peak_hour_estimate,2,time-bin
ooh_total_12yr_movements,2,metric
parcel_objectid,2,parcel/property
parcel_parcel_accessory_lot,2,parcel/property
parcel_parcel_allotment,2,parcel/property
parcel_parcel_block,2,parcel/property
parcel_parcel_crefno,2,parcel/property
parcel_parcel_crown_status,2,parcel/property
parcel_parcel_desc_type,2,parcel/property
parcel_parcel_further_description,2,parcel/property
parcel_parcel_id,2,parcel/property
parcel_parcel_lga_code,2,parcel/property
parcel_parcel_lot_number,2,parcel/property
parcel_parcel_multi,2,parcel/property
parcel_parcel_p_number,2,parcel/property
parcel_parcel_parish_code,2,parcel/property
parcel_parcel_part,2,parcel/property
parcel_parcel_pfi,2,parcel/property
parcel_parcel_pfi_created,2,parcel/property
parcel_parcel_plan_number,2,parcel/property
parcel_parcel_portion,2,parcel/property
parcel_parcel_reg_date,2,date/time | parcel/property
parcel_parcel_road,2,parcel/property
parcel_parcel_sec,2,parcel/property
parcel_parcel_spi,2,parcel/property
parcel_parcel_spi_code,2,parcel/property
parcel_parcel_status,2,parcel/property
parcel_parcel_subdivision,2,parcel/property
parcel_parcel_task_id,2,parcel/property
parcel_parcel_township_code,2,parcel/property
parcel_parcel_ufi,2,parcel/property
