relative_path,filename,parent_folder,size_mb,rows_estimate,column_count,columns,capabilities,error
all_scats_sites_map_data_audit.csv,all_scats_sites_map_data_audit.csv,.,1.169,4653,16,rank | site_id | friendly_name | site_name | site_name_from_volume_csv | signal_type | municipality | total_cleaned_volume | latitude | longitude | has_coordinates | percentile_rank | traffic_band | volume_ratio | lookup_source | google_maps_url,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
busiestSCATSsitesCOORDINATES.csv,busiestSCATSsitesCOORDINATES.csv,.,0.004,97,4,SCATS Site | Name | Latitude | Longitude,SCATS site-level analytics | mapping / GIS analysis,
charts\busiest_day_by_year.csv,busiest_day_by_year.csv,charts,0.001,13,10,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch | volume | year | date_label,traffic volume analytics | monthly / seasonal analytics | yearly trend analytics,
charts\monthly_seasonality_average.csv,monthly_seasonality_average.csv,charts,0.0,12,3,month_of_year | volume | month_name,traffic volume analytics | monthly / seasonal analytics | yearly trend analytics,
charts\monthly_totals_cleaned_for_charts.csv,monthly_totals_cleaned_for_charts.csv,charts,0.009,148,7,month_label | month | year | volume | volume_for_chart | is_known_data_gap | is_zero_volume,traffic volume analytics | monthly / seasonal analytics | yearly trend analytics,
charts\processing_time_summary.csv,processing_time_summary.csv,charts,0.0,6,3,source | total_hours | months_or_batches,traffic volume analytics | 15-minute / time-of-day analytics,
charts\site_totals_from_monthly.csv,site_totals_from_monthly.csv,charts,0.101,4758,6,site | volume | site_name | latitude | longitude | lookup_source,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
charts\time_bin_behaviour\time_bin_behaviour_metrics.csv,time_bin_behaviour_metrics.csv,charts\time_bin_behaviour,0.003,66,2,metric | value,,
charts\time_bin_behaviour_v2\time_bin_behaviour_metrics.csv,time_bin_behaviour_metrics.csv,charts\time_bin_behaviour_v2,0.003,66,2,metric | value,,
charts\time_bin_profile\time_bin_profile_aggregated_96_bins.csv,time_bin_profile_aggregated_96_bins.csv,charts\time_bin_profile,0.006,96,6,time_bin | total_volume | minutes | avg_daily_volume | period | period_colour,traffic volume analytics | 15-minute / time-of-day analytics,
charts\time_bin_profile_aggregated.csv,time_bin_profile_aggregated.csv,charts,0.004,96,4,time_bin | total_volume | distinct_dates | avg_daily_volume,traffic volume analytics | 15-minute / time-of-day analytics,
charts\top_20_busiest_scats_sites_named.csv,top_20_busiest_scats_sites_named.csv,charts,0.001,20,6,site | volume | site_name | latitude | longitude | lookup_source,traffic volume analytics | SCATS site-level analytics | mapping / GIS analysis,
charts\top_50_busiest_days.csv,top_50_busiest_days.csv,charts,0.002,50,4,count_date | volume | date_label | day_name,traffic volume analytics | day-of-week / weekday-weekend analytics,
charts\yearly_growth_from_monthly.csv,yearly_growth_from_monthly.csv,charts,0.0,12,3,year | volume | yoy_pct_change,traffic volume analytics | yearly trend analytics,
charts\yearly_totals_from_monthly.csv,yearly_totals_from_monthly.csv,charts,0.0,13,2,year | volume,traffic volume analytics | yearly trend analytics,
chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,.,0.316,4438,7,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,.,37.677,595055,7,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,.,1.157,14113,9,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | month_distinct_dates | month_avg_daily_time_bin_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | 15-minute / time-of-day analytics | monthly / seasonal analytics,
chunked_peak_shares_monthly.csv,chunked_peak_shares_monthly.csv,.,0.015,148,10,month_label | month_start | next_month_start | month_total_volume | month_am_volume | month_pm_volume | month_am_share_pct | month_pm_share_pct | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,.,0.009,148,6,month_label | month_start | next_month_start | month_total_cleaned_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
daily_totals.csv,daily_totals.csv,.,0.314,4438,7,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
day_of_week_charts\day_of_week_final_summary.csv,day_of_week_final_summary.csv,day_of_week_charts,0.0,7,5,iso_dow | day_name | total_volume | days_loaded | avg_daily_volume,traffic volume analytics | day-of-week / weekday-weekend analytics,
day_of_week_charts_v2\v2_day_summary.csv,v2_day_summary.csv,day_of_week_charts_v2,0.0,7,5,iso_dow | day_name | total_volume | days_loaded | avg_daily_volume,traffic volume analytics | day-of-week / weekday-weekend analytics,
day_of_week_charts_v2\v2_yearly_day_metrics.csv,v2_yearly_day_metrics.csv,day_of_week_charts_v2,0.002,13,11,year | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday | Friday_vs_Monday_pct | Friday_vs_Sunday_pct | Monday_vs_weekday_avg_pct,traffic volume analytics | day-of-week / weekday-weekend analytics | yearly trend analytics,
day_of_week_profile.csv,day_of_week_profile.csv,.,0.114,1030,11,month_label | month_start | next_month_start | iso_dow | day_name | day_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,traffic volume analytics | day-of-week / weekday-weekend analytics | monthly / seasonal analytics,
didntwork\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,didntwork,0.002,23,6,month_label | month_start | next_month_start | month_total_cleaned_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,didntworkagainagain,0.64,10309,7,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch,"traffic volume analytics | monthly / seasonal analytics | SCATS site-level analytics | site-by-month trend analysis | growth, volatility, concentration and ranking analysis",
didntworkagan\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,didntworkagan,0.0,1,6,month_label | month_start | next_month_start | month_total_cleaned_volume | month_elapsed_seconds | completed_at_epoch,traffic volume analytics | monthly / seasonal analytics,
distinct_sites.csv,distinct_sites.csv,.,0.0,1,1,distinct_sites,SCATS site-level analytics,
headline_metrics.csv,headline_metrics.csv,.,0.001,19,2,metric_name | metric_value,,
high_impact_charts\commercial_value_ranking_top25.csv,commercial_value_ranking_top25.csv,high_impact_charts,0.004,25,11,site_id | total_volume | site_name | absolute_growth | growth_pct | cv | volume_score | growth_score | stability_score | commercial_value_score | rank,traffic volume analytics | SCATS site-level analytics,
high_impact_charts\declining_sites_top20.csv,declining_sites_top20.csv,high_impact_charts,0.002,20,7,site_id | first_avg | site_name | last_avg | absolute_growth | growth_pct | rank,traffic volume analytics | SCATS site-level analytics,
high_impact_charts\month_of_year_profile_from_monthly_totals.csv,month_of_year_profile_from_monthly_totals.csv,high_impact_charts,0.0,12,3,month_num | month_name | avg_volume,traffic volume analytics | monthly / seasonal analytics,
high_impact_charts\network_stability_index.csv,network_stability_index.csv,high_impact_charts,0.01,147,5,month | mean_site_volume | std_site_volume | active_sites | network_cv,traffic volume analytics | SCATS site-level analytics,
high_impact_charts\rising_sites_top20.csv,rising_sites_top20.csv,high_impact_charts,0.002,20,7,site_id | first_avg | site_name | last_avg | absolute_growth | growth_pct | rank,traffic volume analytics | SCATS site-level analytics,
