interval_index,time_bin,interval_column,detector_day_rows,null_count,negative_count,sentinel_count,null_pct,negative_pct,sentinel_pct
0,00:00,v00,401123083,349087,12746361,7620407,0.0870274025092692,3.1776682869183075,1.899767757818116
1,00:15,v01,401123083,344605,12844715,7666955,0.08591003973710483,3.20218794289632,1.9113721760061362
2,00:30,v02,401123083,240630,12680657,7537990,0.059989068243175625,3.1612882771944593,1.8792211965522811
3,00:45,v03,401123083,225997,12749176,7485055,0.056341060781086985,3.1783700665264383,1.8660244990189208
4,01:00,v04,401123083,186942,12695441,7259489,0.04660464778089074,3.164973928962348,1.8097908865543897
5,01:15,v05,401123083,152178,12410858,7250516,0.03793798124552209,3.0940273761308323,1.8075539173097153
6,01:30,v06,401123083,142935,12373477,7246783,0.03563370099047628,3.0847082913949384,1.8066232802663216
7,01:45,v07,401123083,472424,12590894,7480134,0.11777532134693929,3.1389103578464463,1.8647976935298936
8,02:00,v08,401123083,693334,12812657,7584034,0.1728481928326224,3.1941958822648955,1.8906999675209417
9,02:15,v09,401123083,686088,12857050,7584192,0.17104176475428615,3.205263058870137,1.8907393569270108
10,02:30,v10,401123083,680407,12770747,7568785,0.1696254912360653,3.1837477176550317,1.886898391235191
11,02:45,v11,401123083,143632,12833787,7558691,0.03580746311724972,3.1994635920765497,1.8843819566474562
12,03:00,v12,401123083,94040,12458267,7215808,0.023444175612302023,3.105846441651926,1.7989012115764975
13,03:15,v13,401123083,83618,12433202,7203309,0.020845970611968,3.0995977361891187,1.795785210396381
14,03:30,v14,401123083,78170,12426277,7201843,0.019487784002697246,3.097871333423113,1.7954197365400684
15,03:45,v15,401123083,85508,12472890,7200328,0.021317147684567432,3.10949195611363,1.7950420469818738
16,04:00,v16,401123083,169308,12385274,7193808,0.042208490903526484,3.0876492839480894,1.7934166107314249
17,04:15,v17,401123083,242963,12357968,7187021,0.06057068523279174,3.0808418970992,1.7917246113707197
18,04:30,v18,401123083,275467,12404432,7182807,0.06867393368134839,3.092425374083994,1.79067406100885
19,04:45,v19,401123083,294197,12361575,7205101,0.07334332340081262,3.0817411223377538,1.796231956065216
20,05:00,v20,401123083,303501,12354736,7245417,0.07566281095820157,3.0800361593750516,1.8062827364138505
21,05:15,v21,401123083,308260,12338217,7242565,0.07684922984100619,3.075917972040517,1.8055717327042982
22,05:30,v22,401123083,309029,12318388,7232658,0.07704094157054531,3.0709746015788375,1.8031019172237466
23,05:45,v23,401123083,310598,12303545,7230982,0.07743209333081438,3.067274241108682,1.8026840903593675
24,06:00,v24,401123083,319141,12296813,7222788,0.07956186355897149,3.06559595325009,1.8006413258446163
