database_name,month_label,month_start,detector_day_rows,days_present,distinct_scats_sites,distinct_detectors,distinct_site_detector_pairs,total_volume_24hour_sum,avg_volume_24hour_per_detector_day,min_volume_24hour,max_volume_24hour
scats,2014-01,2014-01-01,2191781,31,3483,24,71253,3135106330.0,1430.392146843138,0,72864
scats,2014-02,2014-02-01,1980559,28,3489,24,71294,3163908323.0,1597.4824900444773,0,72864
scats,2014-03,2014-03-01,2186174,31,3515,24,71258,3461590113.0,1583.401006964679,0,72864
scats,2014-04,2014-04-01,2114414,30,3518,24,71017,3185110879.0,1506.3799610672272,0,72864
scats,2014-05,2014-05-01,2181415,31,3523,24,70989,3493864171.0,1601.6503833520903,0,72864
scats,2014-06,2014-06-01,2105060,30,3529,24,70776,3205298805.0,1522.6638694384008,0,72864
scats,2014-07,2014-07-01,2170412,31,3529,24,70556,3380496755.0,1557.536889309495,0,72864
scats,2014-08,2014-08-01,2171025,31,3539,24,70582,3438065829.0,1583.6141126887069,0,72864
scats,2014-09,2014-09-01,2100428,30,3553,24,70580,3341624965.0,1590.9257375163538,0,72864
scats,2014-10,2014-10-01,2162594,31,3562,24,70485,3560279625.0,1646.3005191913046,0,72864
scats,2014-11,2014-11-01,2091945,30,3559,24,70289,3408259338.0,1629.229897535547,0,72864
scats,2014-12,2014-12-01,2163388,31,3567,24,70331,3452827742.0,1596.0279626215918,0,72864
scats,2015-01,2015-01-01,2155685,31,3552,24,70093,3176402739.0,1473.5004135576394,0,72864
scats,2015-02,2015-02-01,1950453,28,3582,24,70234,3232040831.0,1657.0718858644632,0,72864
scats,2015-03,2015-03-01,2081207,30,3563,24,69848,3436425583.0,1651.1695295085976,0,72864
scats,2015-04,2015-04-01,2079973,30,3591,24,69940,3316264247.0,1594.3785073171623,0,72864
scats,2015-05,2015-05-01,2143756,31,3599,24,69809,3523217182.0,1643.4786337624244,0,72864
scats,2015-06,2015-06-01,2074522,30,3615,24,69850,3314160485.0,1597.5537907045575,0,72864
scats,2015-07,2015-07-01,2136544,31,3613,24,69625,3457636675.0,1618.3316023447212,0,72864
scats,2015-08,2015-08-01,2141223,31,3622,24,69513,3497577936.0,1633.448704782267,0,72842
scats,2015-09,2015-09-01,2003293,29,3635,24,69577,3307677038.0,1651.1199500023213,0,72864
scats,2015-10,2015-10-01,2141829,31,3627,24,69431,3599947921.0,1680.7821357353926,0,72864
scats,2015-11,2015-11-01,2037338,30,3648,24,69417,3439546450.0,1688.2551888788212,0,72864
scats,2015-12,2015-12-01,2027295,31,3658,24,69245,3365513076.0,1660.1003188978418,0,69468
scats,2016-01,2016-01-01,2058188,30,3650,24,68930,3107502517.0,1509.8244266315808,0,72864
scats,2016-02,2016-02-01,1990212,29,3713,24,69196,3453808302.0,1735.3971848225215,0,72864
scats,2016-03,2016-03-01,2128296,31,3714,24,69042,3553086995.0,1669.4515213109455,0,72864
scats,2016-04,2016-04-01,2058952,30,3728,24,69082,3496621416.0,1698.2530024983585,0,72864
scats,2016-05,2016-05-01,2063153,30,3750,32,69269,3513071059.0,1702.7680734293579,0,72864
scats,2016-06,2016-06-01,2062919,30,3755,32,69281,3436802887.0,1665.9902240466058,0,72864
scats,2016-07,2016-07-01,2116247,31,3763,32,68771,3582237904.0,1692.73147416157,0,72864
scats,2016-08,2016-08-01,2047580,30,3772,32,68681,3567571162.0,1742.3354213266393,0,72051
scats,2016-09,2016-09-01,2045631,30,3779,32,68613,3514136708.0,1717.8741952971968,0,72111
scats,2016-10,2016-10-01,2113636,31,3786,32,68633,3681720111.0,1741.8893844540876,0,72864
scats,2016-11,2016-11-01,2044408,30,3793,32,68689,3682971216.0,1801.4854256097608,0,72864
scats,2016-12,2016-12-01,2111128,31,3795,32,68482,3648283824.0,1728.1206179824246,0,72527
scats,2017-01,2017-01-01,2111950,31,3802,32,68564,3376836301.0,1598.9186775255096,0,72864
scats,2017-02,2017-02-01,1839962,27,3808,32,68604,3306988683.0,1797.3135765847337,0,72864
scats,2017-03,2017-03-01,2115279,31,3815,32,68710,3821955946.0,1806.83302108138,0,72864
scats,2017-04,2017-04-01,2047475,30,3818,32,68742,3408210727.0,1664.592108328551,0,72864
scats,2017-05,2017-05-01,2119440,31,3826,32,68769,3756242112.0,1772.280466538331,0,72864
scats,2017-06,2017-06-01,1983814,29,3836,32,69252,3409534055.0,1718.676274590259,0,72864
scats,2017-07,2017-07-01,2054191,30,3840,32,68917,3473856532.0,1691.106879545281,0,72864
scats,2017-08,2017-08-01,2058029,30,3846,32,68985,3605394996.0,1751.867926059351,0,72864
scats,2017-09,2017-09-01,2060003,30,3854,32,69088,3543109329.0,1719.9534801648347,0,72864
scats,2017-10,2017-10-01,2130639,31,3857,32,69148,3772673180.0,1770.6768626688988,0,72864
scats,2017-11,2017-11-01,1998190,29,3865,32,69271,3596231194.0,1799.744365650914,0,72864
scats,2017-12,2017-12-01,2146951,31,3867,32,69358,3679149260.0,1713.6624263897966,0,72864
scats,2018-01,2018-01-01,2150503,31,3872,32,69469,3447376750.0,1603.056005966976,0,72864
scats,2018-02,2018-02-01,1946187,28,3879,32,69610,3519395584.0,1808.3542763362411,0,72864
scats,2018-03,2018-03-01,2156528,31,3883,32,69633,3796169426.0,1760.3153893666115,0,72420
scats,2018-04,2018-04-01,2087209,30,3888,32,69638,3543308072.0,1697.6297400020794,0,72594
scats,2018-05,2018-05-01,2158317,31,3894,32,69690,3786980758.0,1754.5989574284038,0,72484
scats,2018-06,2018-06-01,2090729,30,3899,32,69751,3544747568.0,1695.460084975145,0,72864
scats,2018-07,2018-07-01,1817280,26,3945,32,70181,3057268309.0,1682.332006625286,0,72349
scats,2019-01,2019-01-01,2193681,31,4004,32,70865,3481934922.0,1587.2567260235194,0,72864
scats,2019-02,2019-02-01,1842081,26,4013,32,70991,3276106873.0,1778.4814419127063,0,72864
scats,2019-03,2019-03-01,2203067,31,4030,32,71329,3867309544.0,1755.4207584245055,0,72864
