database_name,table_schema,table_name,column_name,ordinal_position,data_type
scats,main,scats_15min_long,scats_site,1,INTEGER
scats,main,scats_15min_long,count_date,2,DATE
scats,main,scats_15min_long,detector,3,INTEGER
scats,main,scats_15min_long,region_code,4,VARCHAR
scats,main,scats_15min_long,source_file_id,5,BIGINT
scats,main,scats_15min_long,interval_index,6,INTEGER
scats,main,scats_15min_long,time_bin,7,VARCHAR
scats,main,scats_15min_long,volume_15m,8,INTEGER
scats,main,scats_clean,scats_site,1,INTEGER
scats,main,scats_clean,count_date,2,DATE
scats,main,scats_clean,detector,3,INTEGER
scats,main,scats_clean,region_code,4,VARCHAR
scats,main,scats_clean,source_file_id,5,BIGINT
scats,main,scats_clean,interval_index,6,INTEGER
scats,main,scats_clean,time_bin,7,VARCHAR
scats,main,scats_clean,volume_15m,8,INTEGER
scats,main,scats_detector_day,scats_site,1,INTEGER
scats,main,scats_detector_day,count_date,2,DATE
scats,main,scats_detector_day,detector,3,INTEGER
scats,main,scats_detector_day,region_code,4,VARCHAR
scats,main,scats_detector_day,ct_records,5,SMALLINT
scats,main,scats_detector_day,volume_24hour,6,INTEGER
scats,main,scats_detector_day,alarm_24hour,7,INTEGER
scats,main,scats_detector_day,source_file_id,8,BIGINT
scats,main,scats_detector_day,v00,9,INTEGER
scats,main,scats_detector_day,v01,10,INTEGER
scats,main,scats_detector_day,v02,11,INTEGER
scats,main,scats_detector_day,v03,12,INTEGER
scats,main,scats_detector_day,v04,13,INTEGER
scats,main,scats_detector_day,v05,14,INTEGER
scats,main,scats_detector_day,v06,15,INTEGER
scats,main,scats_detector_day,v07,16,INTEGER
scats,main,scats_detector_day,v08,17,INTEGER
scats,main,scats_detector_day,v09,18,INTEGER
scats,main,scats_detector_day,v10,19,INTEGER
scats,main,scats_detector_day,v11,20,INTEGER
scats,main,scats_detector_day,v12,21,INTEGER
scats,main,scats_detector_day,v13,22,INTEGER
scats,main,scats_detector_day,v14,23,INTEGER
scats,main,scats_detector_day,v15,24,INTEGER
scats,main,scats_detector_day,v16,25,INTEGER
scats,main,scats_detector_day,v17,26,INTEGER
scats,main,scats_detector_day,v18,27,INTEGER
scats,main,scats_detector_day,v19,28,INTEGER
scats,main,scats_detector_day,v20,29,INTEGER
scats,main,scats_detector_day,v21,30,INTEGER
scats,main,scats_detector_day,v22,31,INTEGER
scats,main,scats_detector_day,v23,32,INTEGER
scats,main,scats_detector_day,v24,33,INTEGER
scats,main,scats_detector_day,v25,34,INTEGER
scats,main,scats_detector_day,v26,35,INTEGER
scats,main,scats_detector_day,v27,36,INTEGER
scats,main,scats_detector_day,v28,37,INTEGER
scats,main,scats_detector_day,v29,38,INTEGER
scats,main,scats_detector_day,v30,39,INTEGER
scats,main,scats_detector_day,v31,40,INTEGER
scats,main,scats_detector_day,v32,41,INTEGER
scats,main,scats_detector_day,v33,42,INTEGER
scats,main,scats_detector_day,v34,43,INTEGER
scats,main,scats_detector_day,v35,44,INTEGER
scats,main,scats_detector_day,v36,45,INTEGER
scats,main,scats_detector_day,v37,46,INTEGER
scats,main,scats_detector_day,v38,47,INTEGER
scats,main,scats_detector_day,v39,48,INTEGER
scats,main,scats_detector_day,v40,49,INTEGER
scats,main,scats_detector_day,v41,50,INTEGER
scats,main,scats_detector_day,v42,51,INTEGER
scats,main,scats_detector_day,v43,52,INTEGER
scats,main,scats_detector_day,v44,53,INTEGER
scats,main,scats_detector_day,v45,54,INTEGER
scats,main,scats_detector_day,v46,55,INTEGER
scats,main,scats_detector_day,v47,56,INTEGER
scats,main,scats_detector_day,v48,57,INTEGER
scats,main,scats_detector_day,v49,58,INTEGER
scats,main,scats_detector_day,v50,59,INTEGER
scats,main,scats_detector_day,v51,60,INTEGER
scats,main,scats_detector_day,v52,61,INTEGER
scats,main,scats_detector_day,v53,62,INTEGER
scats,main,scats_detector_day,v54,63,INTEGER
scats,main,scats_detector_day,v55,64,INTEGER
scats,main,scats_detector_day,v56,65,INTEGER
scats,main,scats_detector_day,v57,66,INTEGER
scats,main,scats_detector_day,v58,67,INTEGER
scats,main,scats_detector_day,v59,68,INTEGER
scats,main,scats_detector_day,v60,69,INTEGER
scats,main,scats_detector_day,v61,70,INTEGER
scats,main,scats_detector_day,v62,71,INTEGER
scats,main,scats_detector_day,v63,72,INTEGER
scats,main,scats_detector_day,v64,73,INTEGER
scats,main,scats_detector_day,v65,74,INTEGER
scats,main,scats_detector_day,v66,75,INTEGER
scats,main,scats_detector_day,v67,76,INTEGER
scats,main,scats_detector_day,v68,77,INTEGER
scats,main,scats_detector_day,v69,78,INTEGER
scats,main,scats_detector_day,v70,79,INTEGER
scats,main,scats_detector_day,v71,80,INTEGER
scats,main,scats_detector_day,v72,81,INTEGER
scats,main,scats_detector_day,v73,82,INTEGER
scats,main,scats_detector_day,v74,83,INTEGER
scats,main,scats_detector_day,v75,84,INTEGER
scats,main,scats_detector_day,v76,85,INTEGER
scats,main,scats_detector_day,v77,86,INTEGER
scats,main,scats_detector_day,v78,87,INTEGER
scats,main,scats_detector_day,v79,88,INTEGER
scats,main,scats_detector_day,v80,89,INTEGER
scats,main,scats_detector_day,v81,90,INTEGER
scats,main,scats_detector_day,v82,91,INTEGER
scats,main,scats_detector_day,v83,92,INTEGER
scats,main,scats_detector_day,v84,93,INTEGER
scats,main,scats_detector_day,v85,94,INTEGER
scats,main,scats_detector_day,v86,95,INTEGER
scats,main,scats_detector_day,v87,96,INTEGER
scats,main,scats_detector_day,v88,97,INTEGER
scats,main,scats_detector_day,v89,98,INTEGER
scats,main,scats_detector_day,v90,99,INTEGER
scats,main,scats_detector_day,v91,100,INTEGER
scats,main,scats_detector_day,v92,101,INTEGER
scats,main,scats_detector_day,v93,102,INTEGER
scats,main,scats_detector_day,v94,103,INTEGER
scats,main,scats_detector_day,v95,104,INTEGER
scats,main,scats_expected_date,expected_date,1,DATE
scats,main,scats_missing_dates,d,1,TIMESTAMP
scats,main,scats_site,scats_site,1,INTEGER
scats,main,scats_site,site_name,2,VARCHAR
scats,main,scats_site,site_type,3,VARCHAR
scats,main,scats_site,municipality,4,VARCHAR
scats,main,scats_site,latitude,5,DOUBLE
scats,main,scats_site,longitude,6,DOUBLE
scats,main,scats_site,first_seen_date,7,DATE
scats,main,scats_site,last_seen_date,8,DATE
scats,main,source_file,source_file_id,1,BIGINT
scats,main,source_file,file_path,2,VARCHAR
scats,main,source_file,file_name,3,VARCHAR
scats,main,source_file,file_date,4,DATE
scats,main,source_file,file_year,5,INTEGER
scats,main,source_file,file_month,6,INTEGER
scats,main,source_file,file_size_bytes,7,BIGINT
scats,main,source_file,file_mtime,8,TIMESTAMP
scats,main,source_file,loaded_at,9,TIMESTAMP
scats,main,source_file,row_count,10,BIGINT
scats,main,source_file,load_status,11,VARCHAR
scats,main,source_file,notes,12,VARCHAR
scats_continuation,main,scats_15min_long,scats_site,1,INTEGER
scats_continuation,main,scats_15min_long,count_date,2,DATE
scats_continuation,main,scats_15min_long,detector,3,INTEGER
scats_continuation,main,scats_15min_long,region_code,4,VARCHAR
scats_continuation,main,scats_15min_long,source_file_id,5,BIGINT
scats_continuation,main,scats_15min_long,interval_index,6,INTEGER
scats_continuation,main,scats_15min_long,time_bin,7,VARCHAR
scats_continuation,main,scats_15min_long,volume_15m,8,INTEGER
scats_continuation,main,scats_clean,scats_site,1,INTEGER
scats_continuation,main,scats_clean,count_date,2,DATE
scats_continuation,main,scats_clean,detector,3,INTEGER
scats_continuation,main,scats_clean,region_code,4,VARCHAR
scats_continuation,main,scats_clean,source_file_id,5,BIGINT
scats_continuation,main,scats_clean,interval_index,6,INTEGER
scats_continuation,main,scats_clean,time_bin,7,VARCHAR
scats_continuation,main,scats_clean,volume_15m,8,INTEGER
scats_continuation,main,scats_detector_day,scats_site,1,INTEGER
scats_continuation,main,scats_detector_day,count_date,2,DATE
scats_continuation,main,scats_detector_day,detector,3,INTEGER
scats_continuation,main,scats_detector_day,region_code,4,VARCHAR
scats_continuation,main,scats_detector_day,ct_records,5,SMALLINT
scats_continuation,main,scats_detector_day,volume_24hour,6,INTEGER
scats_continuation,main,scats_detector_day,alarm_24hour,7,INTEGER
scats_continuation,main,scats_detector_day,source_file_id,8,BIGINT
scats_continuation,main,scats_detector_day,v00,9,INTEGER
scats_continuation,main,scats_detector_day,v01,10,INTEGER
scats_continuation,main,scats_detector_day,v02,11,INTEGER
scats_continuation,main,scats_detector_day,v03,12,INTEGER
scats_continuation,main,scats_detector_day,v04,13,INTEGER
scats_continuation,main,scats_detector_day,v05,14,INTEGER
scats_continuation,main,scats_detector_day,v06,15,INTEGER
scats_continuation,main,scats_detector_day,v07,16,INTEGER
scats_continuation,main,scats_detector_day,v08,17,INTEGER
scats_continuation,main,scats_detector_day,v09,18,INTEGER
scats_continuation,main,scats_detector_day,v10,19,INTEGER
scats_continuation,main,scats_detector_day,v11,20,INTEGER
