interval_index,time_bin,non_null_count,detector_day_rows,coverage_pct
0,00:00,400773996,401123083,99.91297259749074
1,00:15,400778478,401123083,99.9140899602629
2,00:30,400882453,401123083,99.94001093175683
3,00:45,400897086,401123083,99.94365893921892
4,01:00,400936141,401123083,99.9533953522191
5,01:15,400970905,401123083,99.96206201875448
6,01:30,400980148,401123083,99.96436629900953
7,01:45,400650659,401123083,99.88222467865306
8,02:00,400429749,401123083,99.82715180716738
9,02:15,400436995,401123083,99.82895823524571
10,02:30,400442676,401123083,99.83037450876392
11,02:45,400979451,401123083,99.96419253688275
12,03:00,401029043,401123083,99.9765558243877
13,03:15,401039465,401123083,99.97915402938803
14,03:30,401044913,401123083,99.98051221599731
15,03:45,401037575,401123083,99.97868285231544
16,04:00,400953775,401123083,99.95779150909647
17,04:15,400880120,401123083,99.93942931476721
18,04:30,400847616,401123083,99.93132606631865
19,04:45,400828886,401123083,99.9266566765992
20,05:00,400819582,401123083,99.92433718904181
21,05:15,400814823,401123083,99.923150770159
22,05:30,400814054,401123083,99.92295905842946
23,05:45,400812485,401123083,99.92256790666919
24,06:00,400803942,401123083,99.92043813644102
25,06:15,400806700,401123083,99.92112570594696
26,06:30,400806604,401123083,99.92110177314328
27,06:45,400784422,401123083,99.91557179969122
28,07:00,400782206,401123083,99.9150193508061
29,07:15,400779352,401123083,99.91430784849646
30,07:30,400780550,401123083,99.91460650994249
31,07:45,400783027,401123083,99.91522402613762
32,08:00,400782616,401123083,99.91512156382184
33,08:15,400782320,401123083,99.91504777101048
34,08:30,400780150,401123083,99.91450678992712
35,08:45,400781904,401123083,99.9149440621945
36,09:00,400790103,401123083,99.91698807320944
37,09:15,400806691,401123083,99.92112346224661
38,09:30,400806119,401123083,99.92098086262466
39,09:45,400805926,401123083,99.92093274771725
40,10:00,400801882,401123083,99.9199245783619
41,10:15,400804463,401123083,99.92056802176104
42,10:30,400764645,401123083,99.91064139283154
43,10:45,400796618,401123083,99.9186122629597
44,11:00,400794196,401123083,99.91800845826666
45,11:15,400794785,401123083,99.91815529598928
46,11:30,400791292,401123083,99.91728449095511
47,11:45,400798228,401123083,99.91901363602153
48,12:00,400786784,401123083,99.91616064638194
49,12:15,400687100,401123083,99.89130942135284
50,12:30,400665324,401123083,99.88588066371638
51,12:45,400672994,401123083,99.887792795011
52,13:00,400698386,401123083,99.89412302158637
53,13:15,400707878,401123083,99.89648937755098
54,13:30,400712201,401123083,99.89756710161703
55,13:45,400725064,401123083,99.90077384801114
56,14:00,400724543,401123083,99.90064396269112
57,14:15,400740963,401123083,99.90473746932186
58,14:30,400758317,401123083,99.90906382218846
59,14:45,400770080,401123083,99.9119963385403
60,15:00,400780371,401123083,99.91456188523561
61,15:15,400783149,401123083,99.91525444074232
62,15:30,400784844,401123083,99.91567700430743
63,15:45,400784602,401123083,99.91561667369814
64,16:00,400787432,401123083,99.91632219280685
65,16:15,400783136,401123083,99.91525119984182
66,16:30,400771066,401123083,99.91224214837818
67,16:45,400765759,401123083,99.91091911307433
68,17:00,400753898,401123083,99.90796216531872
69,17:15,400759628,401123083,99.90939065453883
70,17:30,400784808,401123083,99.91566802950604
71,17:45,400807289,401123083,99.92127254366959
72,18:00,400802508,401123083,99.92008064018594
73,18:15,400802263,401123083,99.92001956167653
74,18:30,400801790,401123083,99.91990164275836
75,18:45,400801589,401123083,99.91985153345064
76,19:00,400803386,401123083,99.92029952561967
77,19:15,400799246,401123083,99.91926742346064
78,19:30,400789688,401123083,99.9168846136935
79,19:45,400726039,401123083,99.9010169155486
80,20:00,400695763,401123083,99.8934691075856
81,20:15,400646236,401123083,99.88112202458316
82,20:30,400621035,401123083,99.87483941431513
83,20:45,400517400,401123083,99.84900320483426
84,21:00,400358972,401123083,99.80950709834866
85,21:15,400278210,401123083,99.7893731286464
86,21:30,400298504,401123083,99.79443242362595
87,21:45,400324585,401123083,99.80093441792778
88,22:00,400303595,401123083,99.7957016101215
89,22:15,400301731,401123083,99.7952369148499
90,22:30,400330482,401123083,99.8024045402543
91,22:45,400349015,401123083,99.80702481786619
92,23:00,400368865,401123083,99.81197342362867
93,23:15,400403467,401123083,99.82059970355782
94,23:30,400521036,401123083,99.84990965977393
95,23:45,400552819,401123083,99.85783316289479
