month_label,month_start,detector_day_rows,days_present,distinct_scats_sites,distinct_detectors,distinct_site_detector_pairs,total_volume_24hour_sum
2014-01,2014-01-01,2191781,31,3483,24,71253,3135106330.0
2014-02,2014-02-01,1980559,28,3489,24,71294,3163908323.0
2014-03,2014-03-01,2257079,31,6987,48,142163,3552753685.0
2014-04,2014-04-01,2114414,30,3518,24,71017,3185110879.0
2014-05,2014-05-01,2181415,31,3523,24,70989,3493864171.0
2014-06,2014-06-01,2105060,30,3529,24,70776,3205298805.0
2014-07,2014-07-01,2170412,31,3529,24,70556,3380496755.0
2014-08,2014-08-01,2171025,31,3539,24,70582,3438065829.0
2014-09,2014-09-01,2100428,30,3553,24,70580,3341624965.0
2014-10,2014-10-01,2162594,31,3562,24,70485,3560279625.0
2014-11,2014-11-01,2091945,30,3559,24,70289,3408259338.0
2014-12,2014-12-01,2163388,31,3567,24,70331,3452827742.0
2015-01,2015-01-01,2155685,31,3552,24,70093,3176402739.0
2015-02,2015-02-01,1950453,28,3582,24,70234,3232040831.0
2015-03,2015-03-01,2081207,30,3563,24,69848,3436425583.0
2015-04,2015-04-01,2079973,30,3591,24,69940,3316264247.0
2015-05,2015-05-01,2143756,31,3599,24,69809,3523217182.0
2015-06,2015-06-01,2074522,30,3615,24,69850,3314160485.0
2015-07,2015-07-01,2136544,31,3613,24,69625,3457636675.0
2015-08,2015-08-01,2141223,31,3622,24,69513,3497577936.0
2015-09,2015-09-01,2072489,29,7244,48,138773,3428209933.0
2015-10,2015-10-01,2141829,31,3627,24,69431,3599947921.0
2015-11,2015-11-01,2037338,30,3648,24,69417,3439546450.0
2015-12,2015-12-01,2164689,31,7290,48,138001,3563451186.0
2016-01,2016-01-01,2126779,30,7277,48,137521,3229608651.0
2016-02,2016-02-01,1990212,29,3713,24,69196,3453808302.0
2016-03,2016-03-01,2128296,31,3714,24,69042,3553086995.0
2016-04,2016-04-01,2058952,30,3728,24,69082,3496621416.0
2016-05,2016-05-01,2131916,30,7456,64,138032,3639479964.0
2016-06,2016-06-01,2062919,30,3755,32,69281,3436802887.0
2016-07,2016-07-01,2116247,31,3763,32,68771,3582237904.0
2016-08,2016-08-01,2115824,30,7510,64,136925,3686630618.0
2016-09,2016-09-01,2045631,30,3779,32,68613,3514136708.0
2016-10,2016-10-01,2113636,31,3786,32,68633,3681720111.0
2016-11,2016-11-01,2044408,30,3793,32,68689,3682971216.0
2016-12,2016-12-01,2111128,31,3795,32,68482,3648283824.0
2017-01,2017-01-01,2111950,31,3802,32,68564,3376836301.0
2017-02,2017-02-01,1908035,27,7581,64,136677,3431302811.0
2017-03,2017-03-01,2115279,31,3815,32,68710,3821955946.0
2017-04,2017-04-01,2047475,30,3818,32,68742,3408210727.0
2017-05,2017-05-01,2119440,31,3826,32,68769,3756242112.0
2017-06,2017-06-01,2052154,29,7633,64,137592,3540040727.0
2017-07,2017-07-01,2054191,30,3840,32,68917,3473856532.0
2017-08,2017-08-01,2126632,30,7665,64,137588,3731810338.0
2017-09,2017-09-01,2060003,30,3854,32,69088,3543109329.0
2017-10,2017-10-01,2130639,31,3857,32,69148,3772673180.0
2017-11,2017-11-01,2066993,29,7698,64,138074,3725865164.0
2017-12,2017-12-01,2146951,31,3867,32,69358,3679149260.0
2018-01,2018-01-01,2150503,31,3872,32,69469,3447376750.0
2018-02,2018-02-01,1946187,28,3879,32,69610,3519395584.0
2018-03,2018-03-01,2156528,31,3883,32,69633,3796169426.0
2018-04,2018-04-01,2087209,30,3888,32,69638,3543308072.0
2018-05,2018-05-01,2158317,31,3894,32,69690,3786980758.0
2018-06,2018-06-01,2090729,30,3899,32,69751,3544747568.0
2018-07,2018-07-01,2168241,26,7890,64,140386,3647632727.0
2018-08,2018-08-01,2177704,31,3955,32,70345,3796160085.0
2018-09,2018-09-01,2108726,30,3963,32,70400,3542539283.0
2018-10,2018-10-01,2181999,31,3970,32,70462,3843850831.0
2018-11,2018-11-01,2117611,30,3978,32,70669,3745217547.0
2019-01,2019-01-01,2193681,31,4004,32,70865,3481934922.0
2019-02,2019-02-01,1983902,26,8026,64,141944,3537567800.0
2019-03,2019-03-01,2203067,31,4030,32,71329,3867309544.0
2019-04,2019-04-01,2142655,28,8076,64,142933,3562539050.0
2019-05,2019-05-01,2218075,30,8091,64,143290,3896132153.0
2019-06,2019-06-01,2153165,30,4055,32,71932,3606479411.0
2019-07,2019-07-01,2503249,31,4142,32,99035,3827688501.0
2019-08,2019-08-01,3069232,31,4146,32,99064,4038680009.0
2019-09,2019-09-01,2970479,30,4149,32,99114,3794136310.0
2019-10,2019-10-01,3072494,30,8308,64,198265,4124136444.0
2019-11,2019-11-01,2976964,30,4164,32,99296,3971414689.0
2019-12,2019-12-01,2981584,30,4172,32,99430,3766444731.0
2020-01,2020-01-01,3081654,31,4177,32,99491,3723205203.0
2020-02,2020-02-01,2886292,29,4186,32,99635,3835818599.0
2020-03,2020-03-01,3088585,31,4194,32,99764,3544940848.0
2020-04,2020-04-01,2895971,29,4204,32,99977,2226937680.0
2020-05,2020-05-01,3102692,31,4218,32,100237,2973651861.0
2020-06,2020-06-01,2910459,29,4229,32,100449,3190267210.0
2020-07,2020-07-01,3112891,31,4240,32,100671,2892506105.0
2020-08,2020-08-01,3016858,30,4243,32,100674,2027518150.0
2020-09,2020-09-01,2918918,29,4247,32,100763,2187779825.0
2020-10,2020-10-01,3127490,31,4260,32,101045,2921382593.0
2020-11,2020-11-01,3031437,30,4267,32,101176,3624014539.0
2020-12,2020-12-01,3147655,31,4295,32,101782,3802587138.0
2021-01,2021-01-01,3135225,31,4272,32,101198,3549955669.0
2021-02,2021-02-01,2831723,27,8546,64,202342,3351830231.0
2021-03,2021-03-01,3135828,31,4279,32,101238,4019550991.0
2021-04,2021-04-01,3049330,30,4309,32,101920,3694040376.0
2021-05,2021-05-01,3155473,31,4313,32,101909,3716351062.0
2021-06,2021-06-01,3053117,30,4322,32,102096,3198625094.0
2021-07,2021-07-01,4090310,20,13011,96,307397,4226002786.0
2021-08,2021-08-01,3175938,31,4347,32,102830,2765447080.0
2021-09,2021-09-01,3055471,30,4359,32,103189,2661591106.0
2021-10,2021-10-01,3223276,31,4452,32,105286,3151983818.0
2021-11,2021-11-01,3112982,30,4413,32,104613,3800723534.0
2021-12,2021-12-01,3213974,31,4382,32,103988,3900049134.0
2022-01,2022-01-01,3217087,31,4385,32,104069,3342878973.0
2022-02,2022-02-01,2909926,28,4381,32,104084,3472421139.0
2022-03,2022-03-01,3228328,31,4385,32,104240,3915851968.0
2022-04,2022-04-01,3131160,30,4394,32,104504,3553517716.0
2022-05,2022-05-01,3246752,30,8813,64,209716,3898631155.0
2022-06,2022-06-01,3150677,30,4420,32,105300,3730993139.0
2022-07,2022-07-01,3264046,31,4428,32,105558,3802371275.0
2022-08,2022-08-01,3272411,31,4428,32,105685,3949154624.0
2022-09,2022-09-01,3174219,30,4436,32,105978,3763343464.0
2022-10,2022-10-01,3288254,31,4442,32,106186,3958216788.0
2022-11,2022-11-01,3189452,30,4457,32,106614,3923924790.0
2022-12,2022-12-01,3211341,30,4475,32,107272,3826677227.0
2023-01,2023-01-01,3329100,31,4477,32,107434,3668502700.0
2023-02,2023-02-01,3012696,28,4488,32,107804,3731838807.0
2023-03,2023-03-01,3344836,31,4500,32,108252,4130377657.0
2023-04,2023-04-01,3245664,30,4499,32,108268,3669120237.0
2023-05,2023-05-01,3365048,31,4516,32,108862,4069091848.0
2023-06,2023-06-01,3272572,30,4524,32,109230,3849945122.0
2023-07,2023-07-01,3284592,30,4537,32,109722,3836294146.0
2023-08,2023-08-01,3406430,31,4546,32,110082,4085839848.0
2023-09,2023-09-01,3307102,30,4553,32,110352,3868107731.0
2023-10,2023-10-01,3423674,31,4559,32,110619,4045952254.0
2023-11,2023-11-01,3318949,30,4570,32,110994,3863592299.0
2023-12,2023-12-01,3407115,31,4574,32,111154,3948037331.0
2024-01,2024-01-01,3417295,31,4547,32,110539,3568754284.0
