database_name,region_code,detector_day_rows,distinct_scats_sites,distinct_detectors,distinct_site_detector_pairs,min_count_date,max_count_date,total_volume_24hour_sum
scats,GEE,9323134,243,24,5832,2014-01-01,2021-07-11,11126041858.0
scats,FRA,9011355,179,32,4305,2014-01-01,2021-07-11,11925628573.0
scats,SPR,8597414,155,32,3736,2014-01-01,2021-07-11,12259775423.0
scats,MEN,8546968,171,24,4085,2014-01-01,2021-07-11,12338473532.0
scats,CRN,8272533,158,32,3806,2014-01-01,2021-07-11,11473210163.0
scats,VIC,7794769,227,24,5376,2014-01-01,2021-07-11,7143576084.0
scats,BBN,7695220,142,32,3377,2014-01-01,2021-07-11,12587811332.0
scats,WV1,7409764,146,32,3448,2014-01-01,2021-07-11,10819155236.0
scats,WV2,7069548,132,32,3184,2014-01-01,2021-07-11,12449148891.0
scats,KEW,6987492,119,32,2888,2014-01-01,2021-07-11,8391321048.0
scats,GRE,6888001,169,32,4091,2014-01-01,2021-07-11,12187049668.0
scats,DON,6865135,129,32,3072,2014-01-01,2021-07-11,10487548744.0
scats,BRI,6858640,128,32,3042,2014-01-01,2021-07-11,7244063180.0
scats,FT3,6640208,236,32,5641,2014-01-01,2021-07-11,8792464171.0
scats,SK2,6392220,127,32,3036,2014-01-01,2021-07-11,10815437421.0
scats,ESS,6215417,158,32,3785,2014-01-01,2021-07-11,10133037615.0
scats,FT1,6204161,160,24,3798,2014-01-01,2021-07-11,9836954545.0
scats,SK1,6071243,111,32,2674,2014-01-01,2021-07-11,8171551067.0
scats,GLI,6052281,105,32,2524,2014-01-01,2021-07-11,11118380617.0
scats,CA1,5681135,126,32,3032,2014-01-01,2021-07-11,9339181153.0
scats,FT2,5624199,128,32,3075,2014-01-01,2021-07-11,9900326406.0
scats,SP2,5589389,102,32,2464,2014-01-01,2021-07-11,7407389129.0
scats,MC1,5585384,138,32,3356,2014-01-01,2021-07-11,8950617386.0
scats,MNP,5246471,111,32,2672,2014-01-01,2021-07-11,7284254819.0
