database_name,source_file_id,detector_day_rows,min_count_date,max_count_date,distinct_scats_sites,total_volume_24hour_sum
scats,60,138584,2014-03-01,2014-03-02,3476,194501289.0
scats,2137,102474,2019-12-08,2019-12-09,4171,141401724.0
scats,2711,102080,2021-07-09,2021-07-09,4323,136585564.0
scats,2713,102080,2021-07-11,2021-07-11,4323,102126737.0
scats,2712,102080,2021-07-10,2021-07-10,4323,119273827.0
scats,2706,102039,2021-07-04,2021-07-04,4321,96458464.0
scats,2707,102039,2021-07-05,2021-07-05,4321,119802224.0
scats,2705,102039,2021-07-03,2021-07-03,4321,115942329.0
scats,2704,102039,2021-07-02,2021-07-02,4321,132839039.0
scats,2709,102024,2021-07-07,2021-07-07,4321,128632676.0
scats,2708,102024,2021-07-06,2021-07-06,4321,125517637.0
scats,2703,102015,2021-07-01,2021-07-01,4320,130436664.0
scats,2700,101991,2021-06-28,2021-06-28,4319,120097357.0
scats,2698,101967,2021-06-26,2021-06-26,4318,119223655.0
scats,2697,101967,2021-06-25,2021-06-25,4318,136197344.0
scats,2695,101943,2021-06-23,2021-06-23,4317,128429513.0
scats,2694,101895,2021-06-22,2021-06-22,4315,126309541.0
scats,2683,101888,2021-06-11,2021-06-11,4314,124684459.0
scats,2682,101888,2021-06-10,2021-06-10,4314,87756245.0
scats,2688,101887,2021-06-16,2021-06-16,4315,119671316.0
scats,2689,101887,2021-06-17,2021-06-17,4315,124574995.0
scats,2685,101875,2021-06-13,2021-06-13,4314,86680749.0
scats,2684,101875,2021-06-12,2021-06-12,4314,101839180.0
scats,2686,101875,2021-06-14,2021-06-14,4314,80972423.0
scats,2674,101872,2021-06-02,2021-06-02,4313,84770774.0
scats,2691,101871,2021-06-19,2021-06-19,4314,116878685.0
scats,2692,101871,2021-06-20,2021-06-20,4314,97874761.0
scats,2690,101871,2021-06-18,2021-06-18,4314,134377781.0
scats,2678,101864,2021-06-06,2021-06-06,4313,56718479.0
scats,2680,101864,2021-06-08,2021-06-08,4313,90710884.0
scats,2679,101864,2021-06-07,2021-06-07,4313,90812959.0
scats,2681,101864,2021-06-09,2021-06-09,4313,87631631.0
scats,2676,101864,2021-06-04,2021-06-04,4313,98066116.0
scats,2677,101864,2021-06-05,2021-06-05,4313,68270841.0
scats,2675,101864,2021-06-03,2021-06-03,4313,88252701.0
scats,2670,101863,2021-05-29,2021-05-29,4312,53937187.0
scats,2669,101863,2021-05-28,2021-05-28,4312,80917753.0
scats,2668,101863,2021-05-27,2021-05-27,4312,137189461.0
scats,2671,101863,2021-05-30,2021-05-30,4312,45892859.0
scats,2664,101839,2021-05-23,2021-05-23,4311,107165032.0
scats,2666,101839,2021-05-25,2021-05-25,4311,127661126.0
scats,2663,101839,2021-05-22,2021-05-22,4311,126295192.0
scats,2665,101839,2021-05-24,2021-05-24,4311,125473720.0
scats,2662,101839,2021-05-21,2021-05-21,4311,141910892.0
scats,2644,101819,2021-05-03,2021-05-03,4309,125634149.0
scats,2643,101819,2021-05-02,2021-05-02,4309,104913070.0
scats,2645,101819,2021-05-04,2021-05-04,4309,129806426.0
scats,2646,101819,2021-05-05,2021-05-05,4309,134628082.0
scats,2642,101819,2021-05-01,2021-05-01,4309,125492739.0
scats,2654,101817,2021-05-13,2021-05-13,4309,135446113.0
scats,2650,101817,2021-05-09,2021-05-09,4309,109841131.0
scats,2652,101817,2021-05-11,2021-05-11,4309,131260843.0
scats,2647,101817,2021-05-06,2021-05-06,4309,137860578.0
scats,2649,101817,2021-05-08,2021-05-08,4309,128193622.0
scats,2648,101817,2021-05-07,2021-05-07,4309,143328480.0
scats,2651,101817,2021-05-10,2021-05-10,4309,121968130.0
scats,2653,101817,2021-05-12,2021-05-12,4309,135258762.0
scats,2661,101815,2021-05-20,2021-05-20,4310,136901409.0
scats,2657,101797,2021-05-16,2021-05-16,4309,102552951.0
scats,2660,101797,2021-05-19,2021-05-19,4309,134349574.0
scats,2658,101797,2021-05-17,2021-05-17,4309,126159923.0
scats,2655,101797,2021-05-14,2021-05-14,4309,140421233.0
scats,2659,101797,2021-05-18,2021-05-18,4309,130487248.0
scats,2656,101797,2021-05-15,2021-05-15,4309,121282168.0
scats,2640,101795,2021-04-29,2021-04-29,4308,137859932.0
scats,2639,101795,2021-04-28,2021-04-28,4308,134715149.0
scats,2614,101783,2021-04-03,2021-04-03,4303,103727560.0
scats,2612,101783,2021-04-01,2021-04-01,4303,145236636.0
scats,2613,101783,2021-04-02,2021-04-02,4303,88657577.0
scats,2618,101783,2021-04-07,2021-04-07,4303,126688295.0
scats,2617,101783,2021-04-06,2021-04-06,4303,120670947.0
scats,2616,101783,2021-04-05,2021-04-05,4303,89711081.0
scats,2615,101783,2021-04-04,2021-04-04,4303,92039341.0
scats,2505,101769,2020-12-15,2020-12-15,4295,133459472.0
scats,2506,101769,2020-12-16,2020-12-16,4295,137015807.0
scats,2628,101762,2021-04-17,2021-04-17,4306,122005216.0
scats,2629,101762,2021-04-18,2021-04-18,4306,102951736.0
scats,2637,101762,2021-04-26,2021-04-26,4306,124847181.0
scats,2626,101762,2021-04-15,2021-04-15,4306,133079304.0
scats,2638,101762,2021-04-27,2021-04-27,4306,131896743.0
scats,2633,101762,2021-04-22,2021-04-22,4306,136791462.0
