database_name,year,detector_day_rows,days_present,months_present,distinct_scats_sites,distinct_detectors,distinct_site_detector_pairs,total_volume_24hour_sum
scats,2014,25619195,365,12,3582,24,72369,40226432875.0
scats,2015,24973118,363,12,3670,24,71353,40666410163.0
scats,2016,24840350,363,12,3801,32,70305,42237814101.0
scats,2017,24665923,360,12,3870,32,70119,42750182315.0
scats,2018,14406753,207,7,3947,32,70470,24695246467.0
scats,2019,30013166,358,12,4175,32,99696,44673624349.0
scats,2020,36320902,362,12,4299,32,102354,36950609751.0
scats,2021,19381575,191,7,4326,32,102521,22744269789.0
scats_continuation,2021,17828139,173,6,4491,32,106407,18271443559.0
scats_continuation,2022,38178925,363,12,4504,32,107952,45031408432.0
scats_continuation,2023,39717778,364,12,4583,32,111378,46766699980.0
scats_continuation,2024,40769528,365,12,4613,32,113451,48048508524.0
scats_continuation,2025,41729352,363,12,4703,32,117392,48761080213.0
scats_continuation,2026,11401424,97,4,4708,32,117907,12928129996.0
scats_recovery,2014,70905,1,1,3472,24,70905,91163572.0
scats_recovery,2015,206590,3,2,3634,24,69424,318471005.0
scats_recovery,2016,205598,3,3,3738,32,69423,367574495.0
scats_recovery,2017,273819,4,4,3834,32,69031,510870112.0
scats_recovery,2018,8937001,127,5,3979,32,70830,15518132164.0
scats_recovery,2019,455381,6,4,4153,32,99123,800839215.0
scats_recovery,2021,1022933,10,2,4342,32,102852,1020437533.0
scats_recovery,2022,104728,1,1,4402,32,104728,106573826.0
