year,detector_day_rows,days_present,months_present,distinct_scats_sites,distinct_detectors,distinct_site_detector_pairs,total_volume_24hour_sum
2014,25690100,365,12,7054,48,143274,40317596447.0
2015,25179708,363,12,7304,48,140777,40984881168.0
2016,25045948,363,12,7539,64,139728,42605388596.0
2017,24939742,360,12,7704,64,139150,43261052427.0
2018,23343754,207,7,7926,64,141300,40213378631.0
2019,30468547,358,12,8328,64,198819,45474463564.0
2020,36320902,362,12,4299,32,102354,36950609751.0
2021,38232647,191,7,13159,96,311780,42036150881.0
2022,38283653,363,12,8906,64,212680,45137982258.0
2023,39717778,364,12,4583,32,111378,46766699980.0
2024,40769528,365,12,4613,32,113451,48048508524.0
2025,41729352,363,12,4703,32,117392,48761080213.0
2026,11401424,97,4,4708,32,117907,12928129996.0
