year,expected_months,detected_months,known_unavailable_months,detector_day_rows,total_volume_24hour_sum,valid_months_detected,missing_unexplained_months,is_partial_year,audit_note
2014,12,12,0,25690100.0,40317596447.0,12,0,False,
2015,12,12,0,25179708.0,40984881168.0,12,0,False,
2016,12,12,0,25045948.0,42605388596.0,12,0,False,
2017,12,12,0,24939742.0,43261052427.0,12,0,False,
2018,12,11,1,23343754.0,40213378631.0,10,0,False,2018 includes known unavailable monthly ingest source: 2018-12.
2019,12,12,0,30468547.0,45474463564.0,12,0,False,
2020,12,12,0,36320902.0,36950609751.0,12,0,False,
2021,12,12,0,38232647.0,42036150881.0,12,0,False,
2022,12,12,0,38283653.0,45137982258.0,12,0,False,
2023,12,12,0,39717778.0,46766699980.0,12,0,False,
2024,12,12,0,40769528.0,48048508524.0,12,0,False,
2025,12,12,0,41729352.0,48761080213.0,12,0,False,
2026,4,4,0,11401424.0,12928129996.0,4,0,True,Final year is naturally partial because the current dataset ends on 2026-04-07.
