year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Friday_vs_Monday_pct,Friday_vs_Sunday_pct,Monday_vs_weekday_avg_pct
2014,109029011.28846154,114430505.9423077,116491120.2264151,119252089.82692307,120894153.61538461,103146860.63461539,88178110.67307693,10.882555190316356,37.1022271769957,-7.419700368451087
2015,109416901.23076923,117419337.0,120465803.98076923,121505379.9245283,122731094.43137255,105256501.96153846,90573599.71153846,12.168314995982744,35.50426925975145,-9.220497276926787
2016,114452385.3076923,119965161.0576923,124065223.23076923,126808921.07692307,127093792.0,109062719.09433962,93344722.9423077,11.045122963861953,36.15530476056064,-8.058021518736801
2017,117031202.09615384,122622041.09803921,126919512.53846154,128511183.75,130431880.5,111733675.48076923,95220768.0,11.450517608830557,36.97839582642308,-7.937272452732113
2018,118758734.10416667,125037607.125,127631738.1875,131116588.125,131121054.10416667,112257108.68085106,96198720.9361702,10.40960910643982,36.30228430081532,-7.743544385630141
2019,123833295.65384616,129188055.05660377,132782471.0,134384856.6862745,136611395.6153846,117654293.0,100154486.17307693,10.318791803181382,36.40067543185885,-7.061152265213188
2020,102832151.0,108283985.5576923,110816308.73076923,112228794.82692307,114944425.22,91054661.23076923,75880366.15384616,11.778684100461923,51.48111566429729,-7.830379624349093
2021,112640967.25,117826859.1923077,122727796.5,126615417.4423077,125988505.11320755,105057712.0,88925887.25,11.8496300139038,41.67809735652377,-8.637122241523343
2022,123572424.0576923,130871762.86538461,134125841.26923077,136476020.90384614,139327723.21153846,121428083.26923077,103708965.26923077,12.749850360215053,34.34491690264252,-8.600505928792456
2023,128298802.78431372,135203730.92307693,139935257.51923078,141709507.03846154,144039540.09615386,125030683.90384616,106862400.6981132,12.268810752897096,34.7897288056126,-8.503091778488725
2024,132437459.67307693,140008845.3207547,143706878.05769232,145748649.46153846,147509196.69230768,128961125.6923077,110433788.42307693,11.38026737785176,33.57252232187595,-8.18473034705316
2025,136737846.28846154,142180255.90384614,147772502.51923078,150429275.40384614,151226731.8627451,132800590.51923077,113348013.53846154,10.596104858722066,33.418069838013054,-7.5484649866136895
2026,133700991.42857143,144810052.85714287,149351841.07692307,148955135.85714287,148414398.5,131494823.85714285,114325978.85714285,11.004710521753358,29.816862259672995,-9.589932142877844
