month_label,month_start,next_month_start,month_total_cleaned_volume,month_elapsed_seconds,completed_at_epoch
2014-01,2014-01-01,2014-02-01,3135106330,59.998,1776650920.343
2014-02,2014-02-01,2014-03-01,3163908323,61.058,1776650981.414
2014-03,2014-03-01,2014-04-01,3465584673,104.949,1776651086.407
2014-04,2014-04-01,2014-05-01,3185110879,81.966,1776651168.4
2014-05,2014-05-01,2014-06-01,3493864171,113.83,1776651282.239
2014-06,2014-06-01,2014-07-01,3205298805,96.839,1776651379.103
2014-07,2014-07-01,2014-08-01,3380496755,114.857,1776651493.979
2014-08,2014-08-01,2014-09-01,3438065829,103.593,1776651597.605
2014-09,2014-09-01,2014-10-01,3341624965,102.641,1776651700.26
2014-10,2014-10-01,2014-11-01,3560279625,130.315,1776651830.602
2014-11,2014-11-01,2014-12-01,3408259338,118.137,1776651948.772
2014-12,2014-12-01,2015-01-01,3452827742,138.815,1776652087.682
2015-01,2015-01-01,2015-02-01,3176402739,128.115,1776652215.821
2015-02,2015-02-01,2015-03-01,3232040831,118.253,1776652334.103
2015-03,2015-03-01,2015-04-01,3436425583,124.619,1776652458.782
2015-04,2015-04-01,2015-05-01,3316264247,133.782,1776652592.601
2015-05,2015-05-01,2015-06-01,3523217182,132.061,1776654000.184
2015-06,2015-06-01,2015-07-01,3314160485,132.267,1776654132.464
2015-07,2015-07-01,2015-08-01,3457636675,62.383,1776655977.254
2015-08,2015-08-01,2015-09-01,3497577936,74.206,1776656051.473
2015-09,2015-09-01,2015-10-01,3428209933,101.77,1776656153.261
2015-10,2015-10-01,2015-11-01,3599947921,103.575,1776656256.875
2015-11,2015-11-01,2015-12-01,3439546450,94.681,1776656351.575
