metric_name,metric_value
generated_at_readable,2026-04-29 07:12:30
merge_script_version,V3
strict_complete_mode,True
all_sources_present,True
all_sources_complete,True
missing_sources,
incomplete_sources,
unreadable_sources,
cleaned_rows,"37,877,397,311"
distinct_sites,N/A
date_range_start,2014-01-01
date_range_end,2026-04-07
total_cleaned_volume,"539,020,710,239"
busiest_site_id,4415
busiest_site_name,PRINCES NR CANNING
busiest_time_bin,17:15:00
busiest_day,2025-12-12
am_peak_share,16.91%
pm_peak_share,20.54%
