month,volume,rolling_median_12m,rolling_std_12m,z_score,shock_type
2014-01-01,3135106330,,,,Normal
2014-02-01,3163908323,,,,Normal
2014-03-01,3465584673,,,,Normal
2014-04-01,3185110879,,,,Normal
2014-05-01,3493864171,,,,Normal
2014-06-01,3205298805,3195204842.0,160669686.9811973,0.06282431483906026,Normal
2014-07-01,3380496755,3205298805.0,152012808.5159085,1.152520973136715,Normal
2014-08-01,3438065829,3292897780.0,150168356.49468407,0.9667019896108333,Normal
2014-09-01,3341624965,3341624965.0,140904777.25273174,0.0,Normal
2014-10-01,3560279625,3361060860.0,154293762.3728707,1.2911653843696043,Normal
2014-11-01,3408259338,3380496755.0,147947255.13990632,0.1876518964393514,Normal
2014-12-01,3452827742,3394378046.5,144554746.73401767,0.4043429691558181,Normal
2015-01-01,3176402739,3394378046.5,139304115.44341913,-1.564744205913533,Normal
2015-02-01,3232040831,3394378046.5,131959003.58329445,-1.2302094672723896,Normal
2015-03-01,3436425583,3394378046.5,130126985.51091348,0.3231269542970667,Normal
2015-04-01,3316264247,3394378046.5,119224723.30853535,-0.6551812185619709,Normal
2015-05-01,3523217182,3394378046.5,122256139.3136931,1.0538459354537264,Normal
2015-06-01,3314160485,3394378046.5,112350930.92972049,-0.7139910709790108,Normal
2015-07-01,3457636675,3422342460.5,114464524.69379048,0.30834194781673396,Normal
2015-08-01,3497577936,3422342460.5,118058938.69351669,0.6372704712797119,Normal
2015-09-01,3428209933,3432317758.0,117272910.11085181,-0.035027910504796825,Normal
2015-10-01,3599947921,3432317758.0,122629871.34595168,1.3669602777866234,Normal
2015-11-01,3439546450,3437986016.5,123070194.00614372,0.012679215407120447,Normal
2015-12-01,3520512452,3437986016.5,126893665.64617653,0.6503589842704385,Normal
2016-01-01,3229608651,3437986016.5,118576749.6047002,-1.757320606229033,Normal
2016-02-01,3453808302,3446677376.0,103589498.03507158,0.0688383102077175,Normal
2016-03-01,3553086995,3455722488.5,109090013.57195976,0.892515302840024,Normal
2016-04-01,3496621416,3477129045.5,102016557.44703074,0.19107065546806823,Normal
2016-05-01,3639479964,3477129045.5,113493659.30419992,1.4304844825281977,Normal
2016-06-01,3436802887,3477129045.5,103331749.61733255,-0.3902591279963754,Normal
2016-07-01,3582237904,3497099676.0,107135995.39532894,0.7946743546446946,Normal
2016-08-01,3686630618,3508566934.0,121343890.97018248,1.4674301489454886,Normal
2016-09-01,3514136708,3517324580.0,118875880.76454544,-0.026816810773533956,Normal
2016-10-01,3681720111,3517324580.0,126435151.55115536,1.3002359627297633,Normal
2016-11-01,3682971216,3536799723.5,131850057.77771932,1.108619100845785,Normal
2016-12-01,3648283824,3567662449.5,135265637.16586518,0.5960225833346026,Normal
2017-01-01,3376836301,3567662449.5,107306363.41211493,-1.7783302167004165,Normal
2017-02-01,3431302811,3567662449.5,109555977.52518146,-1.244657220722235,Normal
2017-03-01,3821955946,3610858934.0,132844226.9307126,1.5890567236324211,Normal
2017-04-01,3408210727,3610858934.0,140326256.39806616,-1.4441218072913167,Normal
2017-05-01,3756242112,3615260864.0,148921969.96824163,0.9466786400291708,Normal
2017-06-01,3540040727,3615260864.0,142382303.29837602,-0.5282969530445708,Normal
2017-07-01,3473856532,3594162275.5,146586480.14785868,-0.8207151394770523,Normal
2017-08-01,3731810338,3594162275.5,149970141.64830202,0.9178364505569464,Normal
2017-09-01,3543109329,3595696576.5,148885563.82942837,-0.35320581893518493,Normal
2017-10-01,3772673180,3595696576.5,156046574.44431156,1.1341268088083392,Normal
2017-11-01,3725865164,3595696576.5,158616519.22233033,0.8206496280349255,Normal
2017-12-01,3679149260,3611129294.5,159672904.53508055,0.4259956671925877,Normal
2018-01-01,3447376750,3611129294.5,151600305.90166974,-1.0801597234652838,Normal
2018-02-01,3519395584,3611129294.5,144054520.0661134,-0.6367985569484322,Normal
2018-03-01,3796169426,3611129294.5,140898253.64354506,1.3132890345690753,Normal
2018-04-01,3543308072,3611228666.0,127535923.22231156,-0.5325604918514264,Normal
2018-05-01,3786980758,3611228666.0,130629772.49363472,1.345421404669169,Normal
2018-06-01,3544747568,3611948414.0,130341920.9888419,-0.515573542956704,Normal
2018-07-01,3647632727,3663390993.5,120666386.63192475,-0.13059367185717013,Normal
2018-08-01,3796160085,3663390993.5,126185836.27642025,1.0521711106241638,Normal
2018-09-01,3542539283,3663390993.5,126229921.92712213,-0.9573935296400864,Normal
2018-10-01,3843850831,3663390993.5,133946214.45900443,1.3472559730699334,Normal
2018-11-01,3745217547,3663390993.5,134975115.73956653,0.6062343643985734,Normal
2018-12-01,0,3596190147.5,1063902641.4375848,-3.3801872534508366,Negative shock
2019-01-01,3481934922,3596190147.5,1064233618.7531903,-0.1073591582587444,Normal
2019-02-01,3537567800,3596190147.5,1064503266.9323093,-0.05507014334388862,Normal
2019-03-01,3867309544,3596190147.5,1067374676.0195811,0.25400583561814455,Normal
2019-04-01,3562539050,3605085888.5,1067686956.2110866,-0.039849544150081656,Normal
2019-05-01,3896132153,3605085888.5,1072082868.2656132,0.2714773951857349,Normal
2019-06-01,3606479411,3627056069.0,1073134023.5818206,-0.019174359910163766,Normal
2019-07-01,3827688501,3675848479.0,1078503104.262162,0.14078774683164083,Normal
2019-08-01,4038680009,3675848479.0,1088980696.776462,0.3331845376819194,Normal
2019-09-01,3794136310,3769676928.5,1094121983.4998772,0.022355260079647915,Normal
2019-10-01,4124136444,3769676928.5,1106599950.6626537,0.3203140532292114,Normal
2019-11-01,3971414689,3810912405.5,1113861809.4347723,0.14409532864893418,Normal
2019-12-01,3766444731,3810912405.5,206634333.53015205,-0.21519983509183524,Normal
2020-01-01,3723205203,3810912405.5,184539811.47746015,-0.4752752362636538,Normal
2020-02-01,3835818599,3831753550.0,163443325.67271858,0.024871306205185253,Normal
2020-03-01,3544940848,3810912405.5,182895401.72914892,-1.454227689627097,Normal
2020-04-01,2226937680,3810912405.5,491550100.4263617,-3.2224074903577256,Negative shock
2020-05-01,2973651861,3780290520.5,528228044.72093785,-1.5270651900471246,Normal
2020-06-01,3190267210,3780290520.5,542626310.0662088,-1.0873474056722534,Normal
2020-07-01,2892506105,3744824967.0,570982297.3630126,-1.4927237953545913,Normal
2020-08-01,2027518150,3634073025.5,684551853.1227044,-2.346870975765263,Negative shock
2020-09-01,2187779825,3367604029.0,742149699.8019753,-1.5897388415232232,Normal
2020-10-01,2921382593,3081959535.5,685873693.967986,-0.23412028178397395,Normal
2020-11-01,3624014539,3081959535.5,652505836.441532,0.8307282069017493,Normal
2020-12-01,3856204558,3081959535.5,661588958.1251398,1.1702810528974263,Normal
2021-01-01,3549955669,3081959535.5,648117597.0042034,0.7220852136452095,Normal
2021-02-01,3351830231,3081959535.5,610016585.9187368,0.4423989473885399,Normal
2021-03-01,4019550991,3081959535.5,659864146.5829753,1.4208855873670379,Normal
2021-04-01,3756998819,3271048720.5,629606129.402163,0.7718319053873088,Normal
2021-05-01,3792348398,3450892950.0,647430330.3700923,0.5274010684745228,Normal
2021-06-01,3261718590,3450892950.0,647017038.4753176,-0.2923792554919195,Normal
2021-07-01,3381040033,3465497851.0,636377085.4769069,-0.13271662341001253,Normal
2021-08-01,2818955482,3465497851.0,522018528.63403,-1.238542951132046,Normal
2021-09-01,2669449713,3465497851.0,433250293.6990526,-1.8373862628076063,Normal
2021-10-01,3230438042,3465497851.0,409656339.4455848,-0.573797562410781,Normal
2021-11-01,3896741703,3465497851.0,427793202.9181509,1.0080661615432662,Normal
2021-12-01,3985684361,3465497851.0,440003974.19733137,1.1822313899526478,Normal
2022-01-01,3432673413,3406856723.0,439519673.17039454,0.05873841735860432,Normal
2022-02-01,3668870576,3550771994.5,441527470.9757967,0.2674773128815666,Normal
2022-03-01,4036974342,3550771994.5,443441383.5774751,1.0964297999829193,Normal
2022-04-01,3678409428,3550771994.5,439774490.9989731,0.2902338269099334,Normal
2022-05-01,3980255590,3550771994.5,454697427.3823726,0.9445481096571735,Normal
2022-06-01,3783769243,3673640002.0,454442422.8338994,0.24233926118348484,Normal
2022-07-01,3873079595,3731089335.5,460273391.75473654,0.30849113166998277,Normal
2022-08-01,4010574428,3828424419.0,404443085.9216992,0.4503724141677242,Normal
2022-09-01,3825024795,3849052195.0,247003242.6001312,-0.09727564604849133,Normal
2022-10-01,4054063434,3884910649.0,186314920.11864018,0.9078864156036897,Normal
2022-11-01,4007093695,3926667592.5,191369270.2856798,0.4202665473925795,Normal
2022-12-01,3903774145,3888426870.0,187962657.57099733,0.0816506597551326,Normal
2023-01-01,3729479465,3888426870.0,141084450.64319447,-1.1266117865956846,Normal
2023-02-01,3792856272,3888426870.0,128228759.05692264,-0.7453132877748181,Normal
2023-03-01,4205558948,3888426870.0,152734732.81598374,2.0763586130869376,Positive shock
2023-04-01,3765168137,3888426870.0,142835419.97866282,-0.862942350142652,Normal
2023-05-01,4146691721,3888426870.0,157510025.07496646,1.639672464511891,Normal
2023-06-01,3903344414,3903559279.5,151445137.59631348,-0.0014187679011044745,Normal
2023-07-01,3896326692,3903559279.5,150731890.25243837,-0.04798312744494359,Normal
2023-08-01,4145936552,3903559279.5,161449890.4799525,1.5012538675589648,Normal
2023-09-01,3940445529,3922109837.0,156833397.30898207,0.11691190980117784,Normal
2023-10-01,4194260387,3922109837.0,169394548.55241722,1.6066074872284695,Normal
2023-11-01,4121872208,3922109837.0,174877728.6793252,1.142297378337444,Normal
2023-12-01,4032779267,3986612398.0,173807621.15519565,0.26562051015459703,Normal
2024-01-01,3804896566,3986612398.0,164671769.1008354,-1.1035032476558129,Normal
2024-02-01,4061556304,4047167785.5,152369695.3099189,0.09443162874831411,Normal
2024-03-01,4206790326,4047167785.5,152507670.21418893,1.0466525406611917,Normal
2024-04-01,3982212468,4047167785.5,131123964.29278494,-0.4953733503279549,Normal
2024-05-01,4296752485,4047167785.5,148588282.1249049,1.6797064743651617,Normal
2024-06-01,3972755318,4047167785.5,143675464.6647485,-0.5179204930614536,Normal
2024-07-01,4141492150,4091714256.0,136349630.40792426,0.3650753863510806,Normal
2024-08-01,4285525933,4091714256.0,148363234.62892294,1.3063322425178308,Normal
2024-09-01,3878586898,4091714256.0,154842924.01815286,-1.3764100578145515,Normal
2024-10-01,4395226918,4091714256.0,177363034.3508028,1.7112509554820108,Normal
2024-11-01,4247618310,4101524227.0,182517494.27154952,0.8004387940075554,Normal
2024-12-01,4204504222,4172998186.0,182742917.68321252,0.17240633125173238,Normal
2025-01-01,3948992470,4172998186.0,163667394.6262165,-1.368664274955828,Normal
2025-02-01,3847820366,4172998186.0,182905877.04836398,-1.7778423812703212,Normal
2025-03-01,4384498446,4172998186.0,197423147.58560956,1.0713042649078732,Normal
2025-04-01,4042970331,4172998186.0,193976833.49603721,-0.6703267223024154,Normal
2025-05-01,4304234239,4172998186.0,194547371.96185836,0.674571194031494,Normal
2025-06-01,4105237117,4172998186.0,187974766.49391684,-0.3604796019373848,Normal
2025-07-01,4285801250,4226061266.0,192030659.96708858,0.3110960718993447,Normal
2025-08-01,4387186136,4226061266.0,200100522.2153054,0.8052196376910594,Normal
2025-09-01,4188281575,4226061266.0,177927579.871808,-0.21233184325453786,Normal
2025-10-01,4513402918,4226061266.0,192665408.51483753,1.491402396595086,Normal
2025-11-01,4306927842,4245152736.0,194607758.13512215,0.3174339327063603,Normal
2025-12-01,4207171812,4246486531.0,194602448.00743493,-0.2020258193180486,Normal
2026-01-01,4063057374,4246486531.0,183130906.66142783,-1.001628618260071,Normal
2026-02-01,4127306156,4246486531.0,145424206.2290607,-0.8195360187304478,Normal
2026-03-01,4414536971,4246486531.0,148311021.57254592,1.1330947506001676,Normal
