month_label,month_start,next_month_start,month_of_year,month_name,month_total_volume,days_loaded,avg_daily_volume,month_elapsed_seconds,completed_at_epoch,row_type
2014-01,2014-01-01,2014-02-01,1,January,3135106330,31,101132462.25806452,663.779,1778152603.93,month_of_year_month_total
2014-02,2014-02-01,2014-03-01,2,February,3163908323,28,112996725.82142857,676.881,1778153352.003,month_of_year_month_total
2014-03,2014-03-01,2014-04-01,3,March,3465584673,31,111793053.96774194,735.118,1778154163.917,month_of_year_month_total
2014-04,2014-04-01,2014-05-01,4,April,3185110879,30,106170362.63333334,741.295,1778154981.0,month_of_year_month_total
2014-05,2014-05-01,2014-06-01,5,May,3493864171,31,112705295.83870968,710.92,1778155770.342,month_of_year_month_total
2014-06,2014-06-01,2014-07-01,6,June,3205298805,30,106843293.5,678.307,1778156521.458,month_of_year_month_total
2014-07,2014-07-01,2014-08-01,7,July,3380496755,31,109048282.41935484,754.533,1778157349.39,month_of_year_month_total
2014-08,2014-08-01,2014-09-01,8,August,3438065829,31,110905349.32258065,702.51,1778158126.017,month_of_year_month_total
2014-09,2014-09-01,2014-10-01,9,September,3341624965,30,111387498.83333333,662.738,1778158861.974,month_of_year_month_total
2014-10,2014-10-01,2014-11-01,10,October,3560279625,31,114847729.83870968,718.315,1778159660.136,month_of_year_month_total
2014-11,2014-11-01,2014-12-01,11,November,3408259338,30,113608644.6,712.881,1778160448.165,month_of_year_month_total
2014-12,2014-12-01,2015-01-01,12,December,3452827742,31,111381540.06451613,733.829,1778161254.673,month_of_year_month_total
2015-01,2015-01-01,2015-02-01,1,January,3176402739,31,102464604.48387097,760.308,1778162088.106,month_of_year_month_total
2015-02,2015-02-01,2015-03-01,2,February,3232040831,28,115430029.67857143,722.991,1778162885.5,month_of_year_month_total
2015-03,2015-03-01,2015-04-01,3,March,3436425583,30,114547519.43333334,658.682,1778163617.507,month_of_year_month_total
2015-04,2015-04-01,2015-05-01,4,April,3316264247,30,110542141.56666666,744.505,1778164434.409,month_of_year_month_total
2015-05,2015-05-01,2015-06-01,5,May,3523217182,31,113652167.16129032,707.705,1778165215.176,month_of_year_month_total
2015-06,2015-06-01,2015-07-01,6,June,3314160485,30,110472016.16666667,724.287,1778166013.761,month_of_year_month_total
2015-07,2015-07-01,2015-08-01,7,July,3457636675,31,111536666.93548387,742.431,1778166836.337,month_of_year_month_total
2015-08,2015-08-01,2015-09-01,8,August,3497577936,31,112825094.70967741,685.549,1778167599.148,month_of_year_month_total
2015-09,2015-09-01,2015-10-01,9,September,3428209933,30,114273664.43333334,868.905,1778168540.601,month_of_year_month_total
2015-10,2015-10-01,2015-11-01,10,October,3599947921,31,116127352.29032259,740.596,1778169354.887,month_of_year_month_total
2015-11,2015-11-01,2015-12-01,11,November,3439546450,30,114651548.33333333,746.49,1778170175.263,month_of_year_month_total
2015-12,2015-12-01,2016-01-01,12,December,3520512452,31,113564917.80645162,799.677,1778171049.484,month_of_year_month_total
2016-01,2016-01-01,2016-02-01,1,January,3229608651,31,104180924.22580644,777.352,1778171899.654,month_of_year_month_total
2016-02,2016-02-01,2016-03-01,2,February,3453808302,29,119096838.0,682.699,1778172657.07,month_of_year_month_total
2016-03,2016-03-01,2016-04-01,3,March,3553086995,31,114615709.51612903,738.757,1778173468.704,month_of_year_month_total
2016-04,2016-04-01,2016-05-01,4,April,3496621416,30,116554047.2,702.544,1778174244.388,month_of_year_month_total
2016-05,2016-05-01,2016-06-01,5,May,3639479964,31,117402579.48387097,840.345,1778175158.453,month_of_year_month_total
2016-06,2016-06-01,2016-07-01,6,June,3436802887,30,114560096.23333333,724.17,1778175956.694,month_of_year_month_total
2016-07,2016-07-01,2016-08-01,7,July,3582237904,31,115556061.41935484,730.01,1778176761.407,month_of_year_month_total
2016-08,2016-08-01,2016-09-01,8,August,3686630618,31,118923568.32258065,810.942,1778177653.255,month_of_year_month_total
2016-09,2016-09-01,2016-10-01,9,September,3514136708,30,117137890.26666667,756.052,1778178483.348,month_of_year_month_total
2016-10,2016-10-01,2016-11-01,10,October,3681720111,31,118765164.87096775,782.464,1778179339.519,month_of_year_month_total
2016-11,2016-11-01,2016-12-01,11,November,3682971216,30,122765707.2,729.679,1778180142.98,month_of_year_month_total
2016-12,2016-12-01,2017-01-01,12,December,3648283824,31,117686574.96774194,754.773,1778180970.89,month_of_year_month_total
2017-01,2017-01-01,2017-02-01,1,January,3376836301,31,108930203.25806452,648.836,1778181692.841,month_of_year_month_total
2017-02,2017-02-01,2017-03-01,2,February,3431302811,28,122546528.96428572,795.069,1778182559.437,month_of_year_month_total
2017-03,2017-03-01,2017-04-01,3,March,3821955946,31,123288901.48387097,700.77,1778183333.797,month_of_year_month_total
2017-04,2017-04-01,2017-05-01,4,April,3408210727,30,113607024.23333333,664.171,1778184070.846,month_of_year_month_total
2017-05,2017-05-01,2017-06-01,5,May,3756242112,31,121169100.38709678,688.005,1778184840.286,month_of_year_month_total
2017-06,2017-06-01,2017-07-01,6,June,3540040727,30,118001357.56666666,728.333,1778185641.697,month_of_year_month_total
2017-07,2017-07-01,2017-08-01,7,July,3473856532,30,115795217.73333333,674.391,1778186389.199,month_of_year_month_total
2017-08,2017-08-01,2017-09-01,8,August,3731810338,31,120380978.64516129,782.617,1778187243.222,month_of_year_month_total
