month_label,month_start,next_month_start,month_total_volume,month_elapsed_seconds,completed_at_epoch
2014-01,2014-01-01,2014-02-01,3135106330,87.624,1777413041.843
2014-02,2014-02-01,2014-03-01,3163908323,69.477,1777413375.819
2014-03,2014-03-01,2014-04-01,3465584673,81.533,1777413734.269
2014-04,2014-04-01,2014-05-01,3185110879,64.608,1777414087.098
2014-05,2014-05-01,2014-06-01,3493864171,68.74,1777414378.242
2014-06,2014-06-01,2014-07-01,3205298805,54.995,1777414673.751
2014-07,2014-07-01,2014-08-01,3380496755,67.866,1777414967.729
2014-08,2014-08-01,2014-09-01,3438065829,62.341,1777415253.542
2014-09,2014-09-01,2014-10-01,3341624965,64.168,1777415553.93
2014-10,2014-10-01,2014-11-01,3560279625,75.182,1777415833.415
2014-11,2014-11-01,2014-12-01,3408259338,67.645,1777416162.844
2014-12,2014-12-01,2015-01-01,3452827742,57.971,1777416456.743
2015-01,2015-01-01,2015-02-01,3176402739,64.608,1777416697.532
2015-02,2015-02-01,2015-03-01,3232040831,62.701,1777416940.813
2015-03,2015-03-01,2015-04-01,3436425583,71.892,1777417264.614
2015-04,2015-04-01,2015-05-01,3316264247,63.609,1777417556.902
2015-05,2015-05-01,2015-06-01,3523217182,67.698,1777417860.879
2015-06,2015-06-01,2015-07-01,3314160485,58.739,1777418180.979
2015-07,2015-07-01,2015-08-01,3457636675,77.768,1777418483.419
2015-08,2015-08-01,2015-09-01,3497577936,62.579,1777418829.31
2015-09,2015-09-01,2015-10-01,3428209933,62.794,1777419081.555
2015-10,2015-10-01,2015-11-01,3599947921,82.212,1777419383.972
2015-11,2015-11-01,2015-12-01,3439546450,47.339,1777419734.469
2015-12,2015-12-01,2016-01-01,3520512452,67.794,1777420025.778
2016-01,2016-01-01,2016-02-01,3229608651,69.505,1777420339.061
2016-02,2016-02-01,2016-03-01,3453808302,57.142,1777420664.62
2016-03,2016-03-01,2016-04-01,3553086995,61.824,1777420895.029
2016-04,2016-04-01,2016-05-01,3496621416,62.889,1777421208.304
2016-05,2016-05-01,2016-06-01,3639479964,80.715,1777421503.913
2016-06,2016-06-01,2016-07-01,3436802887,59.662,1777421821.322
2016-07,2016-07-01,2016-08-01,3582237904,72.6,1777422125.078
2016-08,2016-08-01,2016-09-01,3686630618,62.738,1777422460.945
2016-09,2016-09-01,2016-10-01,3514136708,104.442,1777422778.171
2016-10,2016-10-01,2016-11-01,3681720111,76.795,1777423058.494
2016-11,2016-11-01,2016-12-01,3682971216,92.331,1777423396.575
2016-12,2016-12-01,2017-01-01,3648283824,72.576,1777423670.635
2017-01,2017-01-01,2017-02-01,3376836301,73.221,1777423969.641
2017-02,2017-02-01,2017-03-01,3431302811,65.381,1777424279.595
2017-03,2017-03-01,2017-04-01,3821955946,84.483,1777424580.57
2017-04,2017-04-01,2017-05-01,3408210727,86.774,1777424941.587
2017-05,2017-05-01,2017-06-01,3756242112,72.778,1777425264.74
2017-06,2017-06-01,2017-07-01,3540040727,77.07,1777425567.249
2017-07,2017-07-01,2017-08-01,3473856532,77.319,1777425872.631
2017-08,2017-08-01,2017-09-01,3731810338,79.317,1777426245.529
2017-09,2017-09-01,2017-10-01,3543109329,62.875,1777426575.209
2017-10,2017-10-01,2017-11-01,3772673180,63.188,1777426846.59
2017-11,2017-11-01,2017-12-01,3725865164,99.242,1777427150.476
2017-12,2017-12-01,2018-01-01,3679149260,90.932,1777427396.09
2018-01,2018-01-01,2018-02-01,3447376750,84.08,1777427799.179
2018-02,2018-02-01,2018-03-01,3519395584,67.925,1777428150.685
2018-03,2018-03-01,2018-04-01,3796169426,83.896,1777428474.685
2018-04,2018-04-01,2018-05-01,3543308072,99.848,1777428818.621
2018-05,2018-05-01,2018-06-01,3786980758,75.367,1777429091.912
2018-06,2018-06-01,2018-07-01,3544747568,65.97,1777429378.047
2018-07,2018-07-01,2018-08-01,3647632727,90.57,1777429692.052
2018-08,2018-08-01,2018-09-01,3796160085,80.799,1777430034.245
2018-09,2018-09-01,2018-10-01,3542539283,80.678,1777430360.832
2018-10,2018-10-01,2018-11-01,3843850831,116.282,1777430765.671
2018-11,2018-11-01,2018-12-01,3745217547,71.658,1777431076.132
2018-12,2018-12-01,2019-01-01,0,0.269,1777441863.499
2019-01,2019-01-01,2019-02-01,3481934922,96.133,1777442038.076
2019-02,2019-02-01,2019-03-01,3537567800,92.453,1777442400.945
2019-03,2019-03-01,2019-04-01,3867309544,92.624,1777442756.996
2019-04,2019-04-01,2019-05-01,3562539050,102.347,1777443104.79
2019-05,2019-05-01,2019-06-01,3896132153,98.429,1777443509.036
2019-06,2019-06-01,2019-07-01,3606479411,98.073,1777443895.458
2019-07,2019-07-01,2019-08-01,3827688501,108.833,1777444246.384
2019-08,2019-08-01,2019-09-01,4038680009,144.215,1777444657.536
2019-09,2019-09-01,2019-10-01,3794136310,146.283,1777445143.9
2019-10,2019-10-01,2019-11-01,4124136444,132.251,1777445606.552
2019-11,2019-11-01,2019-12-01,3971414689,134.327,1777446030.712
2019-12,2019-12-01,2020-01-01,3766444731,141.875,1777446497.656
2020-01,2020-01-01,2020-02-01,3723205203,139.547,1777446952.653
2020-02,2020-02-01,2020-03-01,3835818599,132.908,1777447408.472
2020-03,2020-03-01,2020-04-01,3544940848,151.432,1777447796.231
2020-04,2020-04-01,2020-05-01,2226937680,158.112,1777448288.197
2020-05,2020-05-01,2020-06-01,2973651861,144.894,1777448784.543
2020-06,2020-06-01,2020-07-01,3190267210,123.244,1777449221.679
2020-07,2020-07-01,2020-08-01,2892506105,141.323,1777449684.796
2020-08,2020-08-01,2020-09-01,2027518150,138.954,1777450125.12
2020-09,2020-09-01,2020-10-01,2187779825,126.549,1777450580.053
2020-10,2020-10-01,2020-11-01,2921382593,144.086,1777451030.633
2020-11,2020-11-01,2020-12-01,3624014539,130.773,1777451490.082
2020-12,2020-12-01,2021-01-01,3856204558,142.809,1777451920.015
2021-01,2021-01-01,2021-02-01,3549955669,136.043,1777452380.169
2021-02,2021-02-01,2021-03-01,3351830231,131.592,1777452790.024
2021-03,2021-03-01,2021-04-01,4019550991,114.903,1777453221.159
2021-04,2021-04-01,2021-05-01,3756998819,117.564,1777453572.399
2021-05,2021-05-01,2021-06-01,3792348398,124.487,1777453995.697
2021-06,2021-06-01,2021-07-01,3261718590,121.974,1777454399.053
2021-07,2021-07-01,2021-08-01,3381040033,227.275,1777454941.125
2021-08,2021-08-01,2021-09-01,2818955482,123.104,1777455353.881
2021-09,2021-09-01,2021-10-01,2669449713,115.781,1777455788.814
