month_num,month_name,avg_month_volume,median_month_volume,max_month_volume,years_seen
1,Jan,378804.3846153846,346934.0,594607.0,13
2,Feb,373209.53846153844,353158.0,537766.0,13
3,Mar,401754.0,379806.0,579736.0,13
4,Apr,338666.3076923077,340948.0,526702.0,13
5,May,381128.4166666667,362991.0,548812.0,12
6,Jun,350696.4166666667,335360.0,506939.0,12
7,Jul,350667.4166666667,331034.5,523208.0,12
8,Aug,363908.1666666667,359426.5,539722.0,12
9,Sep,352951.8333333333,346394.5,542167.0,12
10,Oct,388213.3333333333,370449.5,573567.0,12
11,Nov,385942.6666666667,372994.0,551041.0,12
12,Dec,385983.9090909091,370608.0,548188.0,11
