month_label,month_start,next_month_start,scats_site,month_site_volume,month_elapsed_seconds,completed_at_epoch,row_type,year,month_num,month_name,rolling_12m_avg,ratio_to_12m_avg,monthly_rank,monthly_site_count
2014-01,2014-01-01,2014-02-01,1244.0,594607.0,615.186,1777861719.822,site_month_total,2014,1,Jan,,,2314.0,3405
2014-02,2014-02-01,2014-03-01,1244.0,537766.0,660.574,1777862450.348,site_month_total,2014,2,Feb,,,2558.0,3409
2014-03,2014-03-01,2014-04-01,1244.0,579736.0,720.117,1777863243.433,site_month_total,2014,3,Mar,570703.0,1.015827847409248,2579.0,3423
2014-04,2014-04-01,2014-05-01,1244.0,526702.0,686.199,1777864001.516,site_month_total,2014,4,Apr,559702.75,0.9410387924661796,2589.0,3429
2014-05,2014-05-01,2014-06-01,1244.0,548812.0,696.305,1777864770.009,site_month_total,2014,5,May,557524.6,0.9843727075002611,2684.0,3468
2014-06,2014-06-01,2014-07-01,1244.0,506939.0,656.691,1777865498.946,site_month_total,2014,6,Jun,549093.6666666666,0.9232286416221641,2665.0,3463
2014-07,2014-07-01,2014-08-01,1244.0,523208.0,689.37,1777866260.003,site_month_total,2014,7,Jul,545395.7142857143,0.9593181359799045,2703.0,3454
2014-08,2014-08-01,2014-09-01,1244.0,539722.0,675.468,1777867012.7,site_month_total,2014,8,Aug,544686.5,0.9908855828077252,2693.0,3484
2014-09,2014-09-01,2014-10-01,1244.0,542167.0,679.16,1777867766.798,site_month_total,2014,9,Sep,544406.5555555555,0.995886244328432,2636.0,3473
2014-10,2014-10-01,2014-11-01,1244.0,573567.0,691.523,1777868535.035,site_month_total,2014,10,Oct,547322.6,1.047950514011298,2656.0,3490
2014-11,2014-11-01,2014-12-01,1244.0,551041.0,718.243,1777869332.122,site_month_total,2014,11,Nov,547660.6363636364,1.00617236918616,2642.0,3471
2014-12,2014-12-01,2015-01-01,1244.0,548188.0,756.347,1777870164.406,site_month_total,2014,12,Dec,547704.5833333334,1.0008826230076888,2675.0,3493
2015-01,2015-01-01,2015-02-01,1244.0,519896.0,715.55,1777870956.049,site_month_total,2015,1,Jan,541478.6666666666,0.960141242868294,2610.0,3465
2015-02,2015-02-01,2015-03-01,1244.0,465793.0,705.471,1777871737.285,site_month_total,2015,2,Feb,535480.9166666666,0.8698591966629374,2836.0,3503
2015-03,2015-03-01,2015-04-01,1244.0,468549.0,694.323,1777872507.759,site_month_total,2015,3,Mar,526215.3333333334,0.8904130501708425,2913.0,3479
2015-04,2015-04-01,2015-05-01,1244.0,454957.0,727.907,1777873310.486,site_month_total,2015,4,Apr,520236.5833333333,0.874519429381408,2891.0,3503
2015-05,2015-05-01,2015-06-01,1244.0,415128.0,679.091,1777874071.569,site_month_total,2015,5,May,509096.25,0.8154214453553724,3075.0,3520
2015-06,2015-06-01,2015-07-01,1244.0,325882.0,675.152,1777874820.84,site_month_total,2015,6,Jun,494008.1666666667,0.6596692564799029,3200.0,3524
2015-07,2015-07-01,2015-08-01,1244.0,328036.0,695.757,1777875595.117,site_month_total,2015,7,Jul,477743.8333333333,0.6866357598196803,3231.0,3525
2015-08,2015-08-01,2015-09-01,1244.0,334052.0,727.258,1777876396.261,site_month_total,2015,8,Aug,460604.6666666667,0.7252466685096547,3241.0,3540
2015-09,2015-09-01,2015-10-01,1244.0,332232.0,833.182,1777877305.547,site_month_total,2015,9,Sep,443110.0833333333,0.7497730530092127,3247.0,3553
2015-10,2015-10-01,2015-11-01,1244.0,357807.0,695.228,1777878076.55,site_month_total,2015,10,Oct,425130.0833333333,0.8416412153064523,3243.0,3552
2015-11,2015-11-01,2015-12-01,1244.0,348850.0,749.907,1777878901.646,site_month_total,2015,11,Nov,408280.8333333333,0.8544363867191088,3244.0,3578
2015-12,2015-12-01,2016-01-01,1244.0,354214.0,792.116,1777879770.597,site_month_total,2015,12,Dec,392116.3333333333,0.9033390600918605,3253.0,3604
2016-01,2016-01-01,2016-02-01,1244.0,343954.0,732.125,1777880578.258,site_month_total,2016,1,Jan,377454.5,0.9112462561712736,3200.0,3578
2016-02,2016-02-01,2016-03-01,1244.0,353158.0,643.82,1777881304.451,site_month_total,2016,2,Feb,368068.25,0.9594905292700471,3246.0,3605
2016-03,2016-03-01,2016-04-01,1244.0,350771.0,655.624,1777882033.279,site_month_total,2016,3,Mar,358253.4166666667,0.9791141791855439,3260.0,3612
2016-04,2016-04-01,2016-05-01,1244.0,350087.0,663.804,1777882769.157,site_month_total,2016,4,Apr,349514.25,1.0016387028568936,3261.0,3623
2016-05,2016-05-01,2016-06-01,1244.0,359928.0,769.65,1777883611.474,site_month_total,2016,5,May,344914.25,1.0435289350903885,3287.0,3694
2016-06,2016-06-01,2016-07-01,1244.0,333974.0,689.851,1777884375.644,site_month_total,2016,6,Jun,345588.5833333333,0.9663918778181089,3312.0,3700
2016-07,2016-07-01,2016-08-01,1244.0,349903.0,713.661,1777885163.382,site_month_total,2016,7,Jul,347410.8333333333,1.0071735433312625,3321.0,3724
2016-08,2016-08-01,2016-09-01,1244.0,364650.0,766.276,1777886007.779,site_month_total,2016,8,Aug,349960.6666666667,1.0419742409146933,3321.0,3702
2016-09,2016-09-01,2016-10-01,1244.0,364922.0,701.481,1777886794.05,site_month_total,2016,9,Sep,352684.8333333333,1.0346971729717136,3282.0,3711
2016-10,2016-10-01,2016-11-01,1244.0,384592.0,704.542,1777887575.336,site_month_total,2016,10,Oct,354916.9166666667,1.083611352234314,3286.0,3722
2016-11,2016-11-01,2016-12-01,1244.0,368266.0,674.4,1777888322.892,site_month_total,2016,11,Nov,356534.9166666667,1.0329030419881735,3315.0,3726
2016-12,2016-12-01,2017-01-01,1244.0,371659.0,725.22,1777889123.161,site_month_total,2016,12,Dec,357988.6666666667,1.0381864975241302,3315.0,3725
2017-01,2017-01-01,2017-02-01,1244.0,346934.0,669.771,1777889868.685,site_month_total,2017,1,Jan,358237.0,0.9684482619048284,3297.0,3731
2017-02,2017-02-01,2017-03-01,1244.0,337861.0,723.823,1777890666.259,site_month_total,2017,2,Feb,356962.25,0.9464894397096612,3337.0,3747
2017-03,2017-03-01,2017-04-01,1244.0,373388.0,663.687,1777891404.549,site_month_total,2017,3,Mar,358847.0,1.040521447859394,3346.0,3742
2017-04,2017-04-01,2017-05-01,1244.0,326888.0,675.473,1777892161.265,site_month_total,2017,4,Apr,356913.75,0.9158739331281017,3352.0,3757
2017-05,2017-05-01,2017-06-01,1244.0,353864.0,677.683,1777892916.605,site_month_total,2017,5,May,356408.4166666667,0.9928609523577936,3360.0,3755
2017-06,2017-06-01,2017-07-01,1244.0,338532.0,767.5,1777893757.902,site_month_total,2017,6,Jun,356788.25,0.9488316949899556,3347.0,3774
2017-07,2017-07-01,2017-08-01,1244.0,321707.0,642.285,1777894473.259,site_month_total,2017,7,Jul,354438.5833333333,0.9076523130594087,3350.0,3758
2017-08,2017-08-01,2017-09-01,1244.0,354203.0,685.453,1777895231.906,site_month_total,2017,8,Aug,353568.0,1.0017959770114941,3348.0,3781
2017-09,2017-09-01,2017-10-01,1244.0,345840.0,643.815,1777895948.808,site_month_total,2017,9,Sep,351977.8333333333,0.9825618753453698,3338.0,3798
2017-10,2017-10-01,2017-11-01,1244.0,362544.0,648.713,1777896670.919,site_month_total,2017,10,Oct,350140.5,1.0354243510819228,3358.0,3801
