sites,site_share,traffic_share
10,0.2101723413198823,1.0380295739507133
25,0.5254308532997058,2.3894634689062655
50,1.0508617065994117,4.339915828211425
100,2.1017234131988234,7.781253953563826
250,5.254308532997057,16.36383332467698
500,10.508617065994114,27.968501529960747
1000,21.01723413198823,46.28413546510688
1500,31.525851197982348,60.50672524185367
2000,42.03446826397646,71.90226196005597
2500,52.54308532997057,81.35220545914984
3000,63.051702395964696,88.92020071464057
4000,84.06893652795291,98.4724555276644
4758,100.0,100.0
