sites,revenue,cost,profit,revenue_per_site
50,187144360.968,600000,186544360.968,3742887.21936
100,335540562.608,1200000,334340562.608,3355405.62608
250,705635604.872,3000000,702635604.872,2822542.4194879998
500,1206048124.72,6000000,1200048124.72,2412096.24944
1000,1995848605.696,12000000,1983848605.696,1995848.6056960002
1500,2609150241.128,18000000,2591150241.128,1739433.494085333
2000,3100544664.76,24000000,3076544664.76,1550272.33238
2500,3508041885.288,30000000,3478041885.288,1403216.7541152001
3000,3834386379.504,36000000,3798386379.504,1278128.7931680002
4000,4246295433.4,48000000,4198295433.4,1061573.85835
