month_label,total_volume,active_sites
2014-01,3135106330,3405
2014-02,3163908323,3409
2014-03,3465584673,3423
2014-04,3185110879,3429
2014-05,3493864171,3468
2014-06,3205298805,3463
2014-07,3380496755,3454
2014-08,3438065829,3484
2014-09,3341624965,3473
2014-10,3560279625,3490
2014-11,3408259338,3471
2014-12,3452827742,3493
2015-01,3176402739,3465
2015-02,3232040831,3503
2015-03,3436425583,3479
2015-04,3316264247,3503
2015-05,3523217182,3520
2015-06,3314160485,3524
2015-07,3457636675,3525
2015-08,3497577936,3540
2015-09,3428209933,3553
2015-10,3599947921,3552
2015-11,3439546450,3578
2015-12,3520512452,3604
2016-01,3229608651,3578
2016-02,3453808302,3605
2016-03,3553086995,3612
2016-04,3496621416,3623
2016-05,3639479964,3694
2016-06,3436802887,3700
2016-07,3582237904,3724
2016-08,3686630618,3702
2016-09,3514136708,3711
2016-10,3681720111,3722
2016-11,3682971216,3726
2016-12,3648283824,3725
2017-01,3376836301,3731
2017-02,3431302811,3747
2017-03,3821955946,3742
2017-04,3408210727,3757
2017-05,3756242112,3755
2017-06,3540040727,3774
2017-07,3473856532,3758
2017-08,3731810338,3781
2017-09,3543109329,3798
2017-10,3772673180,3801
2017-11,3725865164,3821
2017-12,3679149260,3830
2018-01,3447376750,3829
2018-02,3519395584,3827
2018-03,3796169426,3827
2018-04,3543308072,3830
2018-05,3786980758,3839
2018-06,3544747568,3851
2018-07,3647632727,3862
2018-08,3796160085,3851
2018-09,3542539283,3857
2018-10,3843850831,3895
2018-11,3745217547,3887
2019-01,3481934922,3929
2019-02,3537567800,3926
2019-03,3867309544,3944
2019-04,3562539050,3956
2019-05,3896132153,3965
2019-06,3606479411,3973
2019-07,3827688501,4069
2019-08,4038680009,4075
2019-09,3794136310,4077
2019-10,4124136444,4079
2019-11,3971414689,4084
2019-12,3766444731,4094
2020-01,3723205203,4103
2020-02,3835818599,4108
2020-03,3544940848,4110
2020-04,2226937680,4118
2020-05,2973651861,4127
2020-06,3190267210,4132
2020-07,2892506105,4143
2020-08,2027518150,4143
2020-09,2187779825,4145
2020-10,2921382593,4161
2020-11,3624014539,4172
2020-12,3856204558,4184
2021-01,3549955669,4182
2021-02,3351830231,4179
2021-03,4019550991,4185
2021-04,3756998819,4187
2021-05,3792348398,4192
2021-06,3261718590,4198
2021-07,3381040033,4215
2021-08,2818955482,4208
2021-09,2669449713,4203
2021-10,3230438042,4381
2021-11,3896741703,4250
2021-12,3985684361,4261
2022-01,3432673413,4265
2022-02,3668870576,4377
2022-03,4036974342,4269
2022-04,3678409428,4277
2022-05,3980255590,4281
2022-06,3783769243,4290
2022-07,3873079595,4296
2022-08,4010574428,4301
2022-09,3825024795,4310
2022-10,4054063434,4436
2022-11,4007093695,4326
2022-12,3903774145,4338
2023-01,3729479465,4338
2023-02,3792856272,4349
2023-03,4205558948,4355
2023-04,3765168137,4364
2023-05,4146691721,4375
2023-06,3903344414,4379
2023-07,3896326692,4387
2023-08,4145936552,4398
2023-09,3940445529,4403
2023-10,4194260387,4553
2023-11,4121872208,4423
2023-12,4032779267,4431
2024-01,3804896566,4431
2024-02,4061556304,4434
2024-03,4206790326,4441
2024-04,3982212468,4446
2024-05,4296752485,4452
2024-06,3972755318,4458
2024-07,4141492150,4460
2024-08,4285525933,4475
2024-09,3878586898,4482
2024-10,4395226918,4492
2024-11,4247618310,4498
2024-12,4204504222,4503
2025-01,3948992470,4506
2025-02,3847820366,4512
2025-03,4384498446,4520
2025-04,4042970331,4524
2025-05,4304234239,4537
2025-06,4105237117,4544
2025-07,4285801250,4547
2025-08,4387186136,4551
2025-09,4188281575,4571
2025-10,4513402918,4573
2025-11,4306927842,4581
2025-12,4207171812,4586
2026-01,4063057374,4589
2026-02,4127306156,4593
2026-03,4414536971,4594
2026-04,840492772,4595
