site_id,mean_volume,std_volume,total_volume,site_name,coefficient_of_variation,rank
7987,12897.4,63108.79201360668,322435,2017-04,4.893140634050792,1
7050,73489.39393939394,321029.0148959163,4850300,2019-07,4.368372055982202,2
4316,50388.620689655174,205785.035898959,4383810,MILITARY near CLARENDON,4.08395850258324,3
3430,35003.515625,117320.25463323074,2240225,Somerville / Hyde,3.3516706118924517,4
4302,57691.04794520548,139901.2295284677,8422893,ORIEL near BANKSIA,2.425007596695848,5
3458,19489.04794520548,37907.10068563394,2845401,2014-01,1.9450463045815176,6
7662,83638.65,124777.96223577767,1672773,2014-01,1.491869634861128,7
6155,85077.39024390244,125915.27438577062,3488173,HIGH near STANLEY,1.4800086606417158,8
4469,479672.80821917806,708759.0615480896,70032230,RACECOURSE near CROWN,1.477588575803185,9
4708,3094.7011494252874,4325.660415003575,269239,WAVERLEY near SAVIO,1.3977635339059757,10
3945,498167.76712328766,696137.9144031542,72732494,Plenty / Findon,1.397396540573193,11
3836,116565.70149253731,159010.06359758717,15619804,UNION near ST LEONARDS,1.3641239366432947,12
5475,113439.58620689655,154639.24682109032,3289748,2023-10,1.3631859211743937,13
4243,707699.0342465753,876561.8947598774,103324059,Albert / Irving,1.238608295817551,14
3464,54224.1,66851.68561067768,542241,2025-06,1.2328777353737117,15
4428,286614.89629629627,333975.48484044016,38693011,NICHOLSON near HANOVER,1.1652411970073724,16
1857,246778.9090909091,284339.6002717365,2714568,2025-05,1.152203814009854,17
1874,307406.6341463415,350281.10469933687,12603672,Bridge Inn Road / Riverdale Boulevard,1.1394715200992862,18
1360,17384.352112676057,19639.288396403328,1234289,FOOTSCRAY (SERVICE RD) near APPLETON DK RD,1.1297106886188213,19
2015,47479.407079646015,53599.08745952231,5365173,MELBOURNE near HOBART (KNOX CITY),1.128891255310131,20
