month,volume
2014-01-01,3135106330
2014-02-01,3163908323
2014-03-01,3465584673
2014-04-01,3185110879
2014-05-01,3493864171
2014-06-01,3205298805
2014-07-01,3380496755
2014-08-01,3438065829
2014-09-01,3341624965
2014-10-01,3560279625
2014-11-01,3408259338
2014-12-01,3452827742
2015-01-01,3176402739
2015-02-01,3232040831
2015-03-01,3436425583
2015-04-01,3316264247
2015-05-01,3523217182
2015-06-01,3314160485
2015-07-01,3457636675
2015-08-01,3497577936
2015-09-01,3428209933
2015-10-01,3599947921
2015-11-01,3439546450
2015-12-01,3520512452
2016-01-01,3229608651
2016-02-01,3453808302
2016-03-01,3553086995
2016-04-01,3496621416
2016-05-01,3639479964
2016-06-01,3436802887
2016-07-01,3582237904
2016-08-01,3686630618
2016-09-01,3514136708
2016-10-01,3681720111
2016-11-01,3682971216
2016-12-01,3648283824
2017-01-01,3376836301
2017-02-01,3431302811
2017-03-01,3821955946
2017-04-01,3408210727
2017-05-01,3756242112
2017-06-01,3540040727
2017-07-01,3473856532
2017-08-01,3731810338
2017-09-01,3543109329
2017-10-01,3772673180
2017-11-01,3725865164
2017-12-01,3679149260
2018-01-01,3447376750
2018-02-01,3519395584
2018-03-01,3796169426
2018-04-01,3543308072
2018-05-01,3786980758
2018-06-01,3544747568
2018-07-01,3647632727
2018-08-01,3796160085
2018-09-01,3542539283
2018-10-01,3843850831
2018-11-01,3745217547
2019-01-01,3481934922
2019-02-01,3537567800
2019-03-01,3867309544
2019-04-01,3562539050
2019-05-01,3896132153
2019-06-01,3606479411
2019-07-01,3827688501
2019-08-01,4038680009
2019-09-01,3794136310
2019-10-01,4124136444
2019-11-01,3971414689
2019-12-01,3766444731
2020-01-01,3723205203
2020-02-01,3835818599
2020-03-01,3544940848
2020-04-01,2226937680
2020-05-01,2973651861
2020-06-01,3190267210
2020-07-01,2892506105
2020-08-01,2027518150
2020-09-01,2187779825
2020-10-01,2921382593
2020-11-01,3624014539
2020-12-01,3856204558
2021-01-01,3549955669
2021-02-01,3351830231
2021-03-01,4019550991
2021-04-01,3756998819
2021-05-01,3792348398
2021-06-01,3261718590
2021-07-01,3381040033
2021-08-01,2818955482
2021-09-01,2669449713
2021-10-01,3230438042
2021-11-01,3896741703
2021-12-01,3985684361
2022-01-01,3432673413
2022-02-01,3668870576
2022-03-01,4036974342
2022-04-01,3678409428
2022-05-01,3980255590
2022-06-01,3783769243
2022-07-01,3873079595
2022-08-01,4010574428
2022-09-01,3825024795
2022-10-01,4054063434
2022-11-01,4007093695
2022-12-01,3903774145
2023-01-01,3729479465
2023-02-01,3792856272
2023-03-01,4205558948
2023-04-01,3765168137
2023-05-01,4146691721
2023-06-01,3903344414
2023-07-01,3896326692
2023-08-01,4145936552
2023-09-01,3940445529
2023-10-01,4194260387
2023-11-01,4121872208
2023-12-01,4032779267
2024-01-01,3804896566
2024-02-01,4061556304
2024-03-01,4206790326
2024-04-01,3982212468
2024-05-01,4296752485
2024-06-01,3972755318
2024-07-01,4141492150
2024-08-01,4285525933
2024-09-01,3878586898
2024-10-01,4395226918
2024-11-01,4247618310
2024-12-01,4204504222
2025-01-01,3948992470
2025-02-01,3847820366
2025-03-01,4384498446
2025-04-01,4042970331
2025-05-01,4304234239
2025-06-01,4105237117
2025-07-01,4285801250
2025-08-01,4387186136
2025-09-01,4188281575
2025-10-01,4513402918
2025-11-01,4306927842
2025-12-01,4207171812
2026-01-01,4063057374
2026-02-01,4127306156
2026-03-01,4414536971
