site_id,total_volume,site_name,rank
4415,673570928,PRINCES near CANNING,1
3380,637171093,EASTERN Freeway OFF RAMP / HODDLE,2
2404,559406186,Princes Highway East / PARK,3
849,547429633,Canterbury / Mitcham / Boronia,4
1359,546171299,Warrigal / Links Estate Access,5
2487,543911225,Princes Highway East near IRVING (LANSDOWNE),6
3386,543216123,Hoddle / Albert / Elizabeth,7
2405,517823228,Princes Highway East / ALBERT,8
3519,513341231,MT ALEXANDER near LINCOLN,9
416,505316363,SPRINGVALE near LAUGHLIN AVE,10
