month_label,month_start,next_month_start,time_bin,month_time_bin_volume,days_in_month_loaded,month_elapsed_seconds,completed_at_epoch,row_type
2014-01,2014-01-01,2014-02-01,00:00,12290065,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,00:15,11346111,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,00:30,10131189,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,00:45,9068095,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,01:00,8213747,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,01:15,7445760,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,01:30,6823297,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,01:45,6247450,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,02:00,5827541,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,02:15,5402590,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,02:30,5078240,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,02:45,4812537,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,03:00,4649711,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,03:15,4681201,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,03:30,4750338,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,03:45,4717987,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,04:00,4810828,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,04:15,5304546,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,04:30,6148697,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,04:45,6742050,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,05:00,7730745,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,05:15,10322667,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,05:30,14119554,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,05:45,16346710,31,798.93,1777687639.155,time_bin_total
2014-01,2014-01-01,2014-02-01,06:00,18163160,31,798.93,1777687639.155,time_bin_total
