site_id,name,lat,lng,ooh_total_12yr_movements,ooh_annual_avg_movements,ooh_daily_avg_movements,ooh_peak_hour_estimate,ooh_dataset_period,ooh_exposure_summary,parcel_parcel_spi,parcel_parcel_pfi,parcel_parcel_plan_number,parcel_parcel_lot_number,parcel_parcel_road,parcel_parcel_crown_status,parcel_parcel_status,prop_prop_pfi,prop_prop_ufi,prop_prop_property_type,prop_prop_status,vicplan_url,google_street_view_url,prop_objectid,prop_prop_lga_code,prop_prop_propnum,prop_prop_multi_assessment,prop_prop_task_id,prop_prop_pfi_created,prop_prop_ufi_old,prop_prop_ufi_created,prop_propv_task_id,prop_propv_ufi,prop_propv_pfi,prop_propv_base_pfi,prop_propv_centroid_pfi,prop_propv_graphic_type,prop_propv_z_level,prop_propv_pfi_created,prop_propv_ufi_old,prop_propv_ufi_created,prop_shape__area,prop_shape__length,parcel_objectid,parcel_parcel_ufi,parcel_parcel_spi_code,parcel_parcel_desc_type,parcel_parcel_multi,parcel_parcel_lga_code,parcel_parcel_accessory_lot,parcel_parcel_allotment,parcel_parcel_sec,parcel_parcel_block,parcel_parcel_portion,parcel_parcel_subdivision,parcel_parcel_parish_code,parcel_parcel_township_code,parcel_parcel_p_number,parcel_parcel_further_description,parcel_parcel_part,parcel_parcel_crefno,parcel_parcel_reg_date,parcel_parcel_id,parcel_parcel_task_id,parcel_parv_ufi,parcel_parv_pfi,parcel_parv_centroid_pfi,parcel_parv_status,parcel_parv_z_level,parcel_parv_horiz_pos_uncertainty,parcel_parcel_pfi_created,parcel_parcel_ufi_old,parcel_parcel_ufi_created,parcel_parv_task_id,parcel_parv_pfi_created,parcel_parv_ufi_old,parcel_parv_ufi_created,parcel_shape__area,parcel_shape__length,ooh_advertising_context
2404,PHE/PARK,-37.833437,144.967764,560184622,45654818,124996,12500,2014-01-01 to 2026-04-07,"560,184,622 vehicle movements across 2014-01-01 to 2026-04-07; approximately 45,654,818 per year, 124,996 per day, and an indicative 12,500 vehicles in a major peak hour.",180\RP9472,50210583,RP9472,180,N,,A,152186813,295825384,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.833437,144.967764",3032914,358,213827,N,,1065688755000.0,,1243457078000,392259,743039304,152186785,206441658.0,152186771,P,G,1065688755000.0,713914701.0,1681619326000,1183.734375,144.9292127381126,4104230,743220338,101,15,Y,358,,,,,,,,,,,N,54377,229824000000.0,1df095f7-9071-11ed-88cd-b1b6a5ed93d2,392259.0,743014412,2769970,25144054,A,G,3.45,878523067000,311602310.0,1681722974000,392259,,713913241,1681619203000,5486.234375,340.551461834018,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
2487,PHE NR IRVING (LANSDOWNE),-37.859989,145.007416,544715773,44394114,121544,12154,2014-01-01 to 2026-04-07,"544,715,773 vehicle movements across 2014-01-01 to 2026-04-07; approximately 44,394,114 per year, 121,544 per day, and an indicative 12,154 vehicles in a major peak hour.",12\RP10466,50038775,RP10466,12,N,,A,50088047,87682524,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.859989,145.007416",1741631,363,46332,N,,,,943887724000,386222,722311915,2423296,208438618.0,22902263,P,G,,415209432.0,1676781689000,2079.5390625,183.55339441023892,1277367,743206062,200,15,Y,358,,,,,,,,,,,N,,244080000000.0,2d202066-9071-11ed-9c4a-d19715ebad79,392259.0,743026687,2238074,21627483,A,G,0.2,877752639000,311549832.0,1681722920000,392259,,418073151,1681619219000,2591.21875,205.39921370485132,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
416,SPRINGVALE NR LAUGHLIN AVE,-37.82145,145.17544,505992688,41238198,112904,11290,2014-01-01 to 2026-04-07,"505,992,688 vehicle movements across 2014-01-01 to 2026-04-07; approximately 41,238,198 per year, 112,904 per day, and an indicative 11,290 vehicles in a major peak hour.",414\PS719605,423872343,PS719605,414,N,,A,207696659,281828061,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.82145,145.17544",3842252,372,258568,N,,1152101702000.0,,1165843612000,393516,746563193,207696631,219074602.0,207696619,P,G,1152101702000.0,415323080.0,1682833267000,2304.0546875,195.33893421199085,1492131,746945197,101,15,Y,372,N,,,,,,,,,,N,,1490832000000.0,4a5857dc-9b70-11ed-babf-7de6a6769e4e,393516.0,746485489,423872460,423872464,A,G,0.14,1460600299000,531613870.0,1682932710000,393516,1460600323000.0,529251368,1682833097000,3052.0078125,221.6588712953419,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
1359,WARRIGAL/LINKS ESTATE ACCESS,-37.922492,145.082756,546970945,44577909,122048,12205,2014-01-01 to 2026-04-07,"546,970,945 vehicle movements across 2014-01-01 to 2026-04-07; approximately 44,577,909 per year, 122,048 per day, and an indicative 12,205 vehicles in a major peak hour.",1\PS324635,50080697,PS324635,1,N,,A,430293342,575339345,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.922492,145.082756",2573493,348,276334,Y,245994.0,1561482181000.0,,1561482181000,395111,755744657,420841612,422676533.0,420841616,P,G,1409884415000.0,501239018.0,1684047063000,98330.75,1485.929336409912,2445729,550759121,101,15,N,322,,,,,,,,,,,N,50880,743904000000.0,,191169.0,739066043,2393273,22705572,A,G,0.14,877954245000,270608691.0,1525099670000,391115,,686731199,1680416278000,2604.015625,219.3740796709523,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
3386,HODDLE/ALBERT/ELIZABETH,-37.811248,144.991117,543973902,44333651,121379,12138,2014-01-01 to 2026-04-07,"543,973,902 vehicle movements across 2014-01-01 to 2026-04-07; approximately 44,333,651 per year, 121,379 per day, and an indicative 12,138 vehicles in a major peak hour.",1\TP888676,1365489,TP888676,1,N,,A,203489455,316394361,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.811248,144.991117",3313188,343,641341,Y,,1115121056000.0,316393116.0,1358264872000,388080,729445276,2183864,203475380.0,221261377,P,G,,675848740.0,1677988072000,11637.0,605.0843684300327,1873421,729559643,101,15,N,343,,,,,,,,,,,N,88517,,1197ebb9-5eed-11ed-8e7a-050f5cdeac61,388080.0,729425576,2183870,21242504,A,G,0.82,877691454000,315025975.0,1678101185000,388080,,417595966,1677987922000,306.21875,94.95797474886112,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
2420,PHE/GRANGE,-37.881163,145.049558,424321860,34582059,94681,9468,2014-01-01 to 2026-04-07,"424,321,860 vehicle movements across 2014-01-01 to 2026-04-07; approximately 34,582,059 per year, 94,681 per day, and an indicative 9,468 vehicles in a major peak hour.",B8\PS336580,50195035,PS336580,B8,N,,A,421480374,841371180,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.881163,145.049558",3268990,322,NCPR,N,428389.0,1420795927000.0,508002543.0,1713256270000,391115,739082902,421480475,421480479.0,421480491,P,G,1420795951000.0,675426993.0,1680416408000,349.8203125,137.67385984273952,2467059,722511076,101,15,Y,363,,,,,,,,,,,N,33702,,acb2c069-75b5-11ed-9390-4dc4e9821817,386222.0,722285688,4119467,203677141,A,G,0.13,878415102000,543695351.0,1676881002000,386222,,418142999,1676781550000,13279.6015625,554.2054106445186,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
3380,EASTERN FWY OFF RAMP/HODDLE,-37.795997,144.99397,638170425,52010630,142397,14240,2014-01-01 to 2026-04-07,"638,170,425 vehicle movements across 2014-01-01 to 2026-04-07; approximately 52,010,630 per year, 142,397 per day, and an indicative 14,240 vehicles in a major peak hour.",3\TP609629,221454013,TP609629,3,N,,A,868155,280283184,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.795997,144.99397",1611923,376,109695,Y,,,,1158678878000,400577,777586317,3103874,219089269.0,27609767,P,G,,415648139.0,1688273525000,2491.1015625,203.86687075079968,3708731,777737562,100,15,N,376,N,,,,,,,,,,N,,,05063869-d1b0-11ed-a3f7-03e78531987f,400577.0,777555086,221454012,221454011,A,G,3.15,1370617891000,517398379.0,1688376033000,400577,1370617891000.0,418597696,1688273379000,3405.4375,737.3093035595762,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
3060,BELL/HIGH,-37.745172,145.002817,492433092,40133096,109878,10988,2014-01-01 to 2026-04-07,"492,433,092 vehicle movements across 2014-01-01 to 2026-04-07; approximately 40,133,096 per year, 109,878 per day, and an indicative 10,988 vehicles in a major peak hour.",1\TP382097,211746041,TP382097,1,N,,A,218963206,804387014,G,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.745172,145.002817",1671321,316,,N,411127.0,,311111950.0,1697031947000,411127,804387008,218963205,,13362785,B,G,,701009015.0,1697031947000,653.8046875,123.70997089518404,2531997,701341047,100,15,N,316,,,,,,,,,,,N,,,aaa84776-1dca-4fa2-ac16-a01b746aa215,353321.0,700936465,211746040,211746039,A,G,0.29,1220372883000,297062579.0,1669022576000,353321,1220372883000.0,416709171,1668925606000,686.6171875,117.18485838929942,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
855,CANTERBURY/HEATHMONT,-37.829799,145.244803,497003865,40505612,110898,11090,2014-01-01 to 2026-04-07,"497,003,865 vehicle movements across 2014-01-01 to 2026-04-07; approximately 40,505,612 per year, 110,898 per day, and an indicative 11,090 vehicles in a major peak hour.",1\LP38616,2004707,LP38616,1,N,,A,214388032,299585154,O,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.829799,145.244803",838043,342,214351,N,,1263391309000.0,,1263391309000,391643,741681888,214388031,,25585822,P,G,1263391309000.0,687937995.0,1681021092000,1601.828125,163.3287852903889,3941331,883729024,101,15,N,342,,,,,,,,,,,N,,-372211200000.0,,499579.0,741623653,4704258,42028890,A,G,0.39,878177438000,83905793.0,1776862012000,391643,,417584552,1681020919000,452.140625,90.59390852775158,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
415,SPRINGVALE NR WALKERS/SILVER,-37.819786,145.175764,488718913,39830392,109050,10905,2014-01-01 to 2026-04-07,"488,718,913 vehicle movements across 2014-01-01 to 2026-04-07; approximately 39,830,392 per year, 109,050 per day, and an indicative 10,905 vehicles in a major peak hour.",49\LP10994,2018749,LP10994,49,N,,A,60055503,305294300,G,A,https://mapshare.vic.gov.au/vicplan/,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-37.819786,145.175764",1167951,372,280640,N,,,,1299062153000,393516,746559099,5055503,,203789928,B,G,,415320059.0,1682833262000,2188.7265625,186.4989060264205,1846185,259176956,101,15,N,372,,,,,,,,,,,N,,,,,746483165,3061818,27295289,A,G,0.31,878994667000,,1068423334000,393516,,418714338,1682833094000,324.234375,107.805462947566,"Long-term SCATS traffic volume combined with nearby Vicmap parcel identifiers supports OOH screening: exposure strength, cadastral due diligence, VicPlan lookup, and Google Street View feasibility review."
