rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,ooh_exposure_score,research_interest_score,strategic_importance_score
4756,42119,0,2,2022-10,2023-10,0.0,0,2022-10,0,0.0,539020710239,100.0,Bottom 50%,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4669,-30260,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4668,-30197,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4670,5465,0,2,2022-10,2023-10,0.0,0,2022-10,0,0.0,539020710239,100.0,Bottom 50%,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4671,2884,0,13,2014-12,2023-10,0.0,0,2014-12,0,0.0,539020710239,100.0,Bottom 50%,13,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4673,2851,0,9,2014-12,2018-07,0.0,0,2014-12,0,0.0,539020710239,100.0,Bottom 50%,9,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4672,4312,0,88,2019-01,2026-04,0.0,0,2019-01,0,0.0,539020710239,100.0,Bottom 50%,88,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4706,13672,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4691,940,0,90,2018-07,2026-04,0.0,0,2018-07,0,0.0,539020710239,100.0,Bottom 50%,90,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4674,2844,0,7,2014-03,2023-10,0.0,0,2014-03,0,0.0,539020710239,100.0,Bottom 50%,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4675,4194,0,88,2019-01,2026-04,0.0,0,2019-01,0,0.0,539020710239,100.0,Bottom 50%,88,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4692,-30151,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4661,4099,0,11,2014-03,2023-10,0.0,0,2014-03,0,0.0,539020710239,100.0,Bottom 50%,11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4663,-30155,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4662,6234,0,7,2017-06,2023-10,0.0,0,2017-06,0,0.0,539020710239,100.0,Bottom 50%,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4728,3724,0,12,2014-12,2023-10,0.0,0,2014-12,0,0.0,539020710239,100.0,Bottom 50%,12,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4710,12177,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4664,-30156,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4681,-30122,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4709,13252,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4727,6674,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4693,632,0,89,2018-10,2026-04,0.0,0,2018-10,0,0.0,539020710239,100.0,Bottom 50%,89,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4707,13253,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
