rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,research_interest_score,strategic_importance_score
111,1197,339931084,147,2014-01,2026-04,2312456.35,4529531,2022-05,4529531,0.063065,45714337934,8.480998,Top 5%,147,339931084.0,2312456.353741497,1784642.0,1205108.1487210775,4529531.0,475328.0,0.5211376840783363,1.958753077726778,1288716.6666666667,3644420.5,2355703.833333333,182.79455013385407,Kororoit / Ferguson,KOROROIT/FERGUSON,-37.857814,144.888971,red,97.63593380614655,0.503976,"https://www.google.com/maps/search/?api=1&query=-37.857814,144.888971",97.6881042454813,5.6749785038692995,94.3250214961307,96.15384615384616,92.52095422308189,High-Volume Volatile Corridor,#d32f2f,74.37797119175127,95.27567535235814,78.4741650664293
851,1331,187089408,147,2014-01,2026-04,1272717.06,11736729,2022-05,11736729,0.034709,222755965123,41.326049,Top 25%,147,187089408.0,1272717.0612244897,872292.0,1244458.6937427316,11736729.0,291340.0,0.9777968188353109,9.221789632259673,719390.75,1460552.0833333333,741161.3333333333,103.02625288597793,Thompsons Road / Marriott Bivd / Missens Road,THOMPSONS RD/MARRIOTT BIVD/MISSENS RD,-38.079123,145.251125,orange,81.73221577476897,0.277375,"https://www.google.com/maps/search/?api=1&query=-38.079123,145.251125",82.13535098781001,1.741186586414445,98.25881341358556,93.2800345721694,98.86094992477972,Rising Growth Corridor,#2e7d32,64.265746604333,93.63080775268472,70.70397418826911
341,464,257202137,147,2014-01,2026-04,1749674.4,4672010,2025-09,4672010,0.047717,112610019766,20.891594,Top 10%,147,257202137.0,1749674.4013605441,1437348.0,756056.1885812968,4672010.0,393624.0,0.43211250504287463,2.670216810834663,1314699.1666666667,2918955.9166666665,1604256.7499999998,122.0246266731489,HIGH ST RD / STEPrinces Highway EastNSONS,HIGH ST RD/STEPHENSONS,-37.87009,145.130062,orange,92.69288630990758,0.381323,"https://www.google.com/maps/search/?api=1&query=-37.87009,145.130062",92.85414039512399,8.125537403267414,91.87446259673258,94.1875540190147,96.62583279604556,High-Volume Volatile Corridor,#d32f2f,71.93867237193798,93.47703111299245,76.0281508517721
823,4448,189912709,147,2014-01,2026-04,1291923.19,2718861,2025-07,2718861,0.035233,217488610731,40.348841,Top 25%,147,189912709.0,1291923.1904761905,912625.0,688185.221964932,2718861.0,447298.0,0.5326827686336938,2.1045066920718822,552596.4166666666,2101989.9166666665,1549393.5,280.3842828634581,Albert / Powlett,ALBERT/POWLETT,-37.810704,144.986159,orange,82.33397807865893,0.281561,"https://www.google.com/maps/search/?api=1&query=-37.810704,144.986159",82.72383354350568,5.43852106620808,94.56147893379192,96.91011235955057,94.00386847195358,Rising Growth Corridor,#2e7d32,66.23976118739026,92.81489831418651,71.87967361979807
1149,3252,160020797,147,2014-01,2026-04,1088576.85,2130922,2026-03,2130922,0.029687,274261512901,50.881443,Top 25%,147,160020797.0,1088576.850340136,1553731.0,810867.2732569466,2130922.0,2801.0,0.7448874858982932,1.957530145284803,140308.5,1889489.0,1749180.5,1246.6675219249012,MACEDON near EVANS,MACEDON NR EVANS,-37.576993,144.731711,yellow,75.32774554051149,0.237244,"https://www.google.com/maps/search/?api=1&query=-37.576993,144.731711",75.87221521647751,2.6010318142734357,97.39896818572656,98.29299913569577,92.49946271222868,Rising Growth Corridor,#2e7d32,62.03857614977015,92.62690105584284,68.93114826526771
769,4558,194897343,147,2014-01,2026-04,1325832.27,2299153,2025-01,2299153,0.036158,207088484060,38.419393,Top 25%,147,194897343.0,1325832.2653061224,1597196.0,766810.4689087602,2299153.0,333676.0,0.578361598955137,1.734120567256784,476471.75,2013407.5,1536935.75,322.56597584221936,Olympic Blvd(Swan) / Tram Access,OLYMPIC BLVD(SWAN)/TRAM ACCESS,-37.824342,144.986709,orange,83.49451966473244,0.288951,"https://www.google.com/maps/search/?api=1&query=-37.824342,144.986709",83.85876418663304,4.664660361134998,95.33533963886501,97.12618841832324,88.45905867182464,Rising Growth Corridor,#2e7d32,66.71372307659658,92.54583703720003,72.39491458570626
1150,3253,159922774,134,2015-02,2026-04,1193453.54,2134458,2019-10,2134458,0.029669,274421435675,50.911112,Top 25%,134,159922774.0,1193453.537313433,1612417.0,780929.5043831517,2134458.0,4569.0,0.6543442873704924,1.7884718032717466,34968.75,1652318.5833333333,1617349.8333333333,4625.1291033661,RIDDELL near HORNE,RIDDELL NR HORNE,-37.575338,144.728145,yellow,75.30625402965828,0.237099,"https://www.google.com/maps/search/?api=1&query=-37.575338,144.728145",75.85119798234552,3.5898538263112623,96.41014617368874,98.83318928262749,89.72705781216419,Rising Growth Corridor,#2e7d32,62.38226020339336,92.02280621387303,69.07916963989655
518,3705,224440053,119,2015-05,2026-04,1886050.87,5894351,2021-03,5894351,0.041638,154812090311,28.720991,Top 25%,119,224440053.0,1886050.8655462186,1456177.0,1347126.5059796465,5894351.0,0.0,0.7142577809477613,3.125234376058537,1035953.0,1455628.4166666667,419675.41666666674,40.51104795938298,Streetud / Mockridge,STUD / MOCKRIDGE,-37.885874,145.232878,orange,88.88888888888889,0.332751,"https://www.google.com/maps/search/?api=1&query=-37.885874,145.232878",89.13408995376209,2.8159931212381806,97.18400687876182,84.93949870354365,97.48549323017409,High-Volume Volatile Corridor,#d32f2f,66.71564749558743,91.94589399390826,72.23903987596357
304,2850,265046089,147,2014-01,2026-04,1803034.62,3165982,2024-03,3165982,0.049172,102952111757,19.099843,Top 10%,147,265046089.0,1803034.619047619,1596079.0,711303.2582853056,3165982.0,11227.0,0.3945033837791884,1.755918586672675,1186337.1666666667,2622420.8333333335,1436083.6666666667,121.05189882078211,Western Freeway / Robinsons On / Off Ramps,WESTERN FWY/ROBINSONS ON/OFF RAMPS,-37.794667,144.753019,orange,93.48807221147646,0.392953,"https://www.google.com/maps/search/?api=1&query=-37.794667,144.753019",93.63177805800757,9.845227858985384,90.15477214101462,94.12273120138289,89.01783795400817,High-Volume Volatile Corridor,#d32f2f,72.78333113692709,91.87002091447272,76.45110775932925
1797,6150,120028576,145,2014-01,2026-04,827783.28,2985597,2025-03,2985597,0.022268,364019262757,67.533446,Top 50%,145,120028576.0,827783.2827586207,688187.0,774338.2445404386,2985597.0,1209.0,0.9354359536712624,3.6067374905789102,4167.75,1349209.0,1345041.25,32272.5991242277,High / South,HIGH / SOUTH,-36.118641,146.889201,yellow,61.40124650762948,0.177952,"https://www.google.com/maps/search/?api=1&query=-36.118641,146.889201",62.253047498949144,1.8271711092003429,98.17282889079965,99.61106309420916,97.80786589297227,Rising Growth Corridor,#2e7d32,54.61818152056395,91.3655984237783,63.02744254882896
