rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,traffic_transformation_index,strategic_importance_score,label
2677,6827,84070411,147,2014-01,2026-04,571907.56,654810,2025-10,654810,0.015597,454043509886,84.234891,Bottom 50%,147,84070411.0,571907.5578231292,574754.0,58267.16179453751,654810.0,124583.0,0.10188213286832884,1.1449577664132033,564580.75,573195.4166666666,8614.666666666628,1.5258520002084073,Phw (Raglan Pde) / Morriss,PHW (RAGLAN PDE)/MORRISS,-38.366811,142.464042,green,42.48871695680207,0.124641,"https://www.google.com/maps/search/?api=1&query=-38.366811,142.464042",43.757881462799496,99.31212381771282,0.6878761822871883,54.53759723422644,4.814098431119708,Secondary Connector Corridor,#a1887f,59.80238520581321,26.075726891296302,50.56417229599071,6827 — PHW (RAGLAN PDE)/MORRISS
2620,5031,86388626,147,2014-01,2026-04,587677.73,724828,2025-10,724828,0.016027,449180369958,83.332674,Bottom 50%,147,86388626.0,587677.7278911564,587664.0,69347.20040161599,724828.0,133549.0,0.11800209044923982,1.2333766716002637,603892.25,630248.75,26356.5,4.364437530039506,Pioneer / Waurnvale S C West Ent,PIONEER/WAURNVALE S C WEST ENT,-38.197497,144.319321,green,43.7137330754352,0.128078,"https://www.google.com/maps/search/?api=1&query=-38.197497,144.319321",44.955863808322825,94.21754084264833,5.782459157351677,59.61538461538461,38.79217709004943,Secondary Connector Corridor,#a1887f,60.203187228316565,34.71847541486045,51.86409267895461,5031 — PIONEER/WAURNVALE S C WEST ENT
1242,3915,152934027,147,2014-01,2026-04,1040367.53,1518814,2025-10,1518814,0.028373,288788744954,53.576558,Top 50%,147,152934027.0,1040367.5306122449,1142840.0,328233.1429476283,1518814.0,36962.0,0.31549729618576877,1.4598821621299491,1060275.4166666667,1326174.0,265898.58333333326,25.078256003451926,Plenty / Streetagecoach,PLENTY/STAGECOACH,-37.64083,145.096213,yellow,73.32903503116269,0.226737,"https://www.google.com/maps/search/?api=1&query=-37.64083,145.096213",73.91761244220261,16.63800515907137,83.36199484092863,79.17026793431288,75.97249086610789,Unstable / Variable Site,#c2185b,60.648241719841856,79.10717469297559,64.92887944380732,3915 — PLENTY/STAGECOACH
1146,3784,160313238,147,2014-01,2026-04,1090566.24,1644003,2014-03,1644003,0.029742,273781208577,50.792336,Top 25%,147,160313238.0,1090566.2448979593,1248288.0,369484.4698840736,1644003.0,310422.0,0.33880057411702214,1.5074765129502279,1048792.75,1330329.8333333333,281537.08333333326,26.843919671768635,SYDNEY near STEWART,SYDNEY NR STEWART,-37.762844,144.962848,yellow,75.39222007307114,0.237678,"https://www.google.com/maps/search/?api=1&query=-37.762844,144.962848",75.93526691887348,14.380911435941535,85.61908856405847,80.29386343993086,79.32516655920911,Event / Disruption Sensitive Site,#f57c00,61.418397352351974,81.14066839705578,65.94868837327631,3784 — SYDNEY NR STEWART
1066,3976,167391012,147,2014-01,2026-04,1138714.37,1540308,2025-10,1540308,0.031055,260680161111,48.361808,Top 25%,147,167391012.0,1138714.3673469387,1248972.0,332570.4400236256,1540308.0,376.0,0.2920578237705676,1.3526728424343357,1185126.0833333333,1340914.5,155788.41666666674,13.145303175548207,Plenty / Old Plenty,PLENTY/OLD PLENTY,-37.646604,145.092895,yellow,77.11154094132817,0.248171,"https://www.google.com/maps/search/?api=1&query=-37.646604,145.092895",77.61664564943254,19.4969905417025,80.5030094582975,70.78651685393258,64.83988824414357,Unstable / Variable Site,#c2185b,61.72070611340004,74.66132073309193,65.05964344011629,3976 — PLENTY/OLD PLENTY
817,3345,190635570,147,2014-01,2026-04,1296840.61,6541703,2020-04,6541703,0.035367,216347729408,40.137183,Top 25%,147,190635570.0,1296840.612244898,1185618.0,702175.7766346681,6541703.0,328590.0,0.5414511004703698,5.044338477861188,1211922.3333333333,1465861.0833333333,253938.75,20.953384801611325,Grimshaw / Henry / The Circuit,GRIMSHAW/HENRY/THE CIRCUIT,-37.704362,145.10068,orange,82.4629271437782,0.282633,"https://www.google.com/maps/search/?api=1&query=-37.704362,145.10068",82.84993694829761,5.266552020636284,94.73344797936372,76.70700086430423,98.56006877283473,Event / Disruption Sensitive Site,#f57c00,62.22550349958361,87.52280475765329,67.88719940062659,3345 — GRIMSHAW/HENRY/THE CIRCUIT
941,5065,177651963,147,2014-01,2026-04,1208516.76,1524269,2024-08,1524269,0.032958,239183180436,44.373653,Top 25%,147,177651963.0,1208516.7551020407,1336357.0,337340.77698670595,1524269.0,0.0,0.27913620192896926,1.2612725422009552,1028572.75,1331735.6666666667,303162.91666666674,29.474134587628026,Corio-Waurn Ponds / Pioneer / South Valley,CORIO-WAURN PONDS/PIONEER/SOUTH VALLEY,-38.196891,144.318699,yellow,79.7979797979798,0.263384,"https://www.google.com/maps/search/?api=1&query=-38.196891,144.318699",80.24379991593106,21.367153912295787,78.63284608770421,81.00691443388072,47.5177304964539,Unstable / Variable Site,#c2185b,65.67726131861218,74.99999001851499,68.37945054455992,5065 — CORIO-WAURN PONDS/PIONEER/SOUTH VALLEY
256,2860,277945120,147,2014-01,2026-04,1890783.13,2398807,2023-08,2398807,0.051565,89878445485,16.674396,Top 10%,147,277945120.0,1890783.1292517006,2061576.0,394979.535376848,2398807.0,433894.0,0.20889732368892341,1.268684368338613,1442475.5833333333,2091875.0,649399.4166666667,45.019785719076594,Flemington / Western Link Off Rmp / Boundary,FLEMINGTON/WESTERN LINK OFF RMP/BOUNDARY,-37.78783,144.940511,orange,94.51966473243068,0.412077,"https://www.google.com/maps/search/?api=1&query=-37.78783,144.940511",94.64060529634301,34.995700773860705,65.0042992261393,85.99827139152983,49.47345798409628,Rising Growth Corridor,#2e7d32,78.0009123847598,74.90012590349075,76.53771170035337,2860 — FLEMINGTON/WESTERN LINK OFF RMP/BOUNDARY
143,185,323703233,147,2014-01,2026-04,2202062.81,3462746,2018-05,3462746,0.060054,56328951570,10.450239,Top 5%,147,323703233.0,2202062.8095238097,2398566.0,518233.8063853369,3462746.0,499408.0,0.23534015657682517,1.5725010136058788,1522752.25,2269433.5,746681.25,49.03497926205658,Princes Highway East / SPRINGVALE,PHE/SPRINGVALE,-37.933148,145.15674,red,96.94820545884376,0.479917,"https://www.google.com/maps/search/?api=1&query=-37.933148,145.15674",97.01555275325767,29.277730008598457,70.72226999140155,86.88418323249783,82.84977433913603,High-Volume Volatile Corridor,#d32f2f,78.0548231629409,82.64862616826183,77.49772188589544,185 — PHE/SPRINGVALE
96,408,351742972,147,2014-01,2026-04,2392809.33,3150431,2024-05,3150431,0.065256,40542695801,7.521547,Top 5%,147,351742972.0,2392809.3333333335,2603331.0,551265.0881436182,3150431.0,581705.0,0.23038404291731485,1.3166243361359895,1892809.5,2779355.5833333335,886546.0833333335,46.83757574829023,Springvale / The Glen Shopping,SPRINGVALE/THE GLEN SHOPPING,-37.877211,145.166319,red,97.95830646894476,0.521488,"https://www.google.com/maps/search/?api=1&query=-37.877211,145.166319",98.00336275746112,29.901117798796218,70.09888220120378,86.38720829732065,59.252095422308194,High-Volume Volatile Corridor,#d32f2f,78.65457062576681,78.93925812445598,77.87401079026145,408 — SPRINGVALE/THE GLEN SHOPPING
