traffic_archetype,sites,total_volume,avg_total_volume,avg_scale_score,avg_stability_score,avg_volatility_score,avg_growth_score,avg_ooh_exposure_score,avg_traffic_transformation_index,avg_strategic_importance_score,traffic_share_pct,colour,description,order
Metropolitan Backbone,278,84702133430,304683933.20143884,95.0127917842271,82.72144107585814,17.27855892414186,40.196287222598755,80.9766531948092,40.398985093709264,69.93108580121485,15.714077737837448,#7b1fa2,"Highest-scale, structurally important, stable high-volume corridors.",0
Reliable Exposure Corridor,203,38725915992,190768059.07389164,82.73822465456156,90.00980562415022,9.990194375849786,46.19546474447675,77.24756791494177,36.48231010099049,65.97178432465557,7.184495002952494,#1565c0,High-volume and stable corridors with strong persistent exposure value.,1
Mature Urban Arterial,559,108940696856,194884967.54203936,81.43204440163295,64.92223707424971,35.077762925750285,41.40419288054511,69.29902226556959,46.839724952388934,63.17137041055634,20.21085549898371,#795548,Large established roads with mature traffic demand and moderate change.,2
Balanced Metropolitan Site,1132,141426734853,124935278.13869257,60.920179812463886,62.48701117191132,37.51298882808869,43.515007742089175,57.83085323825081,44.822731211711535,54.241433022622154,26.237718174185154,#8d6e63,Typical mixed urban traffic sites with no single extreme behaviour.,3
Secondary Connector Corridor,916,51330232404,56037371.62008733,29.219095029102903,51.89517961002827,48.10482038997173,44.86824078232743,38.01794532497915,42.95238192282665,39.71699990006321,9.522868310800218,#a1887f,Mid-scale connector roads linking local and arterial traffic systems.,4
Rising Growth Corridor,134,20995927480,156686025.97014925,73.4141398932199,22.340415292411546,77.65958470758846,90.89384537984236,64.14164984034231,80.69019531528367,67.33215279253801,3.8951986595636514,#2e7d32,High or mid-scale corridors showing strong long-term growth.,5
Emerging Local Growth Site,309,12910508801,41781581.8802589,22.176718890072383,26.614296805215837,73.38570319478416,88.01714902674867,36.45419939619351,66.04883210525159,43.9136681461431,2.3951786185127326,#43a047,Lower-scale sites with unusually strong growth signals.,6
High-Volume Volatile Corridor,108,29652651328,274561586.3703704,92.32364983731104,19.965526575586765,80.03447342441324,56.38244662121066,67.0458783786599,74.82492387831746,68.82040807981144,5.501208165981621,#d32f2f,Major sites with both high volume and high month-to-month variability.,7
Event / Disruption Sensitive Site,496,21039887911,42419128.85282258,22.92141249372873,6.320425831414862,93.67957416858513,58.69747522095519,25.926378373595554,68.67266650260451,37.37015195793971,3.9033542703156963,#f57c00,Sites with strong spike behaviour and unusually high volatility.,8
Unstable / Variable Site,355,21362184912,60175168.76619718,31.615426057818116,18.037312438690613,81.9626875613094,45.436564938463974,30.985125429165414,58.42097372697132,39.21612033564548,3.963147334826537,#c2185b,Sites with high variability but lower overall strategic scale.,9
Stable Low-Volume Local Site,268,7933836272,29603866.686567165,15.821585640523738,91.06996188447273,8.930038115527264,24.941062836207898,36.45757514064782,16.230589709328232,31.6614241997009,1.471898226040733,#607d8b,"Low-volume sites with stable, predictable local traffic patterns.",10
