month_label,month_start,next_month_start,month_total_volume,month_weekday_volume,month_weekend_volume,month_weekday_days,month_weekend_days,month_elapsed_seconds,completed_at_epoch,row_type
2014-01,2014-01-01,2014-02-01,3135106330,2431732830,703373500,23,8,489.185,1778017073.883,weekday_weekend_month_total
2014-02,2014-02-01,2014-03-01,3163908323,2397402603,766505720,20,8,652.353,1778017948.299,weekday_weekend_month_total
2014-03,2014-03-01,2014-04-01,3465584673,2488920605,976664068,21,10,752.324,1778018802.338,weekday_weekend_month_total
2014-04,2014-04-01,2014-05-01,3185110879,2448530889,736579990,22,8,663.697,1778019572.887,weekday_weekend_month_total
2014-05,2014-05-01,2014-06-01,3493864171,2608549440,885314731,22,9,684.855,1778020364.871,weekday_weekend_month_total
2014-06,2014-06-01,2014-07-01,3205298805,2378008784,827290021,21,9,674.189,1778021143.855,weekday_weekend_month_total
2014-07,2014-07-01,2014-08-01,3380496755,2636747596,743749159,23,8,698.826,1778021948.834,weekday_weekend_month_total
2014-08,2014-08-01,2014-09-01,3438065829,2468846160,969219669,21,10,683.257,1778022739.062,weekday_weekend_month_total
2014-09,2014-09-01,2014-10-01,3341624965,2573962941,767662024,22,8,657.988,1778023505.386,weekday_weekend_month_total
2014-10,2014-10-01,2014-11-01,3560279625,2767728086,792551539,23,8,659.89,1778024272.222,weekday_weekend_month_total
2014-11,2014-11-01,2014-12-01,3408259338,2415111366,993147972,20,10,657.773,1778025034.228,weekday_weekend_month_total
2014-12,2014-12-01,2015-01-01,3452827742,2665987627,786840115,23,8,655.133,1778025788.045,weekday_weekend_month_total
2015-01,2015-01-01,2015-02-01,3176402739,2364103820,812298919,22,9,642.803,1778026533.112,weekday_weekend_month_total
2015-02,2015-02-01,2015-03-01,3232040831,2433984483,798056348,20,8,626.505,1778027264.091,weekday_weekend_month_total
2015-03,2015-03-01,2015-04-01,3436425583,2535876652,900548931,21,9,659.586,1778028034.244,weekday_weekend_month_total
2015-04,2015-04-01,2015-05-01,3316264247,2568131250,748132997,22,8,664.652,1778028805.824,weekday_weekend_month_total
2015-05,2015-05-01,2015-06-01,3523217182,2521456609,1001760573,21,10,655.897,1778029562.649,weekday_weekend_month_total
2015-06,2015-06-01,2015-07-01,3314160485,2539698769,774461716,22,8,632.247,1778030296.822,weekday_weekend_month_total
2015-07,2015-07-01,2015-08-01,3457636675,2701714662,755922013,23,8,683.147,1778031096.728,weekday_weekend_month_total
2015-08,2015-08-01,2015-09-01,3497577936,2510886844,986691092,21,10,652.967,1778031865.358,weekday_weekend_month_total
2015-09,2015-09-01,2015-10-01,3428209933,2631266862,796943071,22,8,767.895,1778032738.622,weekday_weekend_month_total
2015-10,2015-10-01,2015-11-01,3599947921,2703517765,896430156,22,9,669.269,1778033514.782,weekday_weekend_month_total
2015-11,2015-11-01,2015-12-01,3439546450,2522430050,917116400,21,9,643.481,1778034261.92,weekday_weekend_month_total
2015-12,2015-12-01,2016-01-01,3520512452,2725709381,794803071,23,8,805.395,1778035166.247,weekday_weekend_month_total
2016-01,2016-01-01,2016-02-01,3229608651,2307742054,921866597,21,10,737.861,1778036007.801,weekday_weekend_month_total
2016-02,2016-02-01,2016-03-01,3453808302,2620351593,833456709,21,8,736.028,1778036849.199,weekday_weekend_month_total
2016-03,2016-03-01,2016-04-01,3553086995,2764179899,788907096,23,8,730.726,1778037683.131,weekday_weekend_month_total
2016-04,2016-04-01,2016-05-01,3496621416,2572771198,923850218,21,9,785.306,1778038570.549,weekday_weekend_month_total
2016-05,2016-05-01,2016-06-01,3639479964,2719864473,919615491,22,9,772.399,1778039448.165,weekday_weekend_month_total
2016-06,2016-06-01,2016-07-01,3436802887,2645164197,791638690,22,8,668.238,1778040221.276,weekday_weekend_month_total
2016-07,2016-07-01,2016-08-01,3582237904,2573072129,1009165775,21,10,645.684,1778040969.306,weekday_weekend_month_total
2016-08,2016-08-01,2016-09-01,3686630618,2859414851,827215767,23,8,678.018,1778041747.73,weekday_weekend_month_total
2016-09,2016-09-01,2016-10-01,3514136708,2697007275,817129433,22,8,613.104,1778042463.009,weekday_weekend_month_total
2016-10,2016-10-01,2016-11-01,3681720111,2674146908,1007573203,21,10,640.699,1778043205.591,weekday_weekend_month_total
2016-11,2016-11-01,2016-12-01,3682971216,2820874500,862096716,22,8,641.55,1778043950.435,weekday_weekend_month_total
2016-12,2016-12-01,2017-01-01,3648283824,2716549814,931734010,22,9,621.195,1778044672.395,weekday_weekend_month_total
2017-01,2017-01-01,2017-02-01,3376836301,2524168790,852667511,22,9,604.776,1778045377.019,weekday_weekend_month_total
2017-02,2017-02-01,2017-03-01,3431302811,2583520740,847782071,20,8,668.877,1778046148.582,weekday_weekend_month_total
2017-03,2017-03-01,2017-04-01,3821955946,2969918756,852037190,23,8,598.681,1778046843.899,weekday_weekend_month_total
2017-04,2017-04-01,2017-05-01,3408210727,2398173752,1010036975,20,10,610.662,1778047553.276,weekday_weekend_month_total
2017-05,2017-05-01,2017-06-01,3756242112,2910063340,846178772,23,8,627.315,1778048280.854,weekday_weekend_month_total
2017-06,2017-06-01,2017-07-01,3540040727,2717555025,822485702,22,8,706.607,1778049089.996,weekday_weekend_month_total
2017-07,2017-07-01,2017-08-01,3473856532,2459337064,1014519468,20,10,619.042,1778049821.221,weekday_weekend_month_total
2017-08,2017-08-01,2017-09-01,3731810338,2899467211,832343127,23,8,690.193,1778050612.505,weekday_weekend_month_total
2017-09,2017-09-01,2017-10-01,3543109329,2619422000,923687329,21,9,640.732,1778051355.92,weekday_weekend_month_total
2017-10,2017-10-01,2017-11-01,3772673180,2827803198,944869982,22,9,635.21,1778052093.826,weekday_weekend_month_total
2017-11,2017-11-01,2017-12-01,3725865164,2859537822,866327342,22,8,727.181,1778052918.682,weekday_weekend_month_total
2017-12,2017-12-01,2018-01-01,3679149260,2635232900,1043916360,21,10,743.467,1778053764.716,weekday_weekend_month_total
2018-01,2018-01-01,2018-02-01,3447376750,2681844511,765532239,23,8,814.822,1778054699.899,weekday_weekend_month_total
2018-02,2018-02-01,2018-03-01,3519395584,2651634123,867761461,20,8,776.983,1778055601.267,weekday_weekend_month_total
2018-03,2018-03-01,2018-04-01,3796169426,2841795412,954374014,22,9,785.282,1778056504.387,weekday_weekend_month_total
2018-04,2018-04-01,2018-05-01,3543308072,2615472643,927835429,21,9,744.841,1778057366.443,weekday_weekend_month_total
2018-05,2018-05-01,2018-06-01,3786980758,2934091303,852889455,23,8,805.311,1778058287.304,weekday_weekend_month_total
2018-06,2018-06-01,2018-07-01,3544747568,2620073342,924674226,21,9,745.334,1778059149.963,weekday_weekend_month_total
2018-07,2018-07-01,2018-08-01,3647632727,2733347008,914285719,22,9,1071.185,1778060335.486,weekday_weekend_month_total
2018-08,2018-08-01,2018-09-01,3796160085,2955424575,840735510,23,8,774.539,1778061231.489,weekday_weekend_month_total
2018-09,2018-09-01,2018-10-01,3542539283,2521557646,1020981637,20,10,784.368,1778062136.787,weekday_weekend_month_total
2018-10,2018-10-01,2018-11-01,3843850831,2981917055,861933776,23,8,738.867,1778062995.037,weekday_weekend_month_total
2018-11,2018-11-01,2018-12-01,3745217547,2878797021,866420526,22,8,770.272,1778063881.504,weekday_weekend_month_total
2018-12,2018-12-01,2019-01-01,,,,,,0.343,1778063996.133,zero_row_month
2019-01,2019-01-01,2019-02-01,3481934922,2691102023,790832899,23,8,718.706,1778064808.526,weekday_weekend_month_total
2019-02,2019-02-01,2019-03-01,3537567800,2664266970,873300830,20,8,891.403,1778065814.007,weekday_weekend_month_total
2019-03,2019-03-01,2019-04-01,3867309544,2783398845,1083910699,21,10,721.736,1778066647.929,weekday_weekend_month_total
2019-04,2019-04-01,2019-05-01,3562539050,2732192696,830346354,22,8,872.156,1778067635.461,weekday_weekend_month_total
2019-05,2019-05-01,2019-06-01,3896132153,3020500708,875631445,23,8,783.706,1778068531.598,weekday_weekend_month_total
2019-06,2019-06-01,2019-07-01,3606479411,2553099827,1053379584,20,10,747.483,1778069392.89,weekday_weekend_month_total
2019-07,2019-07-01,2019-08-01,3827688501,2973197557,854490944,23,8,792.908,1778070299.389,weekday_weekend_month_total
2019-08,2019-08-01,2019-09-01,4038680009,3009766493,1028913516,22,9,876.892,1778071294.796,weekday_weekend_month_total
2019-09,2019-09-01,2019-10-01,3794136310,2821516157,972620153,21,9,941.863,1778072364.529,weekday_weekend_month_total
2019-10,2019-10-01,2019-11-01,4124136444,3205545805,918590639,23,8,918.41,1778073410.022,weekday_weekend_month_total
2019-11,2019-11-01,2019-12-01,3971414689,2922678852,1048735837,21,9,885.455,1778074423.567,weekday_weekend_month_total
2019-12,2019-12-01,2020-01-01,3766444731,2771141114,995303617,21,9,860.43,1778075410.934,weekday_weekend_month_total
2020-01,2020-01-01,2020-02-01,3723205203,2886029643,837175560,23,8,873.262,1778076407.504,weekday_weekend_month_total
2020-02,2020-02-01,2020-03-01,3835818599,2794115206,1041703393,20,9,880.767,1778077415.612,weekday_weekend_month_total
2020-03,2020-03-01,2020-04-01,3544940848,2691926775,853014073,22,9,939.892,1778078478.085,weekday_weekend_month_total
2020-04,2020-04-01,2020-05-01,2226937680,1773863915,453073765,21,8,945.453,1778079547.316,weekday_weekend_month_total
2020-05,2020-05-01,2020-06-01,2973651861,2170418235,803233626,21,10,864.409,1778080534.108,weekday_weekend_month_total
2020-06,2020-06-01,2020-07-01,3190267210,2443118858,747148352,21,8,995.448,1778081656.049,weekday_weekend_month_total
2020-07,2020-07-01,2020-08-01,2892506105,2347995845,544510260,23,8,944.436,1778082726.779,weekday_weekend_month_total
2020-08,2020-08-01,2020-09-01,2027518150,1523160829,504357321,20,10,939.387,1778083797.425,weekday_weekend_month_total
2020-09,2020-09-01,2020-10-01,2187779825,1747414142,440365683,21,8,913.9,1778084838.82,weekday_weekend_month_total
2020-10,2020-10-01,2020-11-01,2921382593,2288883147,632499446,22,9,870.308,1778085832.949,weekday_weekend_month_total
2020-11,2020-11-01,2020-12-01,3624014539,2680941787,943072752,21,9,842.322,1778086801.677,weekday_weekend_month_total
2020-12,2020-12-01,2021-01-01,3856204558,2975737365,880467193,23,8,941.875,1778087869.572,weekday_weekend_month_total
2021-01,2021-01-01,2021-02-01,3549955669,2512416920,1037538749,21,10,922.344,1778088916.094,weekday_weekend_month_total
2021-02,2021-02-01,2021-03-01,3351830231,2558563699,793266532,20,8,973.27,1778090011.745,weekday_weekend_month_total
2021-03,2021-03-01,2021-04-01,4019550991,3110210071,909340920,23,8,956.574,1778091090.628,weekday_weekend_month_total
2021-04,2021-04-01,2021-05-01,3756998819,2889065210,867933609,22,8,945.453,1778092159.474,weekday_weekend_month_total
2021-05,2021-05-01,2021-06-01,3792348398,2749535748,1042812650,21,10,835.648,1778093117.616,weekday_weekend_month_total
2021-06,2021-06-01,2021-07-01,3261718590,2499706799,762011791,22,8,942.943,1778094183.969,weekday_weekend_month_total
2021-07,2021-07-01,2021-08-01,3381040033,2592238423,788801610,22,9,4531.023,1778098843.081,weekday_weekend_month_total
2021-08,2021-08-01,2021-09-01,2818955482,2219486270,599469212,22,9,803.346,1778099815.245,weekday_weekend_month_total
