file,name,rows_estimate,usefulness_score_0_to_3,has_day_column,has_time_column,has_volume_column,columns,error
A:\TrafficAnalytics\PROJECTS\reports\deduped\all_scats_sites_map_data_audit.csv,all_scats_sites_map_data_audit.csv,4653,1,False,False,True,rank | site_id | friendly_name | site_name | site_name_from_volume_csv | signal_type | municipality | total_cleaned_volume | latitude | longitude | has_coordinates | percentile_rank | traffic_band | volume_ratio | lookup_source | google_maps_url,
A:\TrafficAnalytics\PROJECTS\reports\deduped\busiestSCATSsitesCOORDINATES.csv,busiestSCATSsitesCOORDINATES.csv,97,0,False,False,False,SCATS Site | Name | Latitude | Longitude,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\busiest_day_by_year.csv,busiest_day_by_year.csv,13,2,True,False,True,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch | volume | year | date_label,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\monthly_seasonality_average.csv,monthly_seasonality_average.csv,12,1,False,False,True,month_of_year | volume | month_name,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\monthly_totals_cleaned_for_charts.csv,monthly_totals_cleaned_for_charts.csv,148,1,False,False,True,month_label | month | year | volume | volume_for_chart | is_known_data_gap | is_zero_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\processing_time_summary.csv,processing_time_summary.csv,6,1,False,False,True,source | total_hours | months_or_batches,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\site_totals_from_monthly.csv,site_totals_from_monthly.csv,4758,1,False,False,True,site | volume | site_name | latitude | longitude | lookup_source,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\time_bin_behaviour\time_bin_behaviour_metrics.csv,time_bin_behaviour_metrics.csv,66,0,False,False,False,metric | value,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\time_bin_behaviour_v2\time_bin_behaviour_metrics.csv,time_bin_behaviour_metrics.csv,66,0,False,False,False,metric | value,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\time_bin_profile\time_bin_profile_aggregated_96_bins.csv,time_bin_profile_aggregated_96_bins.csv,96,2,False,True,True,time_bin | total_volume | minutes | avg_daily_volume | period | period_colour,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\time_bin_profile_aggregated.csv,time_bin_profile_aggregated.csv,96,2,False,True,True,time_bin | total_volume | distinct_dates | avg_daily_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\top_20_busiest_scats_sites_named.csv,top_20_busiest_scats_sites_named.csv,20,1,False,False,True,site | volume | site_name | latitude | longitude | lookup_source,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\top_50_busiest_days.csv,top_50_busiest_days.csv,50,2,True,False,True,count_date | volume | date_label | day_name,
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\yearly_growth_from_monthly.csv,yearly_growth_from_monthly.csv,12,1,False,False,True,year | volume | yoy_pct_change,
