file,name,rows_estimate,usefulness_score_0_to_3,has_day_column,has_time_column,has_volume_column,columns,error
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_7days_2024-05-13_to_2024-05-19.csv,2791814,3,True,True,True,timestamp | date_label | day_name | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_city_pulse\kepler_city_pulse_2024-05-13_to_2024-05-19.csv,kepler_city_pulse_2024-05-13_to_2024-05-19.csv,2791814,3,True,True,True,timestamp | date_label | day_name | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,kepler_never_sleeps_2024-05-13_to_2024-05-19_0000_0500.csv,576826,3,True,True,True,timestamp | date_label | day_name | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band | animation_theme,
A:\TrafficAnalytics\PROJECTS\reports\deduped\time_bin_profile.csv,time_bin_profile.csv,14113,3,True,True,True,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | days_in_month_loaded | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\time_bin_profile.csv,time_bin_profile.csv,10273,3,True,True,True,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | days_in_month_loaded | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\kepler_covid_collapse_recovery_comparison_days.csv,kepler_covid_collapse_recovery_comparison_days.csv,2292483,2,False,True,True,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_05_2025-12-12_busiest_day_detected.csv,chunk_05_2025-12-12_busiest_day_detected.csv,404778,2,False,True,True,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_04_2024-05-15_recent_normal.csv,chunk_04_2024-05-15_recent_normal.csv,398740,2,False,True,True,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_city_pulse\kepler_city_pulse_2024-05-15.csv,kepler_city_pulse_2024-05-15.csv,398740,2,False,True,True,timestamp | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_03_2022-05-18_recovery_phase.csv,chunk_03_2022-05-18_recovery_phase.csv,384127,2,False,True,True,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
