month_label,month_start,next_month_start,year,month_total_volume,days_loaded,avg_daily_volume,month_elapsed_seconds,completed_at_epoch,row_type
2014-01,2014-01-01,2014-02-01,2014,3135106330,31,101132462.25806452,669.027,1778451713.796,yearly_month_total
2014-02,2014-02-01,2014-03-01,2014,3163908323,28,112996725.82142857,682.051,1778452475.65,yearly_month_total
2014-03,2014-03-01,2014-04-01,2014,3465584673,31,111793053.96774194,722.167,1778453271.055,yearly_month_total
2014-04,2014-04-01,2014-05-01,2014,3185110879,30,106170362.63333334,727.346,1778454072.189,yearly_month_total
2014-05,2014-05-01,2014-06-01,2014,3493864171,31,112705295.83870968,707.716,1778454853.111,yearly_month_total
2014-06,2014-06-01,2014-07-01,2014,3205298805,30,106843293.5,720.451,1778455648.853,yearly_month_total
2014-07,2014-07-01,2014-08-01,2014,3380496755,31,109048282.41935484,691.65,1778456412.045,yearly_month_total
2014-08,2014-08-01,2014-09-01,2014,3438065829,31,110905349.32258065,714.244,1778457201.805,yearly_month_total
2014-09,2014-09-01,2014-10-01,2014,3341624965,30,111387498.83333333,692.165,1778457973.567,yearly_month_total
2014-10,2014-10-01,2014-11-01,2014,3560279625,31,114847729.83870968,676.542,1778458722.586,yearly_month_total
2014-11,2014-11-01,2014-12-01,2014,3408259338,30,113608644.6,677.219,1778459473.57,yearly_month_total
2014-12,2014-12-01,2015-01-01,2014,3452827742,31,111381540.06451613,669.39,1778460216.028,yearly_month_total
2015-01,2015-01-01,2015-02-01,2015,3176402739,31,102464604.48387097,677.205,1778460965.262,yearly_month_total
2015-02,2015-02-01,2015-03-01,2015,3232040831,28,115430029.67857143,645.519,1778461683.07,yearly_month_total
2015-03,2015-03-01,2015-04-01,2015,3436425583,30,114547519.43333334,717.117,1778462473.423,yearly_month_total
2015-04,2015-04-01,2015-05-01,2015,3316264247,30,110542141.56666666,724.698,1778463280.79,yearly_month_total
2015-05,2015-05-01,2015-06-01,2015,3523217182,31,113652167.16129032,720.54,1778464077.219,yearly_month_total
