scats_site,total_volume
4415,384574564
2404,333518405
3380,330246268
2487,317622238
3386,316564578
1359,309553990
849,304789079
3519,302839785
2405,300114116
855,298298601
416,296176405
2438,295522465
3357,287336141
415,285429299
414,281762966
3060,281414676
2101,278099081
3516,277056960
2816,274637327
2929,270876480
3360,266267462
2326,263954802
2420,262096999
2403,261199446
3385,260482525
3052,258705325
538,255254963
2329,253754850
3393,252717924
3381,252327867
2316,249473201
2985,246159214
3059,241513050
2833,241176771
2173,240934015
2315,235951813
3383,235789953
3735,235530626
3382,234824553
948,234368736
2100,234304543
2628,233899631
117,233609066
725,231461513
2337,230985875
2827,230602226
2416,229714619
2701,229467760
3384,229422043
3376,228581825
2899,226266509
4742,226196871
2425,223703600
2103,222954257
3390,221058276
999,220654619
814,220638326
3392,220435875
4155,220402115
429,219553929
2020,218702308
1156,218363347
3681,218161469
1144,218113176
2406,217843347
4187,217829575
4381,217781549
2407,216463271
4169,216207854
4461,215838696
4562,215287825
3671,214906683
3706,214816647
195,214238494
2412,213500276
2918,212614615
4711,212578352
2172,212233492
2104,211928868
3389,211424247
2756,211239264
2613,210986905
2336,210897596
2157,210051156
3056,209156291
2421,208982673
3151,208916361
4902,208847501
4035,208795235
2614,208261130
5003,207128809
2409,206230462
2868,205864251
3361,204935874
3022,204453564
202,203000345
2430,202958299
417,202677598
2880,202645508
2408,202336892
