scats_site,total_volume
4312,0
673,0
2851,0
6234,0
625,0
632,0
1328,0
688,0
6703,0
4860,0
486,0
6978,0
477,0
3932,0
470,0
2844,0
4194,0
5152,0
2233,0
1996,0
940,0
797,0
3517,0
5337,0
9263,0
7538,0
4099,0
2165,0
772,0
2,0
4958,0
3724,0
3866,0
2836,0
2470,0
4195,0
2884,0
3723,0
4941,0
4157,0
4127,2
468,2
471,2
4100,2
3140,2
350,2
4673,2
452,4
4663,4
475,5
485,5
4619,10
3103,14
3847,14
580,16
3029,20
1709,20
4708,20
3100,20
3512,25
4623,28
5183,37
4693,38
4642,40
3958,40
4069,41
484,42
4714,50
3430,53
4631,124
4058,128
3630,146
4683,149
2051,189
3031,195
6266,229
462,266
2066,298
6633,309
4056,378
2977,558
684,668
872,1046
526,1409
3038,1600
2689,2211
7050,2581
4508,2882
1756,2935
1110,2985
5855,3006
1543,3026
4316,3194
2777,3351
1538,3633
3978,4596
1574,4793
3944,5232
7230,6028
3359,6505
