count_date,total_volume
2019-12-13,151916062
2019-11-29,151706950
2019-12-19,151646758
2021-02-12,151500359
2019-12-06,151430915
2019-11-22,151248598
2021-04-01,148831647
2020-12-18,148658715
2019-11-15,148301692
2019-12-05,147265752
2020-12-11,147125277
2020-02-21,147072534
2021-05-07,146930608
2020-02-28,146395684
2019-10-18,146353863
2019-11-28,146353603
2019-10-25,146260241
2020-02-14,146063259
2020-02-07,146038551
2019-12-11,145894828
2019-10-11,145839873
2021-04-30,145687304
2021-03-26,145682907
2019-11-01,145641926
2020-03-06,145501925
2021-05-21,145252496
2021-03-19,145205808
2019-08-30,145003631
2021-02-26,144967138
2021-03-12,144958477
2019-12-18,144920989
2020-12-04,144827961
2019-12-17,144580387
2021-03-05,144544239
2020-11-27,144532425
2019-11-20,144407709
2019-11-14,144386568
2019-11-08,144344458
2019-08-23,144302239
2019-12-04,144297888
2021-04-23,144288293
2020-02-13,144254284
2019-10-31,144105572
2021-02-19,143966006
2019-09-13,143910008
2019-10-24,143905446
2019-11-27,143828525
2020-12-17,143610808
2019-12-10,143568050
2021-05-14,143398674
2017-12-15,143180251
2020-02-27,142736443
2020-03-12,142605327
2019-08-02,142472323
2020-03-13,142265481
2019-09-20,142175737
2019-08-16,142174555
2019-10-10,142157329
2019-09-06,141999275
2017-12-08,141993451
2020-02-06,141953731
2021-03-31,141889269
2019-12-20,141631991
2019-10-30,141627036
2020-01-24,141624908
2019-09-26,141507276
2020-03-04,141464014
2019-07-26,141453277
2019-11-13,141407470
2019-10-17,141368328
2019-10-23,141283238
2020-12-16,141272811
2020-03-05,141207709
2021-04-29,141011664
2020-12-10,141002415
2021-05-06,140942070
2019-10-04,140873782
2018-03-29,140808201
2019-11-21,140750290
2020-12-23,140691173
2020-02-12,140645677
2019-12-16,140539224
2019-11-19,140471476
2017-11-24,140449646
2019-11-07,140413383
2020-03-11,140403413
2019-09-19,140378588
2019-12-03,140221266
2021-02-18,140211032
2021-03-18,140207027
2021-04-16,140121513
2020-02-26,140059374
2019-03-08,140051513
2021-03-25,140041019
2019-08-22,140018399
2021-03-04,139938190
2020-11-20,139865855
2019-03-15,139847046
2021-05-27,139742070
2019-09-12,139727543
