count_date,total_volume
2015-12-19,10343465
2015-12-31,32595269
2020-08-09,37292786
2020-08-16,39706127
2020-04-10,40210106
2020-08-23,41090426
2020-04-12,41621250
2020-08-30,43273397
2021-02-14,45418017
2020-08-08,45858809
2021-05-30,46547102
2020-09-13,47446308
2020-09-06,47577686
2020-04-13,48447058
2020-04-05,49935958
2020-08-22,50414656
2020-09-20,50926545
2021-02-13,51173714
2020-09-27,51708579
2020-08-15,51850363
2020-04-19,53631464
2020-10-04,54186909
2020-07-19,54585425
2020-07-26,54734368
2020-03-29,54876049
2020-07-12,55025136
2021-05-29,55061324
2020-09-12,55839492
2020-04-26,57217917
2020-08-29,57498297
2021-06-06,57559667
2020-10-18,57589324
2020-10-11,57814458
2020-04-11,57837882
2020-09-05,60030915
2020-05-03,60219731
2020-04-04,62852101
2020-09-26,62879961
2020-08-02,62906083
2020-09-19,63956197
2014-01-01,64443470
2020-04-18,64956351
2020-04-25,65020842
2020-05-10,65718958
2020-10-17,67250834
2015-11-30,67984812
2020-07-11,68873150
2020-08-10,69066317
2020-10-25,69339801
2014-04-18,69413116
2015-01-01,69823222
2020-08-17,70333919
2020-10-03,70571305
2020-08-11,70689930
2020-08-06,70848003
2021-06-05,71357227
2021-02-15,71395034
2020-07-25,71508285
2016-01-01,72013236
2020-08-12,72215326
2020-07-18,72513525
2020-10-10,72547903
2014-12-25,72594446
2020-08-24,72743985
2020-08-18,72982372
2020-05-02,73142076
2020-08-19,73344524
2020-03-28,73371915
2020-08-13,73393523
2021-02-16,73879561
2020-08-31,74022498
2014-04-21,74286089
2015-04-03,74311088
2020-08-01,74466377
2020-08-20,74876462
2020-07-05,74882216
2015-12-25,74926405
2020-08-25,74927084
2017-01-01,75428562
2015-01-03,75563421
2017-12-25,75734565
2014-04-20,76033919
2016-03-25,76137790
2018-01-01,76142988
2020-09-07,76351962
2020-08-14,76633205
2014-01-05,76796379
2014-06-09,76816513
2017-01-02,76872651
2020-08-27,77042441
2020-08-26,77098933
2016-12-25,77240170
2017-04-14,77412972
2020-09-08,77435657
2021-02-17,77478169
2020-09-01,77530028
2019-01-01,77784941
2015-06-08,78002367
2014-01-27,78011431
2020-05-17,78233681
