scats_site,max_15m_volume
3668,1265
4677,1265
1139,1216
2824,1145
2822,1137
3034,1016
641,1016
607,1016
4112,1016
5284,1016
748,1014
849,1012
3339,1012
2306,1012
5253,1012
4742,1012
2053,1012
283,1012
345,1012
4777,1012
4691,1012
4075,1012
4243,1012
3817,1012
2420,1012
6413,1012
364,1012
2159,1012
2508,1012
5133,1012
6279,1012
777,1012
3312,1012
4902,1012
3026,1012
1427,1012
2898,1012
4744,1012
2438,1012
3220,1012
4410,1012
3128,1012
4889,1012
2507,1011
2162,1010
2842,1006
815,1002
4566,993
4368,992
5261,992
4930,988
3230,985
860,984
3419,983
2829,979
4774,976
5279,975
2201,973
2149,972
3511,968
1038,967
4346,966
3360,959
3232,951
4850,950
4216,949
4074,948
2333,948
4686,926
4832,910
5657,901
4737,895
2629,892
2204,887
4772,882
212,881
1108,874
4552,870
847,863
4933,862
3426,845
674,845
243,823
291,821
3129,818
2579,813
2011,806
681,803
4927,802
3667,802
4037,794
1052,793
4773,791
2347,786
2892,779
3620,777
424,775
3807,770
4035,767
187,763
