scats_site,min_nonzero_15m_volume
6094,1
6120,1
6400,1
6444,1
161,1
163,1
361,1
420,1
423,1
424,1
463,1
483,1
487,1
1103,1
2000,1
2013,1
3928,1
173,1
178,1
265,1
384,1
459,1
499,1
610,1
785,1
789,1
801,1
1355,1
105,1
115,1
116,1
2209,1
3925,1
6265,1
3092,1
4070,1
4092,1
4097,1
2107,1
3115,1
3302,1
4019,1
4423,1
4424,1
4461,1
4681,1
3947,1
4384,1
4391,1
4392,1
4518,1
136,1
144,1
155,1
367,1
372,1
375,1
551,1
775,1
814,1
855,1
858,1
3095,1
988,1
3252,1
5045,1
5270,1
6810,1
333,1
685,1
703,1
1367,1
4064,1
2158,1
2179,1
2868,1
2869,1
3612,1
3646,1
4651,1
2584,1
2715,1
2716,1
2732,1
3516,1
3641,1
4191,1
4197,1
501,1
1244,1
1298,1
1508,1
214,1
226,1
258,1
274,1
507,1
514,1
742,1
748,1
