scats_site,first_year,first_year_volume,last_year,last_year_volume,absolute_change,pct_change
3705,2015,0,2021,34628451,34628451,
3253,2015,393820,2021,11989570,11595750,2944.43
3535,2015,1225299,2021,12420606,11195307,913.68
5154,2014,0,2021,10787247,10787247,
1426,2018,0,2021,10544330,10544330,
2063,2017,531329,2021,10378595,9847266,1853.33
1415,2017,1351015,2021,10558177,9207162,681.5
2393,2019,802645,2021,10003559,9200914,1146.32
3252,2014,1683702,2021,10824997,9141295,542.93
3658,2014,926937,2021,9540457,8613520,929.25
6630,2014,192648,2021,7867848,7675200,3984.05
1766,2016,0,2021,7583682,7583682,
5657,2014,66804,2021,7489185,7422381,11110.68
2494,2019,2774032,2021,10130391,7356359,265.19
2669,2014,858655,2021,8214061,7355406,856.62
1720,2016,374525,2021,7591907,7217382,1927.08
1554,2016,0,2021,7097424,7097424,
1531,2014,1187638,2021,8069935,6882297,579.49
3258,2016,0,2021,6796084,6796084,
4558,2014,5717661,2021,12385400,6667739,116.62
5173,2014,0,2021,6566866,6566866,
5282,2014,104660,2021,6664627,6559967,6267.88
1753,2017,592281,2021,7077048,6484767,1094.88
1168,2014,121244,2021,6594844,6473600,5339.32
1796,2020,229897,2021,6374266,6144369,2672.66
2033,2017,405298,2021,6482712,6077414,1499.49
3574,2015,0,2021,6061795,6061795,
1406,2017,0,2021,5987560,5987560,
1576,2015,335302,2021,6269005,5933703,1769.66
3159,2014,0,2021,5909450,5909450,
1217,2014,0,2021,5879579,5879579,
5051,2014,167814,2021,6043159,5875345,3501.11
6325,2020,2483737,2021,8339666,5855929,235.77
3938,2014,0,2021,5745791,5745791,
5356,2016,0,2021,5575544,5575544,
2646,2014,1500691,2021,7036176,5535485,368.86
5213,2014,263765,2021,5745588,5481823,2078.3
1539,2014,2049203,2021,7502600,5453397,266.12
1315,2014,0,2021,5423589,5423589,
2853,2014,763998,2021,6055294,5291296,692.58
1585,2015,608389,2021,5892944,5284555,868.61
1713,2017,1533755,2021,6803414,5269659,343.58
1794,2020,325552,2021,5570843,5245291,1611.2
5389,2020,151,2021,5210467,5210316,3450540.4
5274,2014,158872,2021,5303923,5145051,3238.49
2568,2014,0,2021,5124103,5124103,
1739,2015,797086,2021,5918687,5121601,642.54
1689,2015,379333,2021,5406496,5027163,1325.26
1566,2014,0,2021,5019774,5019774,
2070,2019,773335,2021,5792095,5018760,648.98
1592,2015,2829478,2020,7834993,5005515,176.91
2548,2014,65468,2021,4924587,4859119,7422.13
1707,2015,0,2021,4841531,4841531,
400,2014,4403616,2021,9230163,4826547,109.6
5325,2014,639031,2021,5457267,4818236,753.99
5194,2014,0,2021,4664612,4664612,
2955,2018,0,2021,4661319,4661319,
4107,2014,205950,2021,4828318,4622368,2244.41
1400,2016,253000,2021,4793314,4540314,1794.59
5353,2016,219453,2021,4722722,4503269,2052.04
1776,2019,10964502,2021,15465054,4500552,41.05
1460,2019,1211876,2021,5699704,4487828,370.32
1430,2017,864097,2021,5340801,4476704,518.08
6150,2014,50013,2021,4516870,4466857,8931.39
5275,2014,180583,2021,4599911,4419328,2447.26
6414,2017,0,2021,4365659,4365659,
4448,2014,6631157,2021,10962992,4331835,65.33
1950,2020,4622314,2021,8934398,4312084,93.29
3448,2016,0,2021,4305401,4305401,
1497,2019,439718,2021,4717748,4278030,972.9
1167,2014,66507,2021,4271937,4205430,6323.29
1445,2018,0,2021,4186552,4186552,
1749,2016,0,2021,4172119,4172119,
1681,2019,613385,2021,4770913,4157528,677.8
5351,2015,725341,2021,4877704,4152363,572.47
2127,2020,3397316,2021,7539353,4142037,121.92
306,2014,1184,2021,4099058,4097874,346104.22
2998,2017,4556860,2021,8633986,4077126,89.47
1154,2019,658117,2021,4714494,4056377,616.36
3327,2019,4128587,2021,8088399,3959812,95.91
3187,2018,0,2021,3929647,3929647,
2046,2015,0,2021,3907338,3907338,
488,2015,3387613,2021,7293926,3906313,115.31
2028,2020,3397870,2021,7293905,3896035,114.66
3587,2015,0,2021,3891827,3891827,
2978,2014,0,2021,3859574,3859574,
444,2014,1478059,2021,5334750,3856691,260.93
1564,2015,103178,2021,3935058,3831880,3713.85
5162,2014,0,2021,3824021,3824021,
1501,2019,662982,2021,4478473,3815491,575.5
6324,2014,163563,2021,3959848,3796285,2320.99
303,2014,1192209,2021,4980255,3788046,317.73
5214,2014,69939,2021,3819434,3749495,5361.09
5800,2014,13749,2021,3736761,3723012,27078.42
1414,2017,4267628,2018,7971401,3703773,86.79
5178,2014,0,2021,3702715,3702715,
1419,2018,503382,2021,4178040,3674658,729.99
3175,2014,2787649,2021,6455944,3668295,131.59
3294,2018,0,2021,3664160,3664160,
3556,2014,11948666,2021,15597390,3648724,30.54
1352,2014,0,2021,3614764,3614764,
1230,2014,33482,2021,3636922,3603440,10762.32
3250,2014,4151,2021,3576770,3572619,86066.47
1751,2017,0,2021,3554954,3554954,
1330,2014,0,2021,3552498,3552498,
1334,2014,0,2021,3527403,3527403,
1780,2019,9,2021,3521815,3521806,39131177.78
1544,2014,0,2021,3521198,3521198,
1487,2019,218287,2021,3716900,3498613,1602.76
1568,2015,0,2021,3492786,3492786,
5832,2017,1030493,2021,4505662,3475169,337.23
1737,2017,0,2021,3445886,3445886,
1423,2017,653292,2021,4085229,3431937,525.33
6810,2014,62845,2021,3466746,3403901,5416.34
5833,2014,23196,2021,3421662,3398466,14651.09
6090,2018,417851,2021,3805648,3387797,810.77
3856,2015,3700008,2021,7064475,3364467,90.93
3185,2017,2776404,2021,6136649,3360245,121.03
1326,2015,0,2021,3342566,3342566,
6702,2016,2248444,2021,5582944,3334500,148.3
1788,2019,3898698,2021,7226931,3328233,85.37
1395,2017,874497,2021,4185570,3311073,378.63
1828,2020,288956,2021,3600012,3311056,1145.87
2045,2017,0,2021,3306797,3306797,
5270,2014,271745,2021,3568470,3296725,1213.17
1467,2020,2160124,2021,5452766,3292642,152.43
1490,2020,2366292,2021,5621128,3254836,137.55
2395,2018,12,2021,3239182,3239170,26993083.33
6303,2014,9001,2021,3242140,3233139,35919.78
1518,2014,0,2021,3230042,3230042,
2547,2014,0,2021,3226656,3226656,
1351,2014,292954,2021,3514651,3221697,1099.73
5130,2014,304258,2021,3508213,3203955,1053.04
5120,2014,3534,2021,3185904,3182370,90050.08
2818,2014,7663602,2021,10837117,3173515,41.41
2471,2016,0,2021,3173267,3173267,
5799,2014,820299,2021,3990613,3170314,386.48
1520,2017,3362502,2021,6525219,3162717,94.06
1929,2020,402502,2021,3564171,3161669,785.5
1842,2020,1157111,2021,4301432,3144321,271.74
5182,2014,0,2021,3129002,3129002,
1956,2020,1156224,2021,4283685,3127461,270.49
5283,2014,3459242,2021,6555716,3096474,89.51
1710,2015,1382794,2021,4441312,3058518,221.18
1570,2014,0,2021,3058461,3058461,
5324,2014,915133,2021,3951302,3036169,331.77
1768,2017,2219323,2021,5233667,3014344,135.82
4606,2014,5577306,2021,8587498,3010192,53.97
1528,2014,450672,2021,3460851,3010179,667.93
1404,2016,114135,2021,3109409,2995274,2624.33
5140,2014,8394,2021,2995030,2986636,35580.61
1807,2020,187205,2021,3164539,2977334,1590.41
5108,2016,0,2021,2972508,2972508,
3529,2016,0,2021,2960579,2960579,
1731,2017,0,2021,2911648,2911648,
3288,2019,57403,2021,2945723,2888320,5031.65
1722,2016,0,2021,2884594,2884594,
6158,2014,2470,2021,2807777,2805307,113575.18
1875,2019,3539875,2020,6342431,2802556,79.17
3320,2015,586424,2021,3368027,2781603,474.33
5959,2014,255747,2021,3020992,2765245,1081.24
1169,2018,456781,2021,3209068,2752287,602.54
1569,2017,612,2021,2721780,2721168,444635.29
3434,2016,2017080,2021,4732671,2715591,134.63
5399,2020,25287,2021,2740479,2715192,10737.5
5012,2014,0,2021,2706202,2706202,
3473,2014,154314,2021,2846548,2692234,1744.65
4852,2014,3931127,2021,6621116,2689989,68.43
1028,2014,72177,2021,2758146,2685969,3721.36
5417,2019,672210,2021,3345413,2673203,397.67
6811,2015,576510,2021,3228296,2651786,459.97
1429,2018,0,2021,2643329,2643329,
5105,2014,172694,2021,2808387,2635693,1526.22
8520,2018,450528,2021,3080609,2630081,583.78
6218,2016,0,2021,2623281,2623281,
6677,2014,389236,2021,2994255,2605019,669.26
1563,2015,2718316,2021,5309262,2590946,95.31
1879,2019,3518331,2021,6104543,2586212,73.51
3011,2015,0,2021,2573051,2573051,
6017,2014,0,2021,2561093,2561093,
6146,2016,54115,2021,2613199,2559084,4728.97
6018,2014,6753,2021,2564624,2557871,37877.55
1523,2014,589137,2021,3133717,2544580,431.92
5276,2014,1392595,2021,3918477,2525882,181.38
5352,2017,916251,2021,3435350,2519099,274.94
2992,2016,4970655,2021,7478952,2508297,50.46
5087,2016,4411972,2021,6915505,2503533,56.74
1556,2016,870623,2021,3364035,2493412,286.39
2577,2014,0,2021,2492287,2492287,
3573,2015,1939099,2021,4417951,2478852,127.84
6724,2016,409,2021,2476279,2475870,605347.19
5827,2014,16073,2021,2488895,2472822,15384.94
3241,2014,76715,2021,2544155,2467440,3216.37
6304,2015,1669435,2021,4130983,2461548,147.45
1851,2020,1137517,2021,3597874,2460357,216.29
985,2014,320335,2021,2766008,2445673,763.47
1553,2014,0,2021,2434823,2434823,
6003,2017,85457,2021,2518488,2433031,2847.08
2193,2014,1470948,2021,3903386,2432438,165.37
1510,2015,852465,2021,3271588,2419123,283.78
5840,2014,465551,2021,2883663,2418112,519.41
5999,2014,96838,2021,2500553,2403715,2482.2
5838,2014,952260,2021,3352511,2400251,252.06
1833,2020,4064239,2021,6460303,2396064,58.95
6701,2014,22840,2021,2414335,2391495,10470.64
5169,2014,9461,2021,2379725,2370264,25053.0
5322,2017,421671,2021,2791160,2369489,561.93
1159,2015,3777,2021,2369659,2365882,62639.18
1740,2016,0,2021,2336662,2336662,
2650,2014,3794400,2021,6128551,2334151,61.52
3292,2014,0,2021,2331193,2331193,
1748,2020,1337110,2021,3667826,2330716,174.31
4591,2014,948016,2021,3278225,2330209,245.8
1795,2020,5,2021,2312642,2312637,46252740.0
1958,2020,338991,2021,2635283,2296292,677.39
5365,2016,339605,2021,2631717,2292112,674.93
3137,2014,4315927,2021,6600687,2284760,52.94
2814,2014,9099130,2021,11383885,2284755,25.11
3246,2014,155695,2021,2439385,2283690,1466.77
3822,2017,0,2021,2277015,2277015,
3096,2014,156981,2021,2429376,2272395,1447.56
1327,2014,27593,2021,2296248,2268655,8221.85
1579,2015,4484751,2021,6746336,2261585,50.43
591,2019,7563670,2021,9818324,2254654,29.81
2253,2020,210885,2021,2462066,2251181,1067.49
6341,2014,46107,2021,2289708,2243601,4866.07
5335,2015,101585,2021,2344538,2242953,2207.96
1440,2017,0,2021,2237931,2237931,
1578,2015,3573030,2021,5810608,2237578,62.62
3533,2015,1956666,2021,4188031,2231365,114.04
1723,2016,4168694,2021,6389881,2221187,53.28
5654,2015,3039770,2021,5245335,2205565,72.56
4627,2016,0,2021,2190563,2190563,
5045,2014,447553,2021,2636281,2188728,489.04
988,2014,880818,2021,3053864,2173046,246.71
5390,2020,2537340,2021,4707955,2170615,85.55
3161,2017,742316,2021,2909991,2167675,292.02
2048,2016,1701649,2021,3852381,2150732,126.39
1793,2020,75447,2021,2219378,2143931,2841.64
506,2014,6496073,2021,8631580,2135507,32.87
1881,2019,255689,2021,2382045,2126356,831.62
5857,2020,1655651,2021,3778476,2122825,128.22
1547,2014,2294931,2021,4413272,2118341,92.31
3528,2014,1631136,2021,3743342,2112206,129.49
3186,2016,111409,2021,2217238,2105829,1890.18
2979,2020,454358,2021,2551304,2096946,461.52
223,2014,4819909,2021,6912529,2092620,43.42
6645,2015,302671,2021,2385498,2082827,688.15
496,2016,892438,2021,2974991,2082553,233.36
1358,2014,1223525,2021,3292493,2068968,169.1
1765,2017,2144895,2021,4210236,2065341,96.29
5336,2015,86542,2021,2128283,2041741,2359.25
5611,2014,141159,2021,2182210,2041051,1445.92
5659,2015,2463341,2021,4490077,2026736,82.28
3627,2017,237258,2021,2263686,2026428,854.1
5350,2015,3400835,2021,5426478,2025643,59.56
1306,2014,7366422,2021,9389266,2022844,27.46
5355,2016,622869,2021,2627556,2004687,321.85
1890,2019,315210,2021,2314315,1999105,634.21
2784,2016,1107364,2021,3095390,1988026,179.53
6267,2018,140809,2021,2126303,1985494,1410.06
1226,2014,53404,2021,2030138,1976734,3701.47
5942,2014,45680,2021,2018730,1973050,4319.29
1435,2018,63226,2021,2028647,1965421,3108.56
5168,2014,0,2021,1947686,1947686,
3155,2020,1447890,2021,3385039,1937149,133.79
5123,2015,1527,2021,1937994,1936467,126815.13
1219,2014,0,2021,1912721,1912721,
6831,2015,991866,2021,2902149,1910283,192.59
6814,2015,831248,2021,2735798,1904550,229.12
5606,2014,7346291,2021,9236051,1889760,25.72
1434,2018,1518800,2021,3401452,1882652,123.96
1904,2020,1530827,2021,3405012,1874185,122.43
6681,2016,1215149,2021,3080306,1865157,153.49
3419,2014,3619716,2021,5484526,1864810,51.52
1767,2016,28460,2021,1889562,1861102,6539.36
4698,2014,7780645,2021,9641326,1860681,23.91
1775,2017,986269,2021,2835425,1849156,187.49
1939,2020,323134,2021,2140076,1816942,562.29
6067,2018,13728,2021,1826921,1813193,13207.99
1522,2014,2109188,2021,3918494,1809306,85.78
1832,2020,2944204,2021,4753084,1808880,61.44
3446,2014,0,2021,1806605,1806605,
6137,2014,3930,2021,1805779,1801849,45848.58
3571,2016,4900395,2021,6697009,1796614,36.66
5882,2014,343488,2021,2136997,1793509,522.15
3894,2014,0,2021,1776648,1776648,
1160,2014,175970,2021,1945910,1769940,1005.82
1439,2020,1860130,2021,3627822,1767692,95.03
5388,2020,4212843,2021,5972812,1759969,41.78
1803,2019,609179,2021,2365062,1755883,288.24
1718,2016,0,2021,1752948,1752948,
1213,2014,78619,2021,1822533,1743914,2218.18
904,2016,465902,2021,2206380,1740478,373.57
5034,2016,0,2021,1735073,1735073,
1216,2019,1493176,2020,3223977,1730801,115.91
5327,2014,0,2021,1717403,1717403,
3287,2018,1273195,2021,2986770,1713575,134.59
1599,2015,1105193,2021,2816300,1711107,154.82
1725,2015,464021,2021,2170302,1706281,367.72
6805,2014,137725,2021,1834805,1697080,1232.22
4608,2014,803667,2021,2497374,1693707,210.75
1961,2020,4099987,2021,5790924,1690937,41.24
6096,2019,66552,2021,1755273,1688721,2537.45
1418,2020,7263680,2021,8946468,1682788,23.17
5153,2016,5091882,2021,6773489,1681607,33.03
2486,2014,0,2021,1678526,1678526,
5357,2018,2640809,2021,4306206,1665397,63.06
5418,2020,291549,2021,1953712,1662163,570.11
3321,2018,76983,2021,1728230,1651247,2144.95
1815,2020,8328232,2021,9976086,1647854,19.79
5175,2017,352555,2021,1990587,1638032,464.62
6151,2017,714138,2021,2351279,1637141,229.25
6338,2014,2341354,2021,3977886,1636532,69.9
2346,2014,0,2021,1627696,1627696,
5347,2015,1322634,2021,2931568,1608934,121.65
6035,2016,963171,2021,2567148,1603977,166.53
