scats_site,first_year,first_year_volume,last_year,last_year_volume,absolute_change,pct_change
3056,2014,43865307,2021,14138432,-29726875,-67.77
4677,2014,33660550,2021,4745661,-28914889,-85.9
4902,2014,39083065,2021,10775214,-28307851,-72.43
2404,2014,51426137,2021,23624725,-27801412,-54.06
4562,2014,38525864,2021,12526714,-25999150,-67.48
2420,2014,41360157,2021,15608668,-25751489,-62.26
4975,2014,31104638,2021,5742257,-25362381,-81.54
4415,2014,53215213,2021,28302244,-24912969,-46.82
416,2014,44528564,2021,20822689,-23705875,-53.24
2487,2014,45858217,2021,22399472,-23458745,-51.15
4976,2014,28886094,2021,5758862,-23127232,-80.06
2438,2014,39512596,2021,17315114,-22197482,-56.18
3386,2014,45166813,2021,23036524,-22130289,-49.0
2929,2014,39619830,2021,17652535,-21967295,-55.45
3519,2014,43483311,2021,21700093,-21783218,-50.1
3060,2014,41525728,2021,19995870,-21529858,-51.85
2306,2014,34138814,2021,12877870,-21260944,-62.28
2405,2014,43304958,2021,22122660,-21182298,-48.91
2880,2014,32075299,2021,10949662,-21125637,-65.86
3994,2014,26235242,2021,5229478,-21005764,-80.07
2425,2014,37685426,2021,16706461,-20978965,-55.67
2403,2014,40431707,2021,19503460,-20928247,-51.76
291,2014,30512898,2021,9608168,-20904730,-68.51
4744,2014,32611108,2021,11747160,-20863948,-63.98
3232,2014,27997710,2021,7231088,-20766622,-74.17
3312,2014,23450741,2021,2730446,-20720295,-88.36
431,2014,31876532,2021,11292631,-20583901,-64.57
2315,2014,36286853,2021,15781348,-20505505,-56.51
2333,2014,31163692,2021,10935430,-20228262,-64.91
3375,2014,24015794,2018,3924914,-20090880,-83.66
2347,2014,25507079,2021,5614337,-19892742,-77.99
415,2014,40130561,2021,20276729,-19853832,-49.47
1359,2014,42508773,2021,22660711,-19848062,-46.69
2326,2014,38392516,2021,18549911,-19842605,-51.68
538,2014,37470944,2021,17721217,-19749727,-52.71
280,2014,26106131,2021,6372804,-19733327,-75.59
3385,2014,38438389,2021,18705589,-19732800,-51.34
414,2014,40059183,2021,20360057,-19699126,-49.18
4566,2014,26979731,2021,7513579,-19466152,-72.15
2827,2014,35567101,2021,16150459,-19416642,-54.59
4155,2014,33806776,2021,14556762,-19250014,-56.94
855,2014,41427898,2021,22209140,-19218758,-46.39
4381,2014,33553747,2021,14436666,-19117081,-56.97
3516,2014,39170502,2021,20115225,-19055277,-48.65
2833,2014,36154339,2021,17281612,-18872727,-52.2
2899,2014,35153430,2021,16509374,-18644056,-53.04
2985,2014,35997010,2021,17445452,-18551558,-51.54
4773,2014,27229555,2021,8713656,-18515899,-68.0
2498,2014,33263848,2021,14776000,-18487848,-55.58
2100,2014,34933756,2021,16555794,-18377962,-52.61
2101,2014,39890886,2021,21657903,-18232983,-45.71
4741,2014,25885592,2021,7796362,-18089230,-69.88
3361,2014,31461238,2021,13424404,-18036834,-57.33
3382,2014,36536274,2021,18528480,-18007794,-49.29
3059,2014,35548979,2021,17581634,-17967345,-50.54
2316,2014,35601492,2021,17738146,-17863346,-50.18
4742,2014,31277728,2021,13493845,-17783883,-56.86
2020,2014,32764132,2021,15055314,-17708818,-54.05
2103,2014,33336492,2021,15702657,-17633835,-52.9
4774,2014,22371333,2021,4774852,-17596481,-78.66
3357,2014,38621387,2021,21079477,-17541910,-45.42
984,2014,28169803,2021,10672884,-17496919,-62.11
2816,2014,38468081,2021,21017347,-17450734,-45.36
195,2014,31393158,2021,14016261,-17376897,-55.35
3381,2014,37727781,2021,20358649,-17369132,-46.04
4461,2014,31994188,2021,14653247,-17340941,-54.2
3308,2014,28407321,2021,11081227,-17326094,-60.99
5253,2014,23360909,2021,6222953,-17137956,-73.36
2416,2014,33055155,2021,15943163,-17111992,-51.77
3735,2014,33931480,2021,16920905,-17010575,-50.13
3052,2014,37563777,2021,20661028,-16902749,-45.0
725,2014,33451835,2021,16605142,-16846693,-50.36
3384,2014,33647719,2021,16888304,-16759415,-49.81
3671,2014,32304490,2021,15572862,-16731628,-51.79
3383,2014,34013948,2021,17306631,-16707317,-49.12
3230,2014,22879663,2021,6231660,-16648003,-72.76
4561,2014,26987455,2021,10350161,-16637294,-61.65
2409,2014,30715896,2021,14215905,-16499991,-53.72
3022,2014,30667468,2021,14206273,-16461195,-53.68
948,2014,33475086,2021,17021986,-16453100,-49.15
202,2014,30873142,2021,14511508,-16361634,-53.0
3360,2014,34657513,2021,18307374,-16350139,-47.18
2337,2014,32814872,2021,16567975,-16246897,-49.51
3075,2014,29573326,2021,13326750,-16246576,-54.94
2302,2014,29941955,2021,13719072,-16222883,-54.18
429,2014,31526147,2021,15306008,-16220139,-51.45
2701,2014,32898485,2021,16690678,-16207807,-49.27
3390,2014,32342433,2021,16180777,-16161656,-49.97
2407,2014,31363063,2021,15299884,-16063179,-51.22
3541,2014,28779624,2021,12778567,-16001057,-55.6
2104,2014,31768172,2021,15845438,-15922734,-50.12
2421,2014,29912828,2021,14120219,-15792609,-52.8
999,2014,31769533,2021,16005708,-15763825,-49.62
4901,2014,28524221,2021,12782966,-15741255,-55.19
814,2014,31783469,2021,16056991,-15726478,-49.48
2320,2014,29375097,2021,13651722,-15723375,-53.53
3706,2014,31826996,2021,16110143,-15716853,-49.38
3374,2014,27336504,2021,11638016,-15698488,-57.43
3681,2014,31283184,2021,15593837,-15689347,-50.15
164,2014,28946281,2021,13264230,-15682051,-54.18
