scats_site,mean_daily_volume,sd_daily_volume,cv
3375,66253.02708058125,6198.25650569868,0.0936
1202,43321.4086482275,4376.969357284732,0.101
4746,50141.69497467861,5261.9759322594555,0.1049
1339,23714.76040658277,2602.947351275378,0.1098
2985,95893.73354109855,10562.115240544246,0.1101
3060,109627.84417608102,12369.611956133142,0.1128
3524,64186.62991819244,7443.6584732414785,0.116
3075,76430.78379431243,8905.650650840247,0.1165
4037,57983.36969224776,6854.0874261927265,0.1182
5808,16251.91507596416,1936.7934443955376,0.1192
4041,42690.04168289832,5100.396529697282,0.1195
4780,42533.153486560186,5086.09516780151,0.1196
3701,75163.84378652123,9066.567653899845,0.1206
2729,18683.950136345928,2273.2128608392354,0.1217
4848,62281.66150178784,7610.771463531872,0.1222
4087,43788.32450331126,5356.902100837882,0.1223
4088,23943.706661472537,2952.9244794506826,0.1233
3088,74193.24385485759,9210.051363658607,0.1241
5810,18934.523178807947,2357.679848386268,0.1245
2110,68358.49824698092,8522.202200942997,0.1247
3054,54969.500584339694,6878.565846762105,0.1251
4109,13212.8484612388,1653.126980524451,0.1251
3053,66236.58166862515,8289.19067307451,0.1251
3052,101294.17580266249,12712.469270222955,0.1255
4006,27114.72847682119,3414.4987623414536,0.1259
2405,117003.55399610137,14762.849134967617,0.1262
436,29785.070899883132,3767.4164900871115,0.1265
6254,24848.9169604387,3148.12276715054,0.1267
2745,15485.061256340226,1968.9884441315637,0.1272
4010,24104.404288499027,3086.108603642481,0.128
1392,24846.064277366575,3195.8183988858236,0.1286
2790,15480.805031446542,1993.4111387861303,0.1288
821,18749.553954031944,2422.9964247413127,0.1292
6252,26756.910011686792,3461.0620876877633,0.1294
5031,18562.33034321373,2404.52387893196,0.1295
288,32209.91468640436,4178.312953396663,0.1297
3213,51536.4242306194,6697.176216434228,0.13
2692,26622.699259836383,3468.936244426943,0.1303
4126,23140.939618231398,3014.604548727224,0.1303
414,109806.30007794232,14317.361959696584,0.1304
6461,11102.979353330737,1450.4067747091722,0.1306
4013,25026.971951694584,3271.0093929764535,0.1307
2566,21387.41332294507,2796.562799022995,0.1308
925,20301.35410877332,2662.5119688309346,0.1311
4753,60028.147643163225,7875.94620073771,0.1312
3171,57610.88735722726,7566.297135345696,0.1313
2487,123732.85469419556,16261.71940005073,0.1314
960,32196.779898714452,4238.4966752047885,0.1316
4928,14537.094663030775,1923.9446968178265,0.1323
4738,14074.830541488118,1866.778008495638,0.1326
6258,25515.632645111025,3386.8425190527732,0.1327
1508,10708.44253992988,1426.0320236695375,0.1332
4747,29175.88507985976,3894.847867577612,0.1335
4685,36584.09466303077,4883.809405278992,0.1335
3389,82394.48441153546,11013.936542336998,0.1337
6412,19345.306227687426,2595.1158032692624,0.1341
3057,48790.31281651733,6549.703894344278,0.1342
4420,21486.451278928136,2883.5492368717983,0.1342
4228,33005.87767822361,4438.043388248324,0.1345
6814,13754.679059595408,1851.2053561324024,0.1346
2604,34892.179788484136,4707.883974507903,0.1349
4121,33484.85897935333,4515.722995041484,0.1349
4039,27211.37777777778,3674.7218176593287,0.135
4001,38627.908843007404,5217.050329726105,0.1351
4851,21632.971698113208,2925.132239161118,0.1352
4771,24594.252434748734,3329.6578782647975,0.1354
1534,27398.9092325672,3710.9889264320104,0.1354
4473,35605.69695787832,4842.770841244721,0.136
2654,25195.53120124805,3439.116151149012,0.1365
3170,57162.74208675264,7810.262870796165,0.1366
287,25970.559407869107,3551.2504820470494,0.1367
4962,47937.68991040125,6556.658959507459,0.1368
3356,15099.822750292169,2069.519147552275,0.1371
2683,21803.65639625585,2993.9412876637707,0.1373
5261,2242.002097535396,308.4892170846621,0.1376
4745,42227.09466303077,5813.316257824169,0.1377
5155,26656.600779727094,3672.6531426955708,0.1378
6070,11238.455684007708,1551.1472916666505,0.138
3984,59463.15354637568,8229.795537561036,0.1384
257,62173.07248636009,8610.6176170801,0.1385
943,36442.748629600625,5049.601092264506,0.1386
2329,98852.68796260226,13696.719833109477,0.1386
3083,65838.02559934986,9140.496880148861,0.1388
3465,72930.34234234234,10122.718425309475,0.1388
2404,129925.3622906116,18049.031538512067,0.1389
1514,19292.342890579286,2680.411422536998,0.1389
415,111278.47914230019,15464.548543406574,0.139
2102,58081.23685235684,8081.039861983843,0.1391
6290,21594.89559797429,3006.25402030738,0.1392
1300,2359.8810916179336,328.53933504168833,0.1392
5268,37562.45621579359,5242.171932253265,0.1396
2423,43092.36774444877,6020.669343395114,0.1397
5143,41540.22776911077,5813.866671653547,0.14
3331,28185.067053513863,3953.206996288068,0.1403
3692,33581.61511492014,4721.269686343092,0.1406
2982,21335.267815191855,3004.8901008424873,0.1408
6253,31159.588474025975,4388.38418656164,0.1408
2440,63985.75223996884,9012.844991000904,0.1409
717,41763.229597813355,5883.079532551532,0.1409
4301,72615.81296660118,10228.545071296276,0.1409
