database_name,query_name,status,elapsed_seconds,rows_returned,temp_before_gb,temp_after_gb,temp_delta_gb,process_memory_before_mb,process_memory_after_mb,error
scats,row_count,ok,0.084,1,0.0,0.0,0.0,128.2,142.3,
scats,date_range_and_sites,ok,1.3,1,0.0,0.0,0.0,142.3,1070.0,
scats,monthly_group_summary,ok,0.591,86,0.0,0.0,0.0,1070.0,1513.1,
scats,region_group_summary,ok,0.26,35,0.0,0.0,0.0,1513.1,1610.4,
scats,interval_96_column_non_null_scan,ok,61.881,1,0.0,0.0,0.0,1610.4,36254.0,
scats,duplicate_detector_day_key_scan,ok,17.006,1,0.0,0.0,0.0,36254.4,32218.6,
scats_continuation,row_count,ok,0.094,1,0.0,0.0,0.0,191.6,201.5,
scats_continuation,date_range_and_sites,ok,0.773,1,0.0,0.0,0.0,201.5,675.2,
scats_continuation,monthly_group_summary,ok,0.601,58,0.0,0.0,0.0,675.2,1096.3,
scats_continuation,region_group_summary,ok,0.26,40,0.0,0.0,0.0,1096.4,1111.2,
scats_continuation,interval_96_column_non_null_scan,ok,35.68,1,0.0,0.0,0.0,1111.2,22637.6,
scats_continuation,duplicate_detector_day_key_scan,ok,190.112,1,0.0,0.0,0.0,22637.6,23087.4,
scats_recovery,row_count,ok,0.006,1,0.0,0.0,0.0,165.1,165.1,
scats_recovery,date_range_and_sites,ok,0.171,1,0.0,0.0,0.0,165.1,211.0,
scats_recovery,monthly_group_summary,ok,0.067,22,0.0,0.0,0.0,211.0,230.7,
scats_recovery,region_group_summary,ok,0.075,38,0.0,0.0,0.0,230.7,251.1,
scats_recovery,interval_96_column_non_null_scan,ok,3.279,1,0.0,0.0,0.0,251.1,2403.6,
scats_recovery,duplicate_detector_day_key_scan,ok,2.324,1,0.0,0.0,0.0,2403.6,2685.9,
